,Unnamed: 0,DATE,TIME,é¿ê—(ñúkW)
0,0,2016/4/1,0:00,2555
1,1,2016/4/1,1:00,2433
2,2,2016/4/1,2:00,2393
3,3,2016/4/1,3:00,2375
4,4,2016/4/1,4:00,2390
5,5,2016/4/1,5:00,2467
6,6,2016/4/1,6:00,2631
7,7,2016/4/1,7:00,2775
8,8,2016/4/1,8:00,2965
9,9,2016/4/1,9:00,3159
10,10,2016/4/1,10:00,3211
11,11,2016/4/1,11:00,3265
12,12,2016/4/1,12:00,3160
13,13,2016/4/1,13:00,3288
14,14,2016/4/1,14:00,3361
15,15,2016/4/1,15:00,3362
16,16,2016/4/1,16:00,3406
17,17,2016/4/1,17:00,3438
18,18,2016/4/1,18:00,3501
19,19,2016/4/1,19:00,3381
20,20,2016/4/1,20:00,3242
21,21,2016/4/1,21:00,3084
22,22,2016/4/1,22:00,2973
23,23,2016/4/1,23:00,2811
24,24,2016/4/2,0:00,2613
25,25,2016/4/2,1:00,2492
26,26,2016/4/2,2:00,2431
27,27,2016/4/2,3:00,2403
28,28,2016/4/2,4:00,2390
29,29,2016/4/2,5:00,2432
30,30,2016/4/2,6:00,2543
31,31,2016/4/2,7:00,2734
32,32,2016/4/2,8:00,3019
33,33,2016/4/2,9:00,3225
34,34,2016/4/2,10:00,3258
35,35,2016/4/2,11:00,3239
36,36,2016/4/2,12:00,3167
37,37,2016/4/2,13:00,3112
38,38,2016/4/2,14:00,3049
39,39,2016/4/2,15:00,3043
40,40,2016/4/2,16:00,3098
41,41,2016/4/2,17:00,3216
42,42,2016/4/2,18:00,3328
43,43,2016/4/2,19:00,3276
44,44,2016/4/2,20:00,3173
45,45,2016/4/2,21:00,3007
46,46,2016/4/2,22:00,2856
47,47,2016/4/2,23:00,2674
48,48,2016/4/3,0:00,2455
49,49,2016/4/3,1:00,2325
50,50,2016/4/3,2:00,2280
51,51,2016/4/3,3:00,2265
52,52,2016/4/3,4:00,2253
53,53,2016/4/3,5:00,2276
54,54,2016/4/3,6:00,2330
55,55,2016/4/3,7:00,2493
56,56,2016/4/3,8:00,2700
57,57,2016/4/3,9:00,2832
58,58,2016/4/3,10:00,2835
59,59,2016/4/3,11:00,2833
60,60,2016/4/3,12:00,2820
61,61,2016/4/3,13:00,2738
62,62,2016/4/3,14:00,2694
63,63,2016/4/3,15:00,2684
64,64,2016/4/3,16:00,2755
65,65,2016/4/3,17:00,2920
66,66,2016/4/3,18:00,3132
67,67,2016/4/3,19:00,3114
68,68,2016/4/3,20:00,3020
69,69,2016/4/3,21:00,2860
70,70,2016/4/3,22:00,2690
71,71,2016/4/3,23:00,2494
72,72,2016/4/4,0:00,2304
73,73,2016/4/4,1:00,2206
74,74,2016/4/4,2:00,2179
75,75,2016/4/4,3:00,2189
76,76,2016/4/4,4:00,2216
77,77,2016/4/4,5:00,2320
78,78,2016/4/4,6:00,2528
79,79,2016/4/4,7:00,2835
80,80,2016/4/4,8:00,3168
81,81,2016/4/4,9:00,3418
82,82,2016/4/4,10:00,3480
83,83,2016/4/4,11:00,3422
84,84,2016/4/4,12:00,3200
85,85,2016/4/4,13:00,3323
86,86,2016/4/4,14:00,3322
87,87,2016/4/4,15:00,3312
88,88,2016/4/4,16:00,3349
89,89,2016/4/4,17:00,3346
90,90,2016/4/4,18:00,3436
91,91,2016/4/4,19:00,3337
92,92,2016/4/4,20:00,3213
93,93,2016/4/4,21:00,3067
94,94,2016/4/4,22:00,2982
95,95,2016/4/4,23:00,2797
96,96,2016/4/5,0:00,2551
97,97,2016/4/5,1:00,2427
98,98,2016/4/5,2:00,2392
99,99,2016/4/5,3:00,2380
100,100,2016/4/5,4:00,2415
101,101,2016/4/5,5:00,2524
102,102,2016/4/5,6:00,2767
103,103,2016/4/5,7:00,3056
104,104,2016/4/5,8:00,3400
105,105,2016/4/5,9:00,3678
106,106,2016/4/5,10:00,3747
107,107,2016/4/5,11:00,3727
108,108,2016/4/5,12:00,3532
109,109,2016/4/5,13:00,3670
110,110,2016/4/5,14:00,3640
111,111,2016/4/5,15:00,3589
112,112,2016/4/5,16:00,3579
113,113,2016/4/5,17:00,3579
114,114,2016/4/5,18:00,3664
115,115,2016/4/5,19:00,3559
116,116,2016/4/5,20:00,3414
117,117,2016/4/5,21:00,3234
118,118,2016/4/5,22:00,3135
119,119,2016/4/5,23:00,2913
120,120,2016/4/6,0:00,2634
121,121,2016/4/6,1:00,2496
122,122,2016/4/6,2:00,2451
123,123,2016/4/6,3:00,2440
124,124,2016/4/6,4:00,2478
125,125,2016/4/6,5:00,2593
126,126,2016/4/6,6:00,2787
127,127,2016/4/6,7:00,2955
128,128,2016/4/6,8:00,3143
129,129,2016/4/6,9:00,3301
130,130,2016/4/6,10:00,3304
131,131,2016/4/6,11:00,3276
132,132,2016/4/6,12:00,3106
133,133,2016/4/6,13:00,3216
134,134,2016/4/6,14:00,3282
135,135,2016/4/6,15:00,3258
136,136,2016/4/6,16:00,3270
137,137,2016/4/6,17:00,3262
138,138,2016/4/6,18:00,3392
139,139,2016/4/6,19:00,3319
140,140,2016/4/6,20:00,3206
141,141,2016/4/6,21:00,3055
142,142,2016/4/6,22:00,2948
143,143,2016/4/6,23:00,2746
144,144,2016/4/7,0:00,2512
145,145,2016/4/7,1:00,2387
146,146,2016/4/7,2:00,2349
147,147,2016/4/7,3:00,2344
148,148,2016/4/7,4:00,2367
149,149,2016/4/7,5:00,2462
150,150,2016/4/7,6:00,2695
151,151,2016/4/7,7:00,3010
152,152,2016/4/7,8:00,3362
153,153,2016/4/7,9:00,3656
154,154,2016/4/7,10:00,3764
155,155,2016/4/7,11:00,3788
156,156,2016/4/7,12:00,3629
157,157,2016/4/7,13:00,3740
158,158,2016/4/7,14:00,3717
159,159,2016/4/7,15:00,3656
160,160,2016/4/7,16:00,3654
161,161,2016/4/7,17:00,3605
162,162,2016/4/7,18:00,3637
163,163,2016/4/7,19:00,3498
164,164,2016/4/7,20:00,3334
165,165,2016/4/7,21:00,3161
166,166,2016/4/7,22:00,3008
167,167,2016/4/7,23:00,2790
168,168,2016/4/8,0:00,2557
169,169,2016/4/8,1:00,2440
170,170,2016/4/8,2:00,2403
171,171,2016/4/8,3:00,2389
172,172,2016/4/8,4:00,2418
173,173,2016/4/8,5:00,2488
174,174,2016/4/8,6:00,2652
175,175,2016/4/8,7:00,2828
176,176,2016/4/8,8:00,3070
177,177,2016/4/8,9:00,3270
178,178,2016/4/8,10:00,3340
179,179,2016/4/8,11:00,3301
180,180,2016/4/8,12:00,3153
181,181,2016/4/8,13:00,3319
182,182,2016/4/8,14:00,3308
183,183,2016/4/8,15:00,3274
184,184,2016/4/8,16:00,3274
185,185,2016/4/8,17:00,3255
186,186,2016/4/8,18:00,3337
187,187,2016/4/8,19:00,3240
188,188,2016/4/8,20:00,3118
189,189,2016/4/8,21:00,2982
190,190,2016/4/8,22:00,2883
191,191,2016/4/8,23:00,2709
192,192,2016/4/9,0:00,2484
193,193,2016/4/9,1:00,2369
194,194,2016/4/9,2:00,2336
195,195,2016/4/9,3:00,2328
196,196,2016/4/9,4:00,2327
197,197,2016/4/9,5:00,2334
198,198,2016/4/9,6:00,2361
199,199,2016/4/9,7:00,2473
200,200,2016/4/9,8:00,2637
201,201,2016/4/9,9:00,2765
202,202,2016/4/9,10:00,2805
203,203,2016/4/9,11:00,2822
204,204,2016/4/9,12:00,2777
205,205,2016/4/9,13:00,2850
206,206,2016/4/9,14:00,2838
207,207,2016/4/9,15:00,2814
208,208,2016/4/9,16:00,2815
209,209,2016/4/9,17:00,2876
210,210,2016/4/9,18:00,3053
211,211,2016/4/9,19:00,3019
212,212,2016/4/9,20:00,2927
213,213,2016/4/9,21:00,2764
214,214,2016/4/9,22:00,2666
215,215,2016/4/9,23:00,2516
216,216,2016/4/10,0:00,2347
217,217,2016/4/10,1:00,2248
218,218,2016/4/10,2:00,2230
219,219,2016/4/10,3:00,2233
220,220,2016/4/10,4:00,2231
221,221,2016/4/10,5:00,2217
222,222,2016/4/10,6:00,2215
223,223,2016/4/10,7:00,2299
224,224,2016/4/10,8:00,2408
225,225,2016/4/10,9:00,2541
226,226,2016/4/10,10:00,2601
227,227,2016/4/10,11:00,2608
228,228,2016/4/10,12:00,2661
229,229,2016/4/10,13:00,2644
230,230,2016/4/10,14:00,2625
231,231,2016/4/10,15:00,2629
232,232,2016/4/10,16:00,2672
233,233,2016/4/10,17:00,2806
234,234,2016/4/10,18:00,3005
235,235,2016/4/10,19:00,2983
236,236,2016/4/10,20:00,2889
237,237,2016/4/10,21:00,2750
238,238,2016/4/10,22:00,2592
239,239,2016/4/10,23:00,2426
240,240,2016/4/11,0:00,2238
241,241,2016/4/11,1:00,2150
242,242,2016/4/11,2:00,2149
243,243,2016/4/11,3:00,2171
244,244,2016/4/11,4:00,2215
245,245,2016/4/11,5:00,2324
246,246,2016/4/11,6:00,2546
247,247,2016/4/11,7:00,2823
248,248,2016/4/11,8:00,3116
249,249,2016/4/11,9:00,3339
250,250,2016/4/11,10:00,3367
251,251,2016/4/11,11:00,3333
252,252,2016/4/11,12:00,3193
253,253,2016/4/11,13:00,3313
254,254,2016/4/11,14:00,3332
255,255,2016/4/11,15:00,3338
256,256,2016/4/11,16:00,3401
257,257,2016/4/11,17:00,3474
258,258,2016/4/11,18:00,3634
259,259,2016/4/11,19:00,3556
260,260,2016/4/11,20:00,3438
261,261,2016/4/11,21:00,3304
262,262,2016/4/11,22:00,3221
263,263,2016/4/11,23:00,2999
264,264,2016/4/12,0:00,2702
265,265,2016/4/12,1:00,2566
266,266,2016/4/12,2:00,2526
267,267,2016/4/12,3:00,2526
268,268,2016/4/12,4:00,2566
269,269,2016/4/12,5:00,2687
270,270,2016/4/12,6:00,2949
271,271,2016/4/12,7:00,3095
272,272,2016/4/12,8:00,3286
273,273,2016/4/12,9:00,3447
274,274,2016/4/12,10:00,3472
275,275,2016/4/12,11:00,3447
276,276,2016/4/12,12:00,3257
277,277,2016/4/12,13:00,3380
278,278,2016/4/12,14:00,3381
279,279,2016/4/12,15:00,3364
280,280,2016/4/12,16:00,3412
281,281,2016/4/12,17:00,3461
282,282,2016/4/12,18:00,3617
283,283,2016/4/12,19:00,3543
284,284,2016/4/12,20:00,3403
285,285,2016/4/12,21:00,3241
286,286,2016/4/12,22:00,3106
287,287,2016/4/12,23:00,2860
288,288,2016/4/13,0:00,2606
289,289,2016/4/13,1:00,2471
290,290,2016/4/13,2:00,2440
291,291,2016/4/13,3:00,2439
292,292,2016/4/13,4:00,2456
293,293,2016/4/13,5:00,2559
294,294,2016/4/13,6:00,2808
295,295,2016/4/13,7:00,3062
296,296,2016/4/13,8:00,3340
297,297,2016/4/13,9:00,3577
298,298,2016/4/13,10:00,3588
299,299,2016/4/13,11:00,3552
300,300,2016/4/13,12:00,3350
301,301,2016/4/13,13:00,3474
302,302,2016/4/13,14:00,3385
303,303,2016/4/13,15:00,3347
304,304,2016/4/13,16:00,3398
305,305,2016/4/13,17:00,3443
306,306,2016/4/13,18:00,3518
307,307,2016/4/13,19:00,3401
308,308,2016/4/13,20:00,3256
309,309,2016/4/13,21:00,3121
310,310,2016/4/13,22:00,3026
311,311,2016/4/13,23:00,2809
312,312,2016/4/14,0:00,2574
313,313,2016/4/14,1:00,2449
314,314,2016/4/14,2:00,2429
315,315,2016/4/14,3:00,2435
316,316,2016/4/14,4:00,2452
317,317,2016/4/14,5:00,2538
318,318,2016/4/14,6:00,2732
319,319,2016/4/14,7:00,2978
320,320,2016/4/14,8:00,3278
321,321,2016/4/14,9:00,3494
322,322,2016/4/14,10:00,3554
323,323,2016/4/14,11:00,3542
324,324,2016/4/14,12:00,3357
325,325,2016/4/14,13:00,3474
326,326,2016/4/14,14:00,3429
327,327,2016/4/14,15:00,3350
328,328,2016/4/14,16:00,3379
329,329,2016/4/14,17:00,3376
330,330,2016/4/14,18:00,3463
331,331,2016/4/14,19:00,3373
332,332,2016/4/14,20:00,3218
333,333,2016/4/14,21:00,3064
334,334,2016/4/14,22:00,2950
335,335,2016/4/14,23:00,2760
336,336,2016/4/15,0:00,2562
337,337,2016/4/15,1:00,2437
338,338,2016/4/15,2:00,2403
339,339,2016/4/15,3:00,2417
340,340,2016/4/15,4:00,2446
341,341,2016/4/15,5:00,2515
342,342,2016/4/15,6:00,2691
343,343,2016/4/15,7:00,2863
344,344,2016/4/15,8:00,3053
345,345,2016/4/15,9:00,3248
346,346,2016/4/15,10:00,3274
347,347,2016/4/15,11:00,3268
348,348,2016/4/15,12:00,3079
349,349,2016/4/15,13:00,3222
350,350,2016/4/15,14:00,3224
351,351,2016/4/15,15:00,3230
352,352,2016/4/15,16:00,3278
353,353,2016/4/15,17:00,3262
354,354,2016/4/15,18:00,3367
355,355,2016/4/15,19:00,3304
356,356,2016/4/15,20:00,3172
357,357,2016/4/15,21:00,3051
358,358,2016/4/15,22:00,2956
359,359,2016/4/15,23:00,2750
360,360,2016/4/16,0:00,2524
361,361,2016/4/16,1:00,2414
362,362,2016/4/16,2:00,2377
363,363,2016/4/16,3:00,2368
364,364,2016/4/16,4:00,2371
365,365,2016/4/16,5:00,2377
366,366,2016/4/16,6:00,2450
367,367,2016/4/16,7:00,2567
368,368,2016/4/16,8:00,2755
369,369,2016/4/16,9:00,2867
370,370,2016/4/16,10:00,2911
371,371,2016/4/16,11:00,2896
372,372,2016/4/16,12:00,2830
373,373,2016/4/16,13:00,2856
374,374,2016/4/16,14:00,2840
375,375,2016/4/16,15:00,2818
376,376,2016/4/16,16:00,2845
377,377,2016/4/16,17:00,2897
378,378,2016/4/16,18:00,3081
379,379,2016/4/16,19:00,3068
380,380,2016/4/16,20:00,2971
381,381,2016/4/16,21:00,2813
382,382,2016/4/16,22:00,2696
383,383,2016/4/16,23:00,2537
384,384,2016/4/17,0:00,2341
385,385,2016/4/17,1:00,2241
386,386,2016/4/17,2:00,2219
387,387,2016/4/17,3:00,2202
388,388,2016/4/17,4:00,2189
389,389,2016/4/17,5:00,2180
390,390,2016/4/17,6:00,2207
391,391,2016/4/17,7:00,2325
392,392,2016/4/17,8:00,2526
393,393,2016/4/17,9:00,2688
394,394,2016/4/17,10:00,2742
395,395,2016/4/17,11:00,2777
396,396,2016/4/17,12:00,2781
397,397,2016/4/17,13:00,2766
398,398,2016/4/17,14:00,2701
399,399,2016/4/17,15:00,2728
400,400,2016/4/17,16:00,2776
401,401,2016/4/17,17:00,2875
