DAY,RESULT,TEMP,RAIN,WEATHER
2016/4/1,71626.0,12.8,2.5,0.5
2016/4/2,69778.0,10.5,1.5,0.5
2016/4/3,63798.0,13.1,4.0,0.75
2016/4/4,70949.0,15.6,8.0,0.75
2016/4/5,76572.0,10.8,1.5,0.5
2016/4/6,71918.0,14.6,0,0.5
2016/4/7,76125.0,13.8,33.0,1.0
2016/4/8,71008.0,16.1,0,0.5
2016/4/9,63956.0,17.1,0,0.5
2016/4/10,60860.0,17.2,0,0.5
2016/4/11,71974.0,11.6,0.0,0.5
2016/4/12,75294.0,10.5,0,0
2016/4/13,74426.0,14.4,1.5,1.0
2016/4/14,73648.0,15.0,20.0,0.75
2016/4/15,71072.0,16.3,0,0
2016/4/16,65129.0,15.8,0,0.5
2016/4/17,62243.0,19.2,6.0,0.5
2016/4/18,69346.0,18.9,0.5,0
2016/4/19,69886.0,16.2,0.0,0
2016/4/20,70374.0,14.9,0,0.25
2016/4/21,72467.0,16.5,6.0,0.5
2016/4/22,71650.0,17.3,0.0,0.25
2016/4/23,65648.0,17.9,0.0,0.5
2016/4/24,61722.0,15.7,13.5,0.75
2016/4/25,69337.0,18.1,0,0.5
2016/4/26,72682.0,19.2,0,0
2016/4/27,72122.0,18.1,0.0,0.5
2016/4/28,72332.0,14.4,22.0,1.0
2016/4/29,63948.0,15.8,0.0,0
2016/4/30,61786.0,16.0,0,0
2016/5/1,58282.0,18.2,0,0
2016/5/2,63474.0,17.4,0,0.5
2016/5/3,58983.0,20.4,0,0.5
2016/5/4,58690.0,22.1,13.5,0
2016/5/5,58930.0,22.1,0,0
2016/5/6,65718.0,18.1,2.5,0.75
2016/5/7,65133.0,21.2,0.0,0
2016/5/8,60612.0,21.3,0,0.25
2016/5/9,69554.0,18.5,19.0,0.75
2016/5/10,72401.0,18.4,6.0,0.5
2016/5/11,73217.0,21.4,5.5,0.5
2016/5/12,73195.0,21.7,0,0
2016/5/13,73783.0,21.2,0,0
2016/5/14,66058.0,19.8,0,0.5
2016/5/15,61356.0,17.6,0,0.5
2016/5/16,70647.0,19.0,0,0.5
2016/5/17,73343.0,18.3,31.5,1.0
2016/5/18,72231.0,20.0,0,0
2016/5/19,71937.0,19.3,0,0.25
2016/5/20,70976.0,17.2,0,0.5
2016/5/21,65751.0,19.1,0.0,0
2016/5/22,62839.0,22.4,0,0
2016/5/23,74517.0,23.5,0,0.5
2016/5/24,78288.0,23.4,0,0.5
2016/5/25,76192.0,22.2,0.0,0.5
2016/5/26,76618.0,23.0,0,0.5
2016/5/27,73033.0,19.4,36.5,1.0
2016/5/28,64456.0,19.3,0,0.5
2016/5/29,60987.0,21.7,0.0,0.25
2016/5/30,69516.0,17.4,23.0,1.0
2016/5/31,71196.0,20.4,0,0.5
2016/6/1,70825.0,21.5,0,0.5
2016/6/2,70304.0,20.7,0,0
2016/6/3,70214.0,19.4,0,0
2016/6/4,65344.0,21.7,0.0,0.5
2016/6/5,59785.0,19.3,3.0,0.5
2016/6/6,69678.0,20.0,0,0.5
2016/6/7,72071.0,19.6,0.5,0.5
2016/6/8,73539.0,21.9,0.0,0.5
2016/6/9,74555.0,21.2,6.5,0.5
2016/6/10,75644.0,23.5,0,0
2016/6/11,68034.0,23.5,0,0.25
2016/6/12,64572.0,23.9,0.0,0.5
2016/6/13,72350.0,19.8,98.5,1.0
2016/6/14,73759.0,22.2,0,0.5
2016/6/15,72861.0,20.8,0.0,0.5
2016/6/16,74250.0,22.1,7.5,0.5
2016/6/17,77900.0,24.2,2.5,0
2016/6/18,72069.0,26.7,0,0
2016/6/19,66144.0,24.3,5.0,0.5
2016/6/20,79664.0,24.3,4.0,0.5
2016/6/21,78933.0,22.7,10.0,1.0
2016/6/22,77168.0,22.7,0.5,0.5
2016/6/23,78029.0,23.0,9.5,0.5
2016/6/24,76065.0,22.7,1.5,0.5
2016/6/25,71671.0,25.4,1.0,0.5
2016/6/26,67188.0,25.5,0,0.5
2016/6/27,77476.0,24.4,0,0
2016/6/28,74806.0,19.1,23.0,1.0
2016/6/29,74863.0,21.5,0.5,0.5
2016/6/30,75909.0,23.0,1.0,0.5
2016/7/1,80622.0,25.6,0,0.5
2016/7/2,76417.0,27.0,0.0,0.5
2016/7/3,78475.0,29.2,0,0.5
2016/7/4,89812.0,27.8,1.5,0
2016/7/5,78213.0,21.7,0.0,0.5
2016/7/6,78125.0,23.1,0,0.5
2016/7/7,88051.0,27.4,0,0
2016/7/8,82639.0,25.3,0.0,0.5
2016/7/9,69921.0,22.4,12.5,1.0
2016/7/10,71667.0,25.6,0,0.5
2016/7/11,87564.0,28.0,0,0
2016/7/12,88043.0,27.1,0,0
2016/7/13,85886.0,25.1,2.0,1.0
2016/7/14,88895.0,25.9,21.0,0.5
2016/7/15,79415.0,22.2,5.5,1.0
2016/7/16,70477.0,24.1,0,0.5
2016/7/17,70417.0,25.9,0.0,0.5
2016/7/18,81184.0,28.7,0.0,0
2016/7/19,89968.0,27.3,5.0,0
2016/7/20,86684.0,26.3,1.0,0.25
2016/7/21,78846.0,21.8,28.5,1.0
2016/7/22,75158.0,21.4,3.5,1.0
2016/7/23,66837.0,22.4,0,0.5
2016/7/24,65281.0,23.9,0,0
2016/7/25,76865.0,24.7,0,0.5
2016/7/26,77843.0,23.8,1.0,0.5
