,RESULT,TEMP,RAIN,WEATHER
0,500766.0,2187.900000000000,50.5,108.0
1,491166.0,2445.100000000000,21.5,90.0
2,480517.0,2826.9000000000000,11.0,42.0
3,485493.0,2894.000000000000,37.0,84.0
4,424093.0,3160.3,13.5,24.0
5,479830.0,3373.0000000000000,33.0,66.0
6,489355.0,3247.4,31.5,66.0
7,505181.0,3612.900000000000,0.0,60.0
8,480317.0,3372.9000000000000,59.5,90.0
9,485186.0,3433.3000000000000,10.0,72.0
10,501470.0,3740.3000000000000,105.0,78.0
11,529907.0,4025.900000000000,32.5,72.0
12,517978.0,3877.2000000000000,27.0,84.0
13,569715.0,4364.300000000000,1.5,60.0
14,574615.0,4303.300000000000,35.5,84.0
15,556991.0,4233.000000000000,40.0,78.0
16,523368.0,4011.0,4.5,84.0
17,597612.0,4560.9,45.0,48.0
18,628452.0,4879.700000000000,0.0,36.0
19,545182.0,4519.700000000000,114.5,54.0
20,592628.0,4513.900000000000,194.0,84.0
21,562475.0,4310.7,60.5,60.0
22,601626.0,4589.100000000000,19.0,36.0
23,551329.0,4111.800000000000,63.5,84.0
24,510544.0,3667.7000000000000,175.0,108.0
25,543723.0,4039.1000000000000,27.0,102.0
26,524427.0,3882.100000000000,6.5,84.0
27,480589.0,3252.900000000000,42.5,66.0
28,488466.0,3137.8000000000000,30.0,42.0
29,481296.0,2883.7000000000000,1.0,48.0
30,498552.0,2184.600000000000,33.5,90.0
31,516742.0,2023.5000000000000,7.0,24.0
32,523220.0,2165.3000000000000,55.0,60.0
33,543123.0,1818.3000000000000,45.5,84.0
34,572097.0,1551.1000000000000,27.5,60.0
35,549233.0,1767.3000000000000,4.0,36.0
36,586107.0,1375.1000000000000,40.0,48.0
37,583528.0,1531.6,2.5,24.0
38,551628.0,1392.9,27.0,48.0
39,484479.0,1203.000000000000,0.0,72.0
40,604731.0,975.7,26.0,84.0
41,645928.0,724.1000000000000,0.0,66.0
42,649974.0,720.0000000000000,0.0,66.0
43,596705.0,1268.7000000000000,0.0,60.0
44,613946.0,1098.5000000000000,8.0,54.0
45,618759.0,944.6000000000000,0.5,72.0
46,577977.0,1502.7000000000000,7.0,42.0
47,582124.0,1162.0000000000000,14.0,102.0
48,573135.0,1359.9000000000000,1.5,60.0
49,577415.0,1312.6,4.0,78.0
50,539502.0,1754.3000000000000,25.5,72.0
51,567929.0,1360.3000000000000,34.0,84.0
52,532968.0,1826.400000000000,13.5,72.0
53,511302.0,2215.500000000000,65.5,60.0
54,483943.0,2984.3000000000000,30.5,84.0
55,483013.0,2536.0,19.0,90.0
56,436126.0,2864.6000000000000,1.0,60.0
57,456312.0,3317.700000000000,4.0,24.0
58,478879.0,3088.4000000000000,28.5,66.0
59,497641.0,3705.7000000000000,1.0,84.0
