,DATE,TIME,RESULT,TEMP,RAIN
0,2019/1/1,0:00,3017,2.7,0
1,2019/1/1,1:00,2849,1.4,0
2,2019/1/1,2:00,2730,2.1,0
3,2019/1/1,3:00,2636,1.5,0
4,2019/1/1,4:00,2579,1.4,0
5,2019/1/1,5:00,2592,1.1,0
6,2019/1/1,6:00,2726,2.5,0
7,2019/1/1,7:00,2905,1.5,0
8,2019/1/1,8:00,3014,3.1,0
9,2019/1/1,9:00,2886,5.8,0
10,2019/1/1,10:00,2713,7.1,0
11,2019/1/1,11:00,2564,8.6,0
12,2019/1/1,12:00,2472,9.6,0
13,2019/1/1,13:00,2421,10.2,0
14,2019/1/1,14:00,2426,10.2,0
15,2019/1/1,15:00,2501,9.2,0
16,2019/1/1,16:00,2736,8.6,0
17,2019/1/1,17:00,3052,6.4,0
18,2019/1/1,18:00,3141,6.2,0
19,2019/1/1,19:00,3160,6,0
20,2019/1/1,20:00,3166,5.9,0
21,2019/1/1,21:00,3133,5.6,0
22,2019/1/1,22:00,3011,5.5,0
23,2019/1/1,23:00,2883,4.4,0
24,2019/1/2,0:00,2687,4.2,0
25,2019/1/2,1:00,2562,2.7,0
26,2019/1/2,2:00,2508,3,0
27,2019/1/2,3:00,2468,2.9,0
28,2019/1/2,4:00,2452,3.1,0
29,2019/1/2,5:00,2506,3.3,0
30,2019/1/2,6:00,2674,3,0
31,2019/1/2,7:00,2895,4.1,0
32,2019/1/2,8:00,3017,5.3,0
33,2019/1/2,9:00,2922,7.3,0
34,2019/1/2,10:00,2774,8.3,0
35,2019/1/2,11:00,2662,9.4,0
36,2019/1/2,12:00,2597,10.3,0
37,2019/1/2,13:00,2557,10.4,0
38,2019/1/2,14:00,2567,10.2,0
39,2019/1/2,15:00,2662,9.7,0
40,2019/1/2,16:00,2904,9.5,0
41,2019/1/2,17:00,3202,8.2,0
42,2019/1/2,18:00,3286,7.5,0
43,2019/1/2,19:00,3300,6.3,0
44,2019/1/2,20:00,3298,6.1,0
45,2019/1/2,21:00,3251,4.8,0
46,2019/1/2,22:00,3127,4.9,0
47,2019/1/2,23:00,3003,4.3,0
48,2019/1/3,0:00,2788,4.2,0
49,2019/1/3,1:00,2649,3.2,0
50,2019/1/3,2:00,2588,2.2,0
51,2019/1/3,3:00,2552,1.3,0
52,2019/1/3,4:00,2543,0.7,0
53,2019/1/3,5:00,2606,1.3,0
54,2019/1/3,6:00,2791,1.2,0
55,2019/1/3,7:00,3017,0.2,0
56,2019/1/3,8:00,3171,2.3,0
57,2019/1/3,9:00,3105,4.9,0
58,2019/1/3,10:00,2946,6.7,0
59,2019/1/3,11:00,2819,8.5,0
60,2019/1/3,12:00,2755,10.2,0
61,2019/1/3,13:00,2711,10.4,0
62,2019/1/3,14:00,2718,9.8,0
63,2019/1/3,15:00,2818,9.1,0
64,2019/1/3,16:00,3090,8.1,0
65,2019/1/3,17:00,3442,7.1,0
66,2019/1/3,18:00,3545,6.1,0
67,2019/1/3,19:00,3553,5.1,0
68,2019/1/3,20:00,3535,4.9,0
69,2019/1/3,21:00,3447,4.1,0
70,2019/1/3,22:00,3276,3.9,0
71,2019/1/3,23:00,3097,3.4,0
72,2019/1/4,0:00,2853,3.3,0
73,2019/1/4,1:00,2713,2.4,0
74,2019/1/4,2:00,2648,2.7,0
75,2019/1/4,3:00,2617,2,0
76,2019/1/4,4:00,2623,2.1,0
77,2019/1/4,5:00,2758,1.1,0
78,2019/1/4,6:00,3112,0.6,0
79,2019/1/4,7:00,3449,0.5,0
80,2019/1/4,8:00,3665,2.1,0
81,2019/1/4,9:00,3624,4.1,0
82,2019/1/4,10:00,3441,6.7,0
83,2019/1/4,11:00,3291,8.1,0
84,2019/1/4,12:00,3176,9.1,0
85,2019/1/4,13:00,3134,9.1,0
86,2019/1/4,14:00,3132,8.8,0
87,2019/1/4,15:00,3204,8.4,0
88,2019/1/4,16:00,3445,7.7,0
89,2019/1/4,17:00,3754,6.3,0
90,2019/1/4,18:00,3793,4.8,0
91,2019/1/4,19:00,3751,7.5,0
92,2019/1/4,20:00,3682,5.7,0
93,2019/1/4,21:00,3548,6.8,0
94,2019/1/4,22:00,3363,6.4,0
95,2019/1/4,23:00,3172,5.2,0
96,2019/1/5,0:00,2934,3.4,0
97,2019/1/5,1:00,2783,3.3,0
98,2019/1/5,2:00,2709,2.5,0
99,2019/1/5,3:00,2663,1.5,0
100,2019/1/5,4:00,2656,1,0
101,2019/1/5,5:00,2739,1.6,0
102,2019/1/5,6:00,2991,1.1,0
103,2019/1/5,7:00,3274,1.8,0
104,2019/1/5,8:00,3509,3.4,0
105,2019/1/5,9:00,3494,6.3,0
106,2019/1/5,10:00,3319,10.6,0
107,2019/1/5,11:00,3167,11.5,0
108,2019/1/5,12:00,3045,13,0
109,2019/1/5,13:00,2998,13.7,0
110,2019/1/5,14:00,2971,13.4,0
111,2019/1/5,15:00,3018,13.4,0
112,2019/1/5,16:00,3227,12,0
113,2019/1/5,17:00,3545,11.2,0
114,2019/1/5,18:00,3614,10.5,0
115,2019/1/5,19:00,3604,9.5,0
116,2019/1/5,20:00,3552,8.4,0
117,2019/1/5,21:00,3428,7.3,0
118,2019/1/5,22:00,3253,7.1,0
119,2019/1/5,23:00,3082,6.6,0
120,2019/1/6,0:00,2877,6.1,0
121,2019/1/6,1:00,2752,5.6,0
122,2019/1/6,2:00,2685,4.9,0
