,0
2,63798.0
4,76572.0
8,63956.0
9,60860.0
15,65129.0
16,62243.0
23,61722.0
28,63948.0
29,61786.0
30,58282.0
32,58983.0
33,58690.0
34,58930.0
39,72401.0
40,73217.0
41,73195.0
42,73783.0
44,61356.0
46,73343.0
51,62839.0
52,74517.0
53,78288.0
54,76192.0
55,76618.0
58,60987.0
65,59785.0
70,75644.0
77,77900.0
80,79664.0
81,78933.0
83,78029.0
86,67188.0
91,80622.0
94,89812.0
97,88051.0
101,87564.0
102,88043.0
103,85886.0
104,88895.0
106,70477.0
109,89968.0
113,66837.0
114,65281.0
119,86012.0
122,87434.0
123,87793.0
124,88785.0
125,92312.0
126,94404.0
129,90967.0
130,99197.0
131,94296.0
134,72934.0
135,67836.0
146,91617.0
147,92323.0
148,74596.0
149,65597.0
156,74388.0
157,90002.0
158,93688.0
163,68188.0
170,68633.0
171,69972.0
174,70881.0
176,69927.0
177,66522.0
180,85638.0
183,67459.0
184,65988.0
190,68137.0
191,64376.0
192,63490.0
197,65039.0
198,61006.0
205,60889.0
215,77102.0
219,62774.0
221,77800.0
222,79242.0
223,82622.0
224,83972.0
226,65060.0
233,66016.0
237,94780.0
238,89697.0
247,68716.0
250,85672.0
255,87266.0
256,86333.0
257,87452.0
258,89345.0
259,92184.0
266,73428.0
273,71973.0
274,67855.0
275,62234.0
276,63592.0
277,65243.0
280,88836.0
285,88357.0
286,90131.0
287,90085.0
288,90338.0
290,97278.0
291,94044.0
294,100374.0
298,98512.0
299,97141.0
303,74984.0
314,99064.0
323,78656.0
324,75104.0
330,77774.0
331,71624.0
337,76791.0
338,69847.0
344,77220.0
345,72440.0
348,90074.0
351,74363.0
352,67726.0
353,69869.0
360,89772.0
366,70068.0
370,72748.0
371,72436.0
372,67690.0
373,64520.0
379,65658.0
380,61353.0
386,66202.0
387,61999.0
393,62669.0
394,59242.0
397,58081.0
398,56786.0
399,57024.0
400,59206.0
401,58563.0
408,59751.0
416,74187.0
417,74634.0
422,61312.0
424,75927.0
425,76319.0
426,75845.0
429,60753.0
436,62863.0
441,75655.0
443,62047.0
445,76448.0
446,76393.0
447,76605.0
448,78943.0
452,77746.0
454,80138.0
455,78759.0
458,88138.0
459,87514.0
460,86643.0
461,85923.0
462,88413.0
465,91154.0
466,93044.0
467,95916.0
468,95196.0
469,94016.0
475,93669.0
476,96503.0
480,94699.0
485,72316.0
493,95582.0
494,96422.0
495,100302.0
497,72015.0
498,69380.0
499,69880.0
500,69401.0
501,67701.0
502,66904.0
508,91390.0
509,96163.0
510,98326.0
511,99805.0
519,66086.0
520,64437.0
533,68017.0
534,63860.0
540,66161.0
541,64008.0
547,65344.0
548,61888.0
554,66220.0
555,62216.0
562,64094.0
569,66367.0
576,66723.0
581,66956.0
582,65395.0
583,63519.0
590,65531.0
592,78334.0
594,77881.0
595,79438.0
598,86561.0
599,85942.0
600,88002.0
609,84238.0
612,85194.0
613,84315.0
614,87013.0
615,88428.0
616,92675.0
620,89108.0
621,91630.0
622,93097.0
623,93876.0
626,93421.0
627,93129.0
628,93156.0
629,93870.0
638,73059.0
639,74438.0
640,66839.0
641,67168.0
642,71952.0
644,90618.0
650,93313.0
651,97694.0
654,95621.0
660,78224.0
661,101258.0
662,97870.0
663,99323.0
664,104453.0
665,104906.0
671,101949.0
672,106343.0
674,83338.0
681,76013.0
692,99183.0
694,84173.0
695,81574.0
699,81495.0
700,82128.0
701,76433.0
702,67607.0
703,77011.0
709,72003.0
713,74223.0
716,68785.0
722,71249.0
723,65336.0
729,65527.0
730,62002.0
737,63458.0
744,63321.0
751,62860.0
757,63234.0
758,59196.0
759,60992.0
762,60987.0
763,57096.0
764,56853.0
765,57876.0
775,74589.0
776,76840.0
777,77813.0
779,59539.0
786,62664.0
788,75638.0
793,64241.0
794,75647.0
795,77811.0
797,76994.0
798,78591.0
800,64908.0
806,65666.0
807,61079.0
814,64926.0
815,81581.0
816,83887.0
817,87623.0
818,89018.0
819,91522.0
820,85628.0
822,94539.0
823,95409.0
824,91734.0
829,91179.0
830,95351.0
831,97041.0
833,97110.0
837,103315.0
838,106693.0
839,105399.0
840,104646.0
843,107220.0
844,105890.0
848,76814.0
852,104247.0
853,107653.0
854,106708.0
858,83199.0
863,76980.0
868,75818.0
869,67673.0
870,66187.0
873,100221.0
874,100633.0
878,101439.0
884,68878.0
893,77452.0
894,74358.0
897,69767.0
898,66441.0
904,69299.0
905,66298.0
911,66735.0
912,63858.0
925,66169.0
926,62085.0
932,65994.0
933,61717.0
940,61665.0
946,65159.0
947,63359.0
954,61629.0
961,64519.0
963,76053.0
964,77070.0
965,78994.0
969,77674.0
970,77201.0
976,78359.0
979,81901.0
980,79384.0
983,89970.0
984,95305.0
985,93128.0
986,92667.0
987,92412.0
990,91640.0
1003,74762.0
1004,73301.0
1005,67313.0
1006,67881.0
1011,90877.0
1012,94329.0
1013,95515.0
1014,102474.0
1015,94960.0
1019,97436.0
1035,97179.0
1038,76097.0
1039,80008.0
1044,96648.0
1050,99972.0
1052,78671.0
1055,80717.0
1058,76028.0
1059,72495.0
1065,74270.0
1066,77013.0
1072,75362.0
1073,68162.0
1080,70029.0
1084,69025.0
1085,70737.0
1087,69739.0
1094,67283.0
1100,65098.0
1101,61838.0
1104,88078.0
1107,69384.0
1108,63949.0
1114,64460.0
1115,60774.0
1122,60439.0
1123,59601.0
1124,61237.0
1125,59052.0
1126,57168.0
1127,55680.0
1128,56188.0
