,DATE,TIME,RESULT,TEMP,RAIN
0,2017/1/1,0:00,2783,5.4,0
1,2017/1/1,1:00,2634,5.1,0
2,2017/1/1,2:00,2520,4.1,0
3,2017/1/1,3:00,2438,4,0
4,2017/1/1,4:00,2389,3,0
5,2017/1/1,5:00,2394,3.6,0
6,2017/1/1,6:00,2491,2.5,0
7,2017/1/1,7:00,2626,2.8,0
8,2017/1/1,8:00,2715,3.7,0
9,2017/1/1,9:00,2637,6.4,0
10,2017/1/1,10:00,2507,9.3,0
11,2017/1/1,11:00,2400,11.7,0
12,2017/1/1,12:00,2333,13.7,0
13,2017/1/1,13:00,2283,12.9,0
14,2017/1/1,14:00,2259,13.1,0
15,2017/1/1,15:00,2317,12.3,0
16,2017/1/1,16:00,2540,11.5,0
17,2017/1/1,17:00,2839,7.8,0
18,2017/1/1,18:00,2919,7.8,0
19,2017/1/1,19:00,2930,7,0
20,2017/1/1,20:00,2935,8,0
21,2017/1/1,21:00,2896,7,0
22,2017/1/1,22:00,2780,8.3,0
23,2017/1/1,23:00,2669,7.6,0
24,2017/1/2,0:00,2494,5.3,0
25,2017/1/2,1:00,2383,4.8,0
26,2017/1/2,2:00,2335,4.3,0
27,2017/1/2,3:00,2296,4.3,0
28,2017/1/2,4:00,2273,5,0
29,2017/1/2,5:00,2308,4.5,0
30,2017/1/2,6:00,2448,4.6,0
31,2017/1/2,7:00,2644,4.4,0
32,2017/1/2,8:00,2844,5.5,0
33,2017/1/2,9:00,2883,6.5,0
34,2017/1/2,10:00,2724,7.7,0
35,2017/1/2,11:00,2579,9.9,0
36,2017/1/2,12:00,2505,11.6,0
37,2017/1/2,13:00,2458,12.7,0
38,2017/1/2,14:00,2406,12.1,0
39,2017/1/2,15:00,2469,11.8,0
40,2017/1/2,16:00,2689,9.9,0
41,2017/1/2,17:00,2992,8,0
42,2017/1/2,18:00,3069,7.3,0
43,2017/1/2,19:00,3086,6.7,0
44,2017/1/2,20:00,3068,6.9,0
45,2017/1/2,21:00,2999,6.2,0
46,2017/1/2,22:00,2883,6.1,0
47,2017/1/2,23:00,2757,6.5,0
48,2017/1/3,0:00,2565,6.2,0
49,2017/1/3,1:00,2438,4.3,0
50,2017/1/3,2:00,2376,4.7,0
51,2017/1/3,3:00,2330,4.1,0
52,2017/1/3,4:00,2310,4.5,0
53,2017/1/3,5:00,2350,3.8,0
54,2017/1/3,6:00,2499,4.9,0
55,2017/1/3,7:00,2659,5.4,0
56,2017/1/3,8:00,2818,5.7,0
57,2017/1/3,9:00,2822,8.2,0
58,2017/1/3,10:00,2725,9.9,0
59,2017/1/3,11:00,2624,11.3,0
60,2017/1/3,12:00,2556,12.6,0
61,2017/1/3,13:00,2539,13.2,0
62,2017/1/3,14:00,2525,13.1,0
63,2017/1/3,15:00,2590,12.1,0
64,2017/1/3,16:00,2828,11.4,0
65,2017/1/3,17:00,3155,10.2,0
66,2017/1/3,18:00,3237,9.5,0
67,2017/1/3,19:00,3240,8.7,0
68,2017/1/3,20:00,3209,8.3,0
69,2017/1/3,21:00,3110,7.4,0
70,2017/1/3,22:00,2949,6.5,0
71,2017/1/3,23:00,2789,6.6,0
72,2017/1/4,0:00,2571,5.4,0
73,2017/1/4,1:00,2451,5.4,0
74,2017/1/4,2:00,2392,6.2,0
75,2017/1/4,3:00,2354,6.2,0
76,2017/1/4,4:00,2354,5.8,0
77,2017/1/4,5:00,2466,5.5,0
78,2017/1/4,6:00,2768,4.6,0
79,2017/1/4,7:00,3026,3.7,0
80,2017/1/4,8:00,3237,5.4,0
81,2017/1/4,9:00,3263,8.7,0
82,2017/1/4,10:00,3152,10.3,0
83,2017/1/4,11:00,3048,12.1,0
84,2017/1/4,12:00,2950,12.5,0
85,2017/1/4,13:00,2941,13.3,0
86,2017/1/4,14:00,2924,13.4,0
87,2017/1/4,15:00,2969,13.1,0
88,2017/1/4,16:00,3203,12.9,0
89,2017/1/4,17:00,3511,11.2,0
90,2017/1/4,18:00,3571,9.5,0
91,2017/1/4,19:00,3559,8.8,0
92,2017/1/4,20:00,3493,8.1,0
93,2017/1/4,21:00,3354,7.2,0
94,2017/1/4,22:00,3163,7,0
95,2017/1/4,23:00,2924,6.7,0
96,2017/1/5,0:00,2682,6.4,0
97,2017/1/5,1:00,2555,6.4,0
98,2017/1/5,2:00,2495,6.5,0
99,2017/1/5,3:00,2469,6.5,0
100,2017/1/5,4:00,2493,6.4,0
101,2017/1/5,5:00,2656,5.4,0
102,2017/1/5,6:00,3054,5.2,0
103,2017/1/5,7:00,3384,5.2,0
104,2017/1/5,8:00,3683,6.3,0
105,2017/1/5,9:00,3793,7.9,0
106,2017/1/5,10:00,3701,8.7,0
107,2017/1/5,11:00,3661,9.1,0
108,2017/1/5,12:00,3491,10.2,0
109,2017/1/5,13:00,3560,9.8,0
110,2017/1/5,14:00,3593,9.6,0
111,2017/1/5,15:00,3654,8.7,0
112,2017/1/5,16:00,3906,7.9,0
113,2017/1/5,17:00,4138,6.8,0
114,2017/1/5,18:00,4142,6,0
115,2017/1/5,19:00,4078,5.4,0
116,2017/1/5,20:00,3978,5,0
117,2017/1/5,21:00,3817,4.7,0
118,2017/1/5,22:00,3603,4.6,0
119,2017/1/5,23:00,3352,4.7,0
120,2017/1/6,0:00,3064,4.2,0
121,2017/1/6,1:00,2903,3.6,0
122,2017/1/6,2:00,2828,2.9,0
123,2017/1/6,3:00,2780,2.3,0
124,2017/1/6,4:00,2803,2.1,0
125,2017/1/6,5:00,2993,2,0
126,2017/1/6,6:00,3455,1.7,0
127,2017/1/6,7:00,3806,2,0
128,2017/1/6,8:00,4101,2.8,0
129,2017/1/6,9:00,4194,4.8,0
130,2017/1/6,10:00,4071,5.9,0
131,2017/1/6,11:00,3977,6.7,0
132,2017/1/6,12:00,3752,7.1,0
133,2017/1/6,13:00,3861,8.1,0
134,2017/1/6,14:00,3869,7.6,0
135,2017/1/6,15:00,3892,7.2,0
136,2017/1/6,16:00,4117,6.8,0
137,2017/1/6,17:00,4349,6.6,0
138,2017/1/6,18:00,4327,6,0
139,2017/1/6,19:00,4236,4.5,0
140,2017/1/6,20:00,4121,3.1,0
141,2017/1/6,21:00,3960,2.8,0
142,2017/1/6,22:00,3799,3,0
143,2017/1/6,23:00,3578,3.8,0
144,2017/1/7,0:00,3317,3.6,0
145,2017/1/7,1:00,3133,2.4,0
146,2017/1/7,2:00,3017,1.3,0
147,2017/1/7,3:00,2950,1.5,0
148,2017/1/7,4:00,2936,1.3,0
149,2017/1/7,5:00,3033,1.5,0
150,2017/1/7,6:00,3326,0.9,0
151,2017/1/7,7:00,3618,0.8,0
152,2017/1/7,8:00,3915,1.5,0
153,2017/1/7,9:00,3987,3.6,0
154,2017/1/7,10:00,3835,5.4,0
155,2017/1/7,11:00,3700,5.9,0
156,2017/1/7,12:00,3505,7,0
157,2017/1/7,13:00,3509,8,0
158,2017/1/7,14:00,3485,8.1,0
159,2017/1/7,15:00,3510,7.7,0
160,2017/1/7,16:00,3752,6.7,0
161,2017/1/7,17:00,4032,5.1,0
162,2017/1/7,18:00,4064,5.2,0
163,2017/1/7,19:00,4009,5.4,0
164,2017/1/7,20:00,3931,3.6,0
165,2017/1/7,21:00,3775,4.9,0
166,2017/1/7,22:00,3585,4.1,0
167,2017/1/7,23:00,3394,3.7,0
168,2017/1/8,0:00,3149,3.2,0
169,2017/1/8,1:00,2985,2.9,0
170,2017/1/8,2:00,2893,3.4,0
