,0
0,0.25760987
1,0.4139579
2,0.4123523
3,0.3966743
4,0.31706586
5,0.16839011
6,0.17083134
7,0.34484935
8,0.35691217
9,0.33325276
10,0.31773904
11,0.32124168
12,0.2292113
13,0.18333946
14,0.27015707
15,0.33994216
16,0.37030584
17,0.36119074
18,0.32946327
19,0.08259723
20,0.115251966
21,0.21913522
22,0.26044965
23,0.14194494
24,0.1311227
25,0.081686296
26,0.20826936
27,0.23498973
28,0.2006726
29,0.29428682
30,0.29655024
31,0.4119737
32,0.43818632
33,0.32120574
34,0.17148139
35,0.2691204
36,0.39134145
37,0.38727045
38,0.35370597
39,0.32715952
40,0.20201965
41,0.1421965
42,0.33502647
43,0.44926447
44,0.45985737
45,0.3983238
46,0.3898263
47,0.22533646
48,0.15255448
49,0.3222835
50,0.36316687
51,0.36083686
52,0.33149567
53,0.2779678
54,0.18108796
55,0.16323715
56,0.27258363
57,0.36660764
58,0.3530706
59,0.3729988
60,0.3716683
61,0.28947154
62,0.16922142
63,0.36059293
64,0.41190723
65,0.3968533
66,0.3714984
67,0.37140435
68,0.33999977
69,0.2554835
70,0.35515156
71,0.5270603
72,0.43067652
73,0.43935516
74,0.4588081
75,0.30086875
76,0.25332943
77,0.4107544
78,0.4749189
79,0.38647854
80,0.39766032
81,0.38771325
82,0.3988976
83,0.343014
84,0.54962003
85,0.63721466
86,0.37903392
87,0.4850662
88,0.6345722
89,0.42115852
90,0.32666582
91,0.4386697
92,0.5821923
93,0.5438457
94,0.62580454
95,0.55425024
96,0.24734613
97,0.33453417
98,0.52114516
99,0.54652673
100,0.67317027
101,0.54954267
102,0.35851368
103,0.24553
104,0.2313238
105,0.3787579
106,0.4888506
107,0.45869932
108,0.4260497
109,0.48039654
110,0.4120116
111,0.4105786
112,0.55571824
113,0.63965744
114,0.5943985
115,0.64063025
116,0.66856694
117,0.6001777
118,0.5151251
119,0.5945171
120,0.6877733
121,0.772916
122,0.6615215
123,0.46176276
124,0.4512094
125,0.25317875
126,0.36284256
127,0.4401748
128,0.47446656
129,0.5558611
130,0.53909945
131,0.48855525
132,0.30899158
133,0.5059629
134,0.6110371
135,0.6260624
136,0.5988304
137,0.6441146
138,0.54601556
139,0.3092123
140,0.36072856
141,0.589107
142,0.47156566
143,0.52725464
144,0.5322105
145,0.39461258
146,0.30083334
147,0.63196164
148,0.687807
149,0.7011777
150,0.6169499
151,0.5883161
152,0.48579335
153,0.33598584
154,0.4404839
155,0.5391142
156,0.47735196
157,0.44165844
158,0.50821966
159,0.3270226
160,0.26523927
161,0.41639745
162,0.34387612
163,0.41391736
164,0.37068853
165,0.31404537
166,0.3610965
167,0.2066668
168,0.2717588
169,0.5568027
170,0.505119
171,0.54868066
172,0.50712734
173,0.25305778
174,0.2078678
175,0.40349847
176,0.48313168
177,0.5270873
178,0.4132218
179,0.42263162
180,0.20755677
181,0.27030146
182,0.36034173
183,0.2416504
184,0.35539535
185,0.33013016
186,0.29776424
187,0.2454583
188,0.15959223
189,0.15987027
190,0.42619312
191,0.38394368
192,0.38138443
193,0.34979716
194,0.19604383
195,0.16502404
196,0.29441684
197,0.3488106
198,0.37509105
199,0.3448124
200,0.29375318
201,0.27531204
202,0.15800162
203,0.34832606
204,0.39174822
205,0.38923737
206,0.43601447
207,0.28874123
208,0.27840495
209,0.19588242
210,0.27280232
211,0.45561415
212,0.43952557
213,0.4312155
214,0.5085531
215,0.42083335
216,0.19170272
217,0.4016037
218,0.4771126
219,0.4215318
220,0.4632089
221,0.38886392
222,0.29531318
223,0.2942354
224,0.38708282
225,0.49953496
226,0.40070593
227,0.4130049
228,0.74623775
229,0.48551905
230,0.35453728
231,0.46935728
232,0.48763943
233,0.52758175
234,0.60853255
235,0.51435024
236,0.39643222
237,0.2845979
238,0.39522046
239,0.46859822
240,0.49188662
241,0.5593793
242,0.49887675
243,0.39490595
244,0.3471716
245,0.4757843
246,0.6574151
247,0.5849746
248,0.58932215
249,0.5854553
250,0.56146836
251,0.46813104
252,0.5024743
253,0.57298195
254,0.5358849
255,0.51509815
256,0.5184492
257,0.28492087
258,0.34555653
259,0.4398468
260,0.600707
261,0.49174687
262,0.4552145
263,0.3615926
264,0.2954414
265,0.30260032
266,0.25960964
267,0.24325404
268,0.2622163
269,0.35202304
270,0.4803529
271,0.5385855
272,0.44960558
273,0.5147775
274,0.507694
275,0.6613259
276,0.6829955
277,0.6682871
278,0.6399636
279,0.5858061
280,0.55097467
281,0.7688019
282,0.6528655
283,0.67281085
284,0.6678837
285,0.7450508
286,0.49179405
287,0.52410954
288,0.7349428
289,0.68718314
290,0.70978487
291,0.6965606
292,0.490471
293,0.33753237
294,0.5705747
295,0.5509775
296,0.65297645
297,0.5979256
298,0.6314803
299,0.47882885
300,0.36284506
301,0.5379844
302,0.62204933
303,0.66338027
304,0.6412954
305,0.7388737
306,0.5496002
307,0.47732466
308,0.574719
309,0.6840278
310,0.64307
311,0.6434874
312,0.56402725
313,0.38629484
314,0.39852187
315,0.47603863
316,0.55586535
317,0.60650384
318,0.57597953
319,0.45359597
320,0.5015163
321,0.35927403
322,0.40526682
323,0.64610225
324,0.5665745
325,0.55493665
326,0.59547585
327,0.3863951
328,0.32700264
329,0.45896345
330,0.57666
331,0.61800283
332,0.5772923
333,0.51056546
334,0.39501035
335,0.3115844
336,0.49023762
337,0.6024742
338,0.59455675
339,0.6201028
340,0.49074674
341,0.41051352
