,0
0,0.45634577
1,0.41538242
2,0.335441
3,0.31378478
4,0.2617787
5,0.25592738
6,0.24476613
7,0.26182884
8,0.30408382
9,0.4077203
10,0.5826102
11,0.6352486
12,0.637083
13,0.5982172
14,0.5656609
15,0.5207429
16,0.46133247
17,0.48730612
18,0.49779975
19,0.5195666
20,0.55937946
21,0.6321987
22,0.58201736
23,0.5395359
24,0.49736458
25,0.45720983
26,0.39026943
27,0.34743956
28,0.29588413
29,0.27851015
30,0.2665105
31,0.278939
32,0.3220475
33,0.4136364
34,0.569137
35,0.60375303
36,0.6107392
37,0.5786358
38,0.54500717
39,0.5106861
40,0.46627033
41,0.5078719
42,0.5145512
43,0.550509
44,0.60918814
45,0.6809156
46,0.6296162
47,0.600311
48,0.5606443
49,0.51411235
50,0.44575885
51,0.3985417
52,0.33321488
53,0.30779684
54,0.29197332
55,0.31021672
56,0.35118854
57,0.45069796
58,0.6249959
59,0.69044137
60,0.75229985
61,0.74009866
62,0.70081896
63,0.67689675
64,0.62854815
65,0.62226814
66,0.6068423
67,0.6299047
68,0.67825365
69,0.71305996
70,0.65812606
71,0.6172951
72,0.57642007
73,0.51134264
74,0.43622944
75,0.37434745
76,0.30805492
77,0.2822318
78,0.27287948
79,0.29898998
80,0.3445802
81,0.44266468
82,0.60548586
83,0.6781791
84,0.73656696
85,0.749245
86,0.7157816
87,0.6912131
88,0.6524411
89,0.6592241
90,0.6467598
91,0.6765703
92,0.7112929
93,0.7045402
94,0.63858813
95,0.5871363
96,0.54150015
97,0.47845078
98,0.4127969
99,0.3427195
100,0.275454
101,0.2537758
102,0.25437924
103,0.2780604
104,0.3257786
105,0.41618305
106,0.55759174
107,0.6004659
108,0.6325679
109,0.6045199
110,0.5519646
111,0.52889377
112,0.48678875
113,0.49601838
114,0.48932064
115,0.5155646
116,0.54639995
117,0.5830744
118,0.52796257
119,0.49000072
120,0.45268467
121,0.41199288
122,0.37279633
123,0.33172202
124,0.28217897
125,0.25574425
126,0.24100547
127,0.24464299
128,0.26857698
129,0.3182704
130,0.3943696
131,0.45055848
132,0.51345265
133,0.50889015
134,0.46686113
135,0.4379059
136,0.39908308
137,0.41520882
138,0.41287655
139,0.42148852
140,0.47956353
141,0.55621034
142,0.51569915
143,0.48453096
144,0.45036238
145,0.39252037
146,0.3259232
147,0.29831758
148,0.25272882
149,0.23227286
150,0.21692555
151,0.22541021
152,0.24277923
153,0.28061843
154,0.3408513
155,0.42150635
156,0.5165814
157,0.5248919
158,0.488146
159,0.4637148
160,0.4594747
161,0.40229228
162,0.4088383
163,0.4436301
164,0.48700452
165,0.5795306
166,0.5737408
167,0.5434653
168,0.50036234
169,0.45059833
170,0.3610037
171,0.33096373
172,0.2678995
173,0.25989264
174,0.24818167
175,0.26185873
176,0.30054602
177,0.40217623
178,0.5833812
179,0.68370026
180,0.7547259
181,0.7542461
182,0.7307568
183,0.7293405
184,0.6841605
185,0.6978032
186,0.6724993
187,0.7067297
188,0.74293405
189,0.74197304
190,0.6783494
191,0.6434291
192,0.6047071
193,0.5544271
194,0.48820627
195,0.4284818
196,0.3602503
197,0.32369524
198,0.31657812
199,0.33522493
200,0.38101518
201,0.48615775
202,0.6512802
203,0.73714817
204,0.82823235
205,0.8222087
206,0.7957321
207,0.78514534
208,0.74052584
209,0.7250677
210,0.70724577
211,0.72115844
212,0.7520183
213,0.7392276
214,0.6796003
215,0.6236342
216,0.5797178
217,0.5097788
218,0.4391107
219,0.36568606
220,0.2892877
221,0.26261216
222,0.26203728
223,0.28969198
224,0.33283442
225,0.41228145
226,0.5472703
227,0.58308965
228,0.6184799
229,0.5624517
230,0.49113116
231,0.44554403
232,0.4173918
233,0.43217123
234,0.4465133
235,0.46704087
236,0.48760927
237,0.5295548
238,0.47780916
239,0.44484106
240,0.40528968
241,0.3681505
242,0.30890352
243,0.27129096
244,0.22070542
245,0.21389155
246,0.20672883
247,0.22059579
248,0.25378275
249,0.334575
250,0.46882084
251,0.49380141
252,0.49521855
253,0.48149985
254,0.45508242
255,0.41646922
256,0.3883568
257,0.4225545
258,0.41876882
259,0.42677376
260,0.45488313
261,0.5225544
262,0.48163348
263,0.45157892
264,0.41209412
265,0.37602562
266,0.32091406
267,0.2814744
268,0.23208196
269,0.22557731
270,0.21761703
271,0.23178546
272,0.26595303
273,0.35264438
274,0.4933864
275,0.5281805
276,0.54851675
277,0.5366216
278,0.5289281
279,0.50147
280,0.46497184
281,0.46992368
282,0.466627
283,0.48879772
284,0.5437693
285,0.62299824
286,0.58895004
287,0.54830176
288,0.5055241
289,0.4582585
290,0.40731353
291,0.37006733
292,0.3199618
293,0.2941898
294,0.27248716
295,0.2714712
296,0.28577656
297,0.33506685
298,0.42169392
299,0.45793003
300,0.46264043
301,0.42275134
302,0.37812722
303,0.34648126
304,0.32420003
305,0.32786578
306,0.3347226
307,0.35881275
308,0.40559578
309,0.51577204
310,0.5100827
311,0.4831957
312,0.44220757
313,0.40429145
314,0.34064844
315,0.32302204
316,0.27269977
317,0.25799376
318,0.2399798
319,0.2362452
320,0.24503109
321,0.27806088
322,0.33797693
323,0.3679839
324,0.3717376
325,0.34595686
326,0.30865157
327,0.27910244
328,0.27434012
329,0.26220107
330,0.26402184
331,0.29139575
332,0.348566
333,0.48427907
334,0.49012598
335,0.465562
336,0.42512208
337,0.38773412
338,0.2925213
339,0.280375
340,0.2244654
341,0.22996524
342,0.21513692
343,0.22507794
344,0.26286352
345,0.3538139
346,0.51176983
347,0.57198864
348,0.5941551
349,0.55619603
350,0.5232646
351,0.4912612
352,0.44065404
353,0.46916685
354,0.4813912
355,0.5038062
356,0.52172
357,0.5707694
358,0.5192696
359,0.48448384
360,0.45026538
361,0.41278493
362,0.34930578
363,0.29904634
364,0.24821189
365,0.23888831
366,0.23599997
367,0.25491536
368,0.2918498
369,0.38415167
370,0.53621423
371,0.55434906
372,0.56479925
373,0.5516941
374,0.5491056
375,0.50807554
376,0.48060918
377,0.49141094
378,0.49347094
379,0.5083986
380,0.55701816
381,0.6234631
382,0.5851932
383,0.53949994
384,0.49649888
385,0.44367066
386,0.38676247
387,0.33825183
388,0.28771222
389,0.274459
390,0.26356304
391,0.27834654
392,0.32284194
393,0.42148542
394,0.58153504
395,0.5964078
396,0.58148843
397,0.5396949
398,0.5077685
399,0.4698823
400,0.427093
401,0.4665925
402,0.46761698
403,0.47292563
404,0.5191389
405,0.6085371
406,0.59391177
407,0.57006556
408,0.53976035
409,0.49925497
410,0.43525794
411,0.38980693
412,0.32610875
413,0.31217635
414,0.29671514
415,0.30969837
416,0.34899074
417,0.45219865
418,0.6253649
419,0.6658578
420,0.6736033
421,0.6557246
422,0.6360261
423,0.6026831
424,0.5506912
425,0.58059824
426,0.5778802
427,0.6264927
428,0.70310026
429,0.7971297
430,0.76531714
431,0.7287906
432,0.69430834
433,0.6446751
434,0.5656259
435,0.50158405
436,0.4211722
437,0.38317484
438,0.36226314
439,0.3747669
440,0.42448664
441,0.5409145
442,0.7281908
443,0.7708103
444,0.7649524
445,0.7345765
446,0.69618016
447,0.654313
448,0.58562905
449,0.60698295
450,0.58432853
451,0.60135514
452,0.6506027
453,0.72874385
454,0.69162315
455,0.6438225
456,0.6016316
457,0.5460805
458,0.48327526
459,0.44032335
460,0.3770938
461,0.3479061
462,0.31258065
463,0.31245607
464,0.33423927
465,0.39387098
466,0.500667
467,0.57236284
468,0.57178193
469,0.49873245
470,0.4415701
471,0.39661223
472,0.36401504
473,0.3711781
474,0.38699022
475,0.40887332
476,0.44916192
477,0.5580577
478,0.5493385
479,0.52204686
480,0.48260128
481,0.43686715
482,0.3697829
483,0.3543286
484,0.30225572
485,0.2926708
486,0.27206233
487,0.2713382
488,0.2828548
489,0.31708795
490,0.39446914
491,0.44314542
492,0.43942893
493,0.4201396
494,0.3883152
495,0.35106364
496,0.3380102
497,0.33918533
498,0.34180665
499,0.37281734
500,0.44722235
501,0.60274404
502,0.6174
503,0.58462936
504,0.5518769
505,0.5143818
506,0.42097774
507,0.3889417
508,0.32540658
509,0.31537333
510,0.2945199
511,0.30464602
512,0.34395796
513,0.4473443
514,0.6280494
515,0.7028002
516,0.750112
517,0.7015543
518,0.64164764
519,0.5962276
520,0.53463644
521,0.5289958
522,0.5327777
523,0.57518226
524,0.62112033
525,0.6800262
526,0.6428141
527,0.6006933
528,0.5597433
529,0.51163965
530,0.44266376
531,0.39741588
532,0.33591297
533,0.3107286
534,0.29199654
535,0.29580086
536,0.32345176
537,0.38146776
538,0.48029786
539,0.52420276
540,0.5397349
541,0.5042619
542,0.45487818
543,0.4189508
544,0.38592926
545,0.40239617
546,0.40325487
547,0.4267466
548,0.48121312
549,0.59846205
550,0.6016771
551,0.56752145
552,0.53383946
553,0.4864841
554,0.40389144
555,0.36773306
556,0.3130617
557,0.30544752
558,0.29108858
559,0.3021736
560,0.34268755
561,0.43935114
562,0.6096299
563,0.6467151
564,0.6434929
565,0.6166437
566,0.5862927
567,0.5321688
568,0.48261276
569,0.509509
570,0.47307718
571,0.48957682
572,0.5342693
573,0.59625286
574,0.56721795
575,0.5263035
576,0.4781048
