,0
0,0.36003616
1,0.35350674
2,0.35485047
3,0.33061764
4,0.38294786
5,0.3902249
6,0.40132412
7,0.39406645
8,0.42207497
9,0.4005662
10,0.35300103
11,0.31609085
12,0.27597168
13,0.2506567
14,0.19270174
15,0.15971616
16,0.14444211
17,0.13825624
18,0.12969537
19,0.13250567
20,0.16784462
21,0.21410681
22,0.27984822
23,0.35563305
24,0.38586044
25,0.3546249
26,0.34454775
27,0.3377046
28,0.31676903
29,0.3027672
30,0.32146153
31,0.34324822
32,0.3760205
33,0.38841486
34,0.34859666
35,0.3018073
36,0.24158554
37,0.20222612
38,0.15528332
39,0.11884057
40,0.10402099
41,0.103586204
42,0.100031026
43,0.10295514
44,0.13619031
45,0.16619913
46,0.22768052
47,0.26892588
48,0.2752881
49,0.23910931
50,0.25334796
51,0.24605878
52,0.21879351
53,0.20699365
54,0.22781518
55,0.2537777
56,0.2961766
57,0.3601552
58,0.31226248
59,0.27259797
60,0.21167956
61,0.17612015
62,0.111686446
63,0.10160316
64,0.09292411
65,0.09060814
66,0.083998926
67,0.106366776
68,0.17319404
69,0.25723252
70,0.3497888
71,0.406361
72,0.4365535
73,0.41312838
74,0.40108234
75,0.33891788
76,0.3964618
77,0.37199417
78,0.3932733
79,0.40685996
80,0.40790293
81,0.39266577
82,0.33850163
83,0.30285618
84,0.2696717
85,0.25440967
86,0.18152858
87,0.13211952
88,0.11980791
89,0.13023083
90,0.12123618
91,0.1456796
92,0.21323785
93,0.3123899
94,0.39764664
95,0.46985957
96,0.4997538
97,0.489633
98,0.47353953
99,0.43510655
100,0.48096925
101,0.44949934
102,0.45552438
103,0.45231882
104,0.45796978
105,0.44809803
106,0.3972129
107,0.3598013
108,0.3120929
109,0.28293282
110,0.20137556
111,0.14429857
112,0.13949938
113,0.14812538
114,0.14410613
115,0.1715423
116,0.245188
117,0.32039395
118,0.35781646
119,0.37515268
120,0.38693377
121,0.366465
122,0.35061774
123,0.30924287
124,0.3628855
125,0.37305212
126,0.37328473
127,0.36505812
128,0.37059775
129,0.38265768
130,0.3350589
131,0.30866903
132,0.269411
133,0.24921222
134,0.15875511
135,0.11877359
136,0.1084779
137,0.12296853
138,0.11569426
139,0.13630296
140,0.19767152
141,0.2957312
142,0.3946173
143,0.4624724
144,0.49985984
145,0.4967053
146,0.4974727
147,0.4614038
148,0.5007473
149,0.46727526
150,0.46692362
151,0.46792963
152,0.45656884
153,0.43852136
154,0.37780148
155,0.3366885
156,0.29186523
157,0.24669398
158,0.17661418
159,0.13173491
160,0.12847221
161,0.13675536
162,0.13717507
163,0.16239637
164,0.20939054
165,0.27526945
166,0.31426707
167,0.36365458
168,0.3854694
169,0.3886592
170,0.3515859
171,0.32779962
172,0.3934714
173,0.37486506
174,0.37123173
175,0.3701339
176,0.3715134
177,0.35648057
178,0.31778422
179,0.28612855
180,0.25575432
181,0.22706535
182,0.15716611
183,0.11247676
184,0.103977196
185,0.114471756
186,0.10875704
187,0.11600379
188,0.14192824
189,0.16055642
190,0.20487384
191,0.23681305
192,0.25048587
193,0.24063507
194,0.248183
195,0.22641586
196,0.26555088
197,0.24844305
198,0.2515444
199,0.24324892
200,0.28221837
201,0.3119065
202,0.28652543
203,0.24447761
204,0.19285077
205,0.17860626
206,0.107885875
207,0.09771616
208,0.083079375
209,0.10369369
210,0.08719777
211,0.094537474
212,0.10182134
213,0.112081856
214,0.147269
215,0.16738649
216,0.19211116
217,0.19145124
218,0.1939139
219,0.20592451
220,0.2073643
221,0.18259643
222,0.19855373
223,0.22648215
224,0.2584551
225,0.328616
226,0.27698094
227,0.23955359
228,0.19428165
229,0.1571879
230,0.09754688
231,0.080466755
232,0.07512467
233,0.08182653
234,0.07998476
235,0.102927595
236,0.17250629
237,0.26166752
238,0.3357188
239,0.383903
240,0.40505847
241,0.3848021
242,0.37382406
243,0.34447566
244,0.38977155
245,0.37577704
246,0.40342107
247,0.4149671
248,0.43907043
249,0.44897217
250,0.40290245
251,0.36735654
252,0.33158612
253,0.31333545
254,0.22775517
255,0.17062128
256,0.16222446
257,0.16646554
258,0.16257738
259,0.19293387
260,0.2715272
261,0.37353715
262,0.38867
263,0.40558296
264,0.41848883
265,0.41731742
266,0.38307413
267,0.35684386
268,0.39762685
269,0.3913616
270,0.3941225
271,0.4060688
272,0.43151236
273,0.44600323
274,0.39932948
275,0.35474584
276,0.31124976
277,0.2742624
278,0.18411115
279,0.14634366
280,0.13941228
281,0.15301919
282,0.14866969
283,0.17114398
284,0.23744495
285,0.3393564
286,0.39925015
287,0.43772927
288,0.46878204
289,0.4412001
290,0.422581
291,0.38246366
292,0.43096408
293,0.37773654
294,0.40178892
295,0.41144252
296,0.43224946
297,0.4129261
298,0.36243945
299,0.31598657
300,0.27976376
301,0.2504719
302,0.1811901
303,0.14488757
304,0.13193423
305,0.14186946
306,0.13900961
307,0.15977202
308,0.21645077
309,0.29775545
310,0.3652509
311,0.42153406
312,0.44534215
313,0.43421435
314,0.42466038
315,0.38009933
316,0.42795655
317,0.40068817
318,0.3902065
319,0.40278026
320,0.40497285
321,0.40102908
322,0.3547359
323,0.31031108
324,0.2659294
325,0.2336422
326,0.16546734
327,0.13921347
328,0.12698308
329,0.13814206
330,0.14075339
331,0.16116811
332,0.20151488
333,0.27560893
334,0.31568658
335,0.3435239
336,0.37850335
337,0.3652708
338,0.34782234
339,0.29838458
340,0.37220883
341,0.34631202
342,0.37334397
343,0.3683838
344,0.37966782
345,0.36921135
346,0.3409809
347,0.29262793
348,0.2705785
349,0.2503901
350,0.16732518
351,0.124377154
352,0.11742399
353,0.12682042
354,0.11788983
355,0.13188966
356,0.15654558
357,0.19441381
358,0.23113593
359,0.26938903
360,0.27015004
361,0.27462736
362,0.25257558
363,0.24699284
364,0.25108364
365,0.25884515
366,0.24928239
367,0.2634756
368,0.280604
369,0.32652777
370,0.29670382
371,0.2557486
372,0.19879052
373,0.18585484
374,0.11298553
375,0.09213323
376,0.08296359
377,0.09998346
378,0.07856647
379,0.08020073
380,0.09932239
381,0.120687164
382,0.1668416
383,0.21987832
384,0.23704527
385,0.22887139
386,0.237502
387,0.24236645
388,0.23184212
389,0.2035046
390,0.2351781
391,0.25039202
392,0.2851633
393,0.33410832
394,0.3148082
395,0.24587896
396,0.19695675
397,0.15783696
398,0.10227726
399,0.086096935
400,0.08234028
401,0.09239381
402,0.091468506
403,0.115974225
404,0.15909187
405,0.23888299
406,0.27545273
407,0.33560404
408,0.360257
409,0.37058833
410,0.3526108
411,0.3364657
412,0.40446445
413,0.38232508
414,0.38059577
415,0.3803924
416,0.40984315
417,0.3679057
418,0.32946312
419,0.2775797
420,0.24426071
421,0.22582881
422,0.15179507
423,0.11005262
424,0.10259301
425,0.113982655
426,0.10956893
427,0.13274677
428,0.17947334
429,0.25830087
430,0.30982378
431,0.34542477
432,0.36197087
433,0.36744165
434,0.3518207
435,0.317049
436,0.38140103
437,0.3625385
438,0.36450788
439,0.37034312
440,0.38349533
441,0.36024174
442,0.3175789
443,0.27234185
444,0.24291597
445,0.22357781
446,0.15124612
447,0.11903372
448,0.1026021
449,0.11549548
450,0.11752457
451,0.14575769
452,0.1867206
453,0.26893207
454,0.306843
455,0.34400076
456,0.367569
457,0.3691489
458,0.34500015
459,0.3152691
460,0.3734355
461,0.36479983
462,0.37110662
463,0.36211783
464,0.36698306
465,0.36605003
466,0.33720872
467,0.28670985
468,0.2590222
469,0.2421803
470,0.15839906
471,0.12085333
472,0.11174255
473,0.13505295
474,0.13106944
475,0.1554838
476,0.19507517
477,0.27746156
478,0.3320797
479,0.37612948
480,0.36835435
481,0.3948337
482,0.38615623
483,0.34462532
484,0.41462484
485,0.4175714
486,0.4039247
487,0.40021005
488,0.4199911
489,0.38756013
490,0.34655043
491,0.29775745
492,0.27401328
