,0
0,0.39882103
1,0.42479134
2,0.4834021
3,0.52477825
4,0.6185914
5,0.5987652
6,0.5810482
7,0.5164818
8,0.67413884
9,0.70364547
10,0.57533675
11,0.62371665
12,0.56021696
13,0.60352534
14,0.484435
15,0.47067365
16,0.46875364
17,0.40541884
18,0.31326887
19,0.35840094
20,0.31902725
21,0.34747705
22,0.38095084
23,0.45357302
24,0.48994702
25,0.54258317
26,0.54874665
27,0.6435522
28,0.63734037
29,0.6020561
30,0.4422919
31,0.63798195
32,0.6801596
33,0.7282405
34,0.60095954
35,0.67069644
36,0.6121402
37,0.5728331
38,0.58062494
39,0.58756745
40,0.49858123
41,0.40100154
42,0.46388
43,0.4152489
44,0.38020223
45,0.30706114
46,0.33753803
47,0.22534716
48,0.26906183
49,0.3073012
50,0.3625766
51,0.35874265
52,0.36936733
53,0.4086405
54,0.4339926
55,0.53231114
56,0.62091446
57,0.71829754
58,0.70969546
59,0.6998113
60,0.6433456
61,0.7401903
62,0.4689572
63,0.6460318
64,0.58650285
65,0.44801724
66,0.4144811
67,0.39625192
68,0.38251096
69,0.32279965
70,0.36693534
71,0.4042321
72,0.35217208
73,0.3682676
74,0.3905318
75,0.43077454
76,0.5470106
77,0.5514707
78,0.62383455
79,0.66758347
80,0.7222985
81,0.6791869
82,0.5402938
83,0.68139803
84,0.68022037
85,0.71609575
86,0.75475675
87,0.75286955
88,0.63288724
89,0.6286859
90,0.596894
91,0.55752885
92,0.42346323
93,0.41493538
94,0.2991391
95,0.24881634
96,0.26642528
97,0.30308005
98,0.2853602
99,0.24342075
100,0.28732163
101,0.33823797
102,0.38021028
103,0.43115243
104,0.45020184
105,0.4580966
106,0.42894644
107,0.5748669
108,0.7252656
109,0.6970692
110,0.83054024
111,0.8528725
112,0.80317104
113,0.7679634
114,0.67788106
115,0.62450594
116,0.67065245
117,0.5363719
118,0.48967335
119,0.34064555
120,0.31571105
121,0.2839336
122,0.33597118
123,0.317622
124,0.30692872
125,0.26713648
126,0.32898456
127,0.3699267
128,0.44749692
129,0.47179398
130,0.48953703
131,0.6309433
132,0.69615036
133,0.6650273
134,0.5371278
135,0.7070113
136,0.7039491
137,0.725417
138,0.71441114
139,0.6636648
140,0.66665727
141,0.5702554
142,0.55595726
143,0.5400884
144,0.4338957
145,0.35983428
146,0.35611364
147,0.39152512
148,0.36874032
149,0.32339436
150,0.31538415
151,0.24672702
152,0.23526187
153,0.3352658
154,0.3630168
155,0.4013826
156,0.3813234
157,0.38526163
158,0.42530313
159,0.5042723
160,0.5710062
161,0.47690412
162,0.50238043
163,0.5912577
164,0.74974316
165,0.84420097
166,0.71556944
167,0.73186165
168,0.6346247
169,0.64405346
170,0.6891705
171,0.4991954
172,0.4108859
173,0.35662264
174,0.3239132
175,0.2695274
176,0.29311115
177,0.30967504
178,0.27651092
179,0.32843465
180,0.41271147
181,0.49573863
182,0.54871464
183,0.640537
184,0.6524553
185,0.68117994
186,0.5083958
187,0.634981
188,0.6170577
189,0.70892215
