,0
0,0.6322166
1,0.6539777
2,0.627972
3,0.55813056
4,0.55968165
5,0.5670421
6,0.50516695
7,0.479957
8,0.36788428
9,0.44442958
10,0.35810742
11,0.3833688
12,0.36178178
13,0.29528052
14,0.18220995
15,0.27801427
16,0.30530944
17,0.2890831
18,0.34410104
19,0.3565309
20,0.3004503
21,0.18965578
22,0.3676654
23,0.21972442
24,0.37654382
25,0.5042236
26,0.5458011
27,0.65288234
28,0.6902195
29,0.8216306
30,0.76002026
31,0.73540545
32,0.69247144
33,0.6134483
34,0.50428426
35,0.38471073
36,0.32321885
37,0.24368379
38,0.21031891
39,0.19814107
40,0.21324356
41,0.30226114
42,0.38179722
43,0.4450651
44,0.5759856
45,0.61037236
46,0.6463041
47,0.73742837
