ダウンロードした時刻：2021/06/15 12:42:07

,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,品質情報,均質番号
2017/1/1,快晴,8,1
2017/1/2,晴一時曇,8,1
2017/1/3,快晴,8,1
2017/1/4,快晴,8,1
2017/1/5,快晴,8,1
2017/1/6,晴一時薄曇,8,1
2017/1/7,晴,8,1
2017/1/8,曇時々雨,8,1
2017/1/9,雨後晴,8,1
2017/1/10,快晴,8,1
2017/1/11,快晴,8,1
2017/1/12,晴,8,1
2017/1/13,晴後一時曇,8,1
2017/1/14,曇時々晴後一時雪,8,1
2017/1/15,晴,8,1
2017/1/16,快晴,8,1
2017/1/17,快晴,8,1
2017/1/18,晴後時々薄曇,8,1
2017/1/19,曇時々晴,8,1
2017/1/20,曇時々みぞれ一時雨,8,1
2017/1/21,快晴,8,1
2017/1/22,快晴,8,1
2017/1/23,晴一時曇,8,1
2017/1/24,晴,8,1
2017/1/25,快晴,8,1
2017/1/26,快晴,8,1
2017/1/27,曇後晴,8,1
2017/1/28,晴,8,1
2017/1/29,曇後一時晴,8,1
2017/1/30,晴,8,1
2017/1/31,快晴,8,1
2017/2/1,晴時々曇,8,1
2017/2/2,快晴,8,1
2017/2/3,快晴,8,1
2017/2/4,快晴,8,1
2017/2/5,曇時々雨一時晴,8,1
2017/2/6,晴時々曇,8,1
2017/2/7,晴後一時薄曇,8,1
2017/2/8,晴後時々薄曇,8,1
2017/2/9,みぞれ時々雨,8,1
2017/2/10,曇時々晴一時雪,8,1
2017/2/11,晴後時々曇,8,1
2017/2/12,快晴,8,1
2017/2/13,晴,8,1
2017/2/14,晴後一時曇,8,1
2017/2/15,快晴,8,1
2017/2/16,快晴,8,1
2017/2/17,晴,8,1
2017/2/18,曇,8,1
2017/2/19,晴,8,1
2017/2/20,晴後雨一時曇,8,1
2017/2/21,晴,8,1
2017/2/22,曇一時晴,8,1
2017/2/23,雨後曇,8,1
2017/2/24,曇時々晴,8,1
2017/2/25,晴一時曇,8,1
2017/2/26,晴後薄曇,8,1
2017/2/27,曇後時々晴,8,1
2017/2/28,晴一時曇,8,1
2017/3/1,曇一時晴,8,1
2017/3/2,曇後雨,8,1
2017/3/3,晴後一時曇,8,1
2017/3/4,薄曇時々晴,8,1
2017/3/5,晴後薄曇,8,1
2017/3/6,曇時々雨,8,1
2017/3/7,曇時々晴一時雨,8,1
2017/3/8,晴一時曇,8,1
2017/3/9,快晴,8,1
2017/3/10,晴,8,1
2017/3/11,晴,8,1
2017/3/12,薄曇後一時晴,8,1
2017/3/13,曇,8,1
2017/3/14,雨時々曇,8,1
2017/3/15,曇時々雨,8,1
2017/3/16,晴後一時曇,8,1
2017/3/17,晴後時々曇,8,1
2017/3/18,晴後薄曇,8,1
2017/3/19,晴後一時曇,8,1
2017/3/20,晴後薄曇,8,1
2017/3/21,雨,8,1
2017/3/22,快晴,8,1
2017/3/23,薄曇,8,1
2017/3/24,曇時々晴,8,1
2017/3/25,薄曇時々晴,8,1
2017/3/26,雨,8,1
2017/3/27,雨後曇一時晴,8,1
2017/3/28,晴後時々曇一時雨,8,1
2017/3/29,薄曇後晴,8,1
2017/3/30,晴後薄曇,8,1
2017/3/31,曇後時々雨,8,1
2017/4/1,雨後一時曇,8,1
2017/4/2,薄曇時々晴,8,1
2017/4/3,晴一時曇後一時雨、雷を伴う,8,1
2017/4/4,晴,8,1
2017/4/5,薄曇,8,1
2017/4/6,曇一時晴,8,1
2017/4/7,雨時々曇後晴,8,1
2017/4/8,雨時々曇一時霧雨,8,1
2017/4/9,雨時々曇,8,1
2017/4/10,薄曇,8,1
2017/4/11,大雨,8,1
2017/4/12,薄曇時々晴,8,1
2017/4/13,晴後一時曇,8,1
2017/4/14,快晴,8,1
2017/4/15,薄曇時々晴一時雨,8,1
2017/4/16,晴後時々薄曇,8,1
2017/4/17,曇後一時雨,8,1
2017/4/18,曇一時雨,8,1
2017/4/19,晴,8,1
2017/4/20,晴後薄曇,8,1
2017/4/21,曇,8,1
2017/4/22,曇後一時雨,8,1
2017/4/23,晴,8,1
2017/4/24,曇後晴,8,1
2017/4/25,晴一時曇,8,1
2017/4/26,曇,8,1
2017/4/27,曇一時雨,8,1
2017/4/28,晴一時曇,8,1
2017/4/29,晴時々曇,8,1
2017/4/30,快晴,8,1
2017/5/1,晴後一時雨、雷を伴う,8,1
2017/5/2,快晴,8,1
2017/5/3,薄曇,8,1
2017/5/4,薄曇後晴,8,1
2017/5/5,晴,8,1
2017/5/6,薄曇,8,1
2017/5/7,曇,8,1
2017/5/8,晴一時薄曇,8,1
2017/5/9,薄曇,8,1
2017/5/10,雨一時曇,8,1
2017/5/11,晴後曇一時雨,8,1
2017/5/12,薄曇,8,1
2017/5/13,雨,8,1
2017/5/14,曇,8,1
2017/5/15,曇一時雨,8,1
2017/5/16,薄曇,8,1
2017/5/17,曇,8,1
2017/5/18,曇時々晴一時雨、雷を伴う,8,1
2017/5/19,晴,8,1
2017/5/20,快晴,8,1
2017/5/21,晴後一時薄曇,8,1
2017/5/22,晴時々薄曇,8,1
2017/5/23,晴後一時薄曇,8,1
2017/5/24,曇,8,1
2017/5/25,雨後曇,8,1
2017/5/26,雨後曇,8,1
2017/5/27,曇時々晴,8,1
2017/5/28,晴時々曇,8,1
2017/5/29,晴一時薄曇,8,1
2017/5/30,晴時々薄曇,8,1
2017/5/31,薄曇,8,1
2017/6/1,曇時々雨一時晴,8,1
2017/6/2,晴,8,1
2017/6/3,晴一時薄曇,8,1
2017/6/4,晴一時曇,8,1
2017/6/5,晴後一時雨、雷を伴う,8,1
2017/6/6,曇後一時晴,8,1
2017/6/7,曇,8,1
2017/6/8,曇一時雨後時々晴,8,1
2017/6/9,曇一時晴,8,1
2017/6/10,薄曇時々晴,8,1
2017/6/11,曇,8,1
2017/6/12,曇時々晴,8,1
2017/6/13,雨一時曇,8,1
2017/6/14,曇一時雨後時々晴,8,1
2017/6/15,晴一時曇,8,1
2017/6/16,晴後一時雨,8,1
2017/6/17,晴後時々薄曇,8,1
2017/6/18,曇後雨,8,1
2017/6/19,晴一時曇,8,1
2017/6/20,薄曇時々晴,8,1
2017/6/21,大雨,8,1
2017/6/22,薄曇,8,1
2017/6/23,晴,8,1
2017/6/24,薄曇一時晴,8,1
2017/6/25,雨時々曇,8,1
2017/6/26,曇一時雨,8,1
2017/6/27,曇,8,1
2017/6/28,雨後曇一時晴,8,1
2017/6/29,曇,8,1
2017/6/30,雨時々曇,8,1
2017/7/1,雨時々曇,8,1
2017/7/2,曇,8,1
2017/7/3,曇,8,1
2017/7/4,曇,8,1
2017/7/5,曇一時晴,8,1
2017/7/6,曇時々晴,8,1
2017/7/7,晴,8,1
2017/7/8,晴,8,1
2017/7/9,晴後一時薄曇,8,1
2017/7/10,晴,8,1
2017/7/11,晴一時曇,8,1
2017/7/12,晴,8,1
2017/7/13,晴後時々曇,8,1
2017/7/14,晴,8,1
2017/7/15,晴後時々薄曇,8,1
2017/7/16,薄曇,8,1
2017/7/17,薄曇一時雨,8,1
2017/7/18,曇時々晴一時雨、雷を伴う,8,1
2017/7/19,晴時々曇,8,1
2017/7/20,晴,8,1
2017/7/21,晴,8,1
2017/7/22,薄曇時々晴,8,1
2017/7/23,曇時々雨,8,1
2017/7/24,曇,8,1
2017/7/25,曇、雷を伴う,8,1
2017/7/26,大雨一時曇,8,1
2017/7/27,曇,8,1
2017/7/28,曇時々晴,8,1
2017/7/29,曇後一時雨、雷を伴う,8,1
2017/7/30,曇一時雨,8,1
2017/7/31,晴時々曇,8,1
2017/8/1,曇時々雨,8,1
2017/8/2,曇時々雨,8,1
2017/8/3,曇,8,1
2017/8/4,曇,8,1
2017/8/5,曇,8,1
2017/8/6,曇後晴,8,1
2017/8/7,曇時々晴,8,1
2017/8/8,曇一時雨,8,1
2017/8/9,晴時々曇一時雨,8,1
2017/8/10,曇一時雨,8,1
2017/8/11,曇時々雨,8,1
2017/8/12,曇時々雨後一時晴,8,1
2017/8/13,曇一時晴,8,1
2017/8/14,曇時々雨,8,1
2017/8/15,大雨時々曇,8,1
2017/8/16,雨,8,1
2017/8/17,曇,8,1
