0,1,2,3
2016/1/1,0,8,1
2016/1/2,晴,8,1
2016/1/3,晴,8,1
2016/1/4,0,8,1
2016/1/5,晴,8,1
2016/1/6,0.5,8,1
2016/1/7,晴,8,1
2016/1/8,0,8,1
2016/1/9,0,8,1
2016/1/10,0,8,1
2016/1/11,曇,8,1
2016/1/12,雨,8,1
2016/1/13,晴,8,1
2016/1/14,0,8,1
2016/1/15,晴,8,1
2016/1/16,0,8,1
2016/1/17,曇,8,1
2016/1/18,大雨,8,1
2016/1/19,0,8,1
2016/1/20,0,8,1
2016/1/21,薄曇,8,1
2016/1/22,晴,8,1
2016/1/23,曇,8,1
2016/1/24,0,8,1
2016/1/25,0,8,1
2016/1/26,0,8,1
2016/1/27,0,8,1
2016/1/28,0,8,1
2016/1/29,雨,8,1
2016/1/30,雨,8,1
2016/1/31,晴,8,1
2016/2/1,0.5,8,1
2016/2/2,晴,8,1
2016/2/3,晴,8,1
2016/2/4,晴,8,1
2016/2/5,晴,8,1
2016/2/6,0.5,8,1
2016/2/7,0,8,1
2016/2/8,0.25,8,1
2016/2/9,0,8,1
2016/2/10,0,8,1
2016/2/11,0,8,1
2016/2/12,曇,8,1
2016/2/13,曇,8,1
2016/2/14,0.5,8,1
2016/2/15,0.75,8,1
2016/2/16,0,8,1
2016/2/17,晴,8,1
2016/2/18,晴,8,1
2016/2/19,0,8,1
2016/2/20,0.75,8,1
2016/2/21,曇,8,1
2016/2/22,曇,8,1
2016/2/23,曇,8,1
2016/2/24,0.5,8,1
2016/2/25,0.25,8,1
2016/2/26,0,8,1
2016/2/27,0,8,1
2016/2/28,晴,8,1
2016/2/29,曇,8,1
2016/3/1,0,8,1
2016/3/2,0,8,1
2016/3/3,0,8,1
2016/3/4,0,8,1
2016/3/5,0.5,8,1
2016/3/6,曇,8,1
2016/3/7,雨,8,1
2016/3/8,晴,8,1
2016/3/9,雨,8,1
2016/3/10,0.5,8,1
2016/3/11,雨,8,1
2016/3/12,曇,8,1
2016/3/13,0.5,8,1
2016/3/14,1.0,8,1
2016/3/15,0,8,1
2016/3/16,0.5,8,1
2016/3/17,0,8,1
2016/3/18,晴,8,1
2016/3/19,雨,8,1
2016/3/20,晴,8,1
2016/3/21,曇,8,1
2016/3/22,晴,8,1
2016/3/23,曇,8,1
2016/3/24,曇,8,1
2016/3/25,晴,8,1
2016/3/26,0.25,8,1
2016/3/27,晴,8,1
2016/3/28,曇,8,1
2016/3/29,0.25,8,1
2016/3/30,薄曇,8,1
2016/3/31,0.25,8,1
2016/4/1,0.5,8,1
2016/4/2,曇,8,1
2016/4/3,0.75,8,1
2016/4/4,0.75,8,1
2016/4/5,曇,8,1
2016/4/6,薄曇,8,1
2016/4/7,大雨,8,1
2016/4/8,曇,8,1
2016/4/9,薄曇,8,1
2016/4/10,薄曇,8,1
2016/4/11,曇,8,1
2016/4/12,晴,8,1
2016/4/13,雨,8,1
2016/4/14,0.75,8,1
2016/4/15,0,8,1
2016/4/16,0.5,8,1
2016/4/17,曇,8,1
2016/4/18,晴,8,1
2016/4/19,0,8,1
2016/4/20,0.25,8,1
2016/4/21,曇,8,1
2016/4/22,0.25,8,1
2016/4/23,0.5,8,1
2016/4/24,0.75,8,1
2016/4/25,薄曇,8,1
2016/4/26,晴,8,1
2016/4/27,0.5,8,1
2016/4/28,雨,8,1
2016/4/29,晴,8,1
2016/4/30,0,8,1
2016/5/1,晴,8,1
2016/5/2,0.5,8,1
2016/5/3,0.5,8,1
2016/5/4,晴,8,1
2016/5/5,0,8,1
2016/5/6,0.75,8,1
2016/5/7,晴,8,1
2016/5/8,0.25,8,1
2016/5/9,0.75,8,1
2016/5/10,0.5,8,1
2016/5/11,曇,8,1
2016/5/12,0,8,1
2016/5/13,0,8,1
2016/5/14,薄曇,8,1
2016/5/15,薄曇,8,1
2016/5/16,曇後,8,1
2016/5/17,大雨,8,1
2016/5/18,0,8,1
2016/5/19,0.25,8,1
2016/5/20,0.5,8,1
2016/5/21,晴,8,1
2016/5/22,0,8,1
2016/5/23,薄曇,8,1
2016/5/24,薄曇,8,1
2016/5/25,0.5,8,1
2016/5/26,曇,8,1
2016/5/27,雨,8,1
2016/5/28,0.5,8,1
2016/5/29,0.25,8,1
2016/5/30,雨,8,1
2016/5/31,0.5,8,1
2016/6/1,薄曇,8,1
2016/6/2,0,8,1
2016/6/3,0,8,1
2016/6/4,薄曇,8,1
2016/6/5,曇,8,1
2016/6/6,0.5,8,1
2016/6/7,曇,8,1
2016/6/8,0.5,8,1
2016/6/9,曇,8,1
2016/6/10,0,8,1
2016/6/11,0.25,8,1
2016/6/12,0.5,8,1
2016/6/13,1.0,8,1
2016/6/14,曇,8,1
2016/6/15,曇,8,1
2016/6/16,曇,8,1
2016/6/17,晴,8,1
2016/6/18,0,8,1
2016/6/19,曇,8,1
2016/6/20,薄曇,8,1
2016/6/21,雨,8,1
2016/6/22,曇,8,1
2016/6/23,0.5,8,1
2016/6/24,曇,8,1
2016/6/25,曇,8,1
2016/6/26,薄曇,8,1
2016/6/27,晴,8,1
2016/6/28,雨,8,1
2016/6/29,曇,8,1
2016/6/30,曇,8,1
2016/7/1,曇,8,1
2016/7/2,曇,8,1
2016/7/3,曇,8,1
2016/7/4,晴,8,1
2016/7/5,曇,8,1
2016/7/6,曇,8,1
2016/7/7,0,8,1
2016/7/8,0.5,8,1
2016/7/9,雨,8,1
2016/7/10,薄曇,8,1
2016/7/11,晴,8,1
2016/7/12,晴,8,1
2016/7/13,雨,8,1
2016/7/14,曇,8,1
2016/7/15,雨,8,1
2016/7/16,0.5,8,1
2016/7/17,曇,8,1
2016/7/18,晴,8,1
2016/7/19,晴,8,1
2016/7/20,0.25,8,1
2016/7/21,雨,8,1
2016/7/22,雨,8,1
2016/7/23,曇,8,1
2016/7/24,晴,8,1
2016/7/25,0.5,8,1
2016/7/26,曇,8,1
2016/7/27,曇,8,1
2016/7/28,0.5,8,1
2016/7/29,0,8,1
2016/7/30,0,8,1
2016/7/31,曇,8,1
2016/8/1,曇,8,1
2016/8/2,曇,8,1
2016/8/3,曇,8,1
2016/8/4,0,8,1
2016/8/5,0,8,1
2016/8/6,0,8,1
2016/8/7,0,8,1
2016/8/8,曇,8,1
2016/8/9,晴,8,1
2016/8/10,曇,8,1
2016/8/11,曇,8,1
