ダウンロードした時刻: 2022/05/23 10:57:56,,,,,,,,,,,,
,,,,,,,,,,,,↓この列は手動
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,
年月日時,気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),降水量(mm),天気,天気,天気,,
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,実績(万kW)
2022/1/1 0:00:00,0.1,8,1,0,1,8,1,,0,1,,3266
2022/1/1 1:00:00,0.7,8,1,0,1,8,1,,0,1,,3062
2022/1/1 2:00:00,0.5,8,1,0,1,8,1,,0,1,,2929
2022/1/1 3:00:00,0.5,8,1,0,1,8,1,1,8,1,,2828
2022/1/1 4:00:00,0.3,8,1,0,1,8,1,,0,1,,2786
2022/1/1 5:00:00,-0.2,8,1,0,1,8,1,,0,1,,2828
2022/1/1 6:00:00,-0.2,8,1,0,1,8,1,1,8,1,,2985
2022/1/1 7:00:00,-0.5,8,1,0,1,8,1,,0,1,,3214
2022/1/1 8:00:00,1.5,8,1,0,1,8,1,,0,1,,3293
2022/1/1 9:00:00,3.8,8,1,0,1,8,1,1,8,1,,3176
2022/1/1 10:00:00,5,8,1,0,1,8,1,,0,1,,3032
2022/1/1 11:00:00,6.1,8,1,0,1,8,1,,0,1,,2906
2022/1/1 12:00:00,6.8,8,1,0,1,8,1,1,8,1,,2810
2022/1/1 13:00:00,7.3,8,1,0,1,8,1,,0,1,,2739
2022/1/1 14:00:00,7.1,8,1,0,1,8,1,,0,1,,2743
2022/1/1 15:00:00,6.3,8,1,0,1,8,1,1,8,1,,2873
2022/1/1 16:00:00,5.6,8,1,0,1,8,1,,0,1,,3140
2022/1/1 17:00:00,4.9,8,1,0,1,8,1,,0,1,,3472
2022/1/1 18:00:00,4.4,8,1,0,1,8,1,1,8,1,,3561
2022/1/1 19:00:00,3.6,8,1,0,1,8,1,,0,1,,3584
2022/1/1 20:00:00,3,8,1,0,1,8,1,,0,1,,3589
2022/1/1 21:00:00,3.5,8,1,0,1,8,1,1,8,1,,3538
2022/1/1 22:00:00,3.8,8,1,0,1,8,1,,0,1,,3372
2022/1/1 23:00:00,3.9,8,1,0,1,8,1,,0,1,,3226
2022/1/2 00:00:00,3,8,1,0,1,8,1,,0,1,,2974
2022/1/2 1:00:00,2.6,8,1,0,1,8,1,,0,1,,2833
2022/1/2 2:00:00,1.8,8,1,0,1,8,1,,0,1,,2765
2022/1/2 3:00:00,2.2,8,1,0,1,8,1,1,8,1,,2717
2022/1/2 4:00:00,1.3,8,1,0,1,8,1,,0,1,,2695
2022/1/2 5:00:00,0.9,8,1,0,1,8,1,,0,1,,2751
2022/1/2 6:00:00,0.9,8,1,0,1,8,1,4,8,1,,2937
2022/1/2 7:00:00,0.9,8,1,0,1,8,1,,0,1,,3218
2022/1/2 8:00:00,1.4,8,1,0,1,8,1,,0,1,,3459
2022/1/2 9:00:00,2.2,8,1,0,1,8,1,4,8,1,,3460
2022/1/2 10:00:00,3.2,8,1,0,1,8,1,,0,1,,3263
2022/1/2 11:00:00,4.9,8,1,0,1,8,1,,0,1,,3070
2022/1/2 12:00:00,6.8,8,1,0,1,8,1,2,8,1,,2952
2022/1/2 13:00:00,7.3,8,1,0,1,8,1,,0,1,,2853
2022/1/2 14:00:00,6.8,8,1,0,1,8,1,,0,1,,2819
2022/1/2 15:00:00,6.7,8,1,0,1,8,1,1,8,1,,2916
2022/1/2 16:00:00,6.8,8,1,0,1,8,1,,0,1,,3136
2022/1/2 17:00:00,5.7,8,1,0,1,8,1,,0,1,,3454
2022/1/2 18:00:00,4.9,8,1,0,1,8,1,1,8,1,,3563
2022/1/2 19:00:00,3.7,8,1,0,1,8,1,,0,1,,3590
2022/1/2 20:00:00,4.6,8,1,0,1,8,1,,0,1,,3594
2022/1/2 21:00:00,4.4,8,1,0,1,8,1,1,8,1,,3528
2022/1/2 22:00:00,2,8,1,0,1,8,1,,0,1,,3374
2022/1/2 23:00:00,1.6,8,1,0,1,8,1,,0,1,,3226
2022/1/3 00:00:00,1.4,8,1,0,1,8,1,,0,1,,2968
2022/1/3 1:00:00,2.6,8,1,0,1,8,1,,0,1,,2799
2022/1/3 2:00:00,2.6,8,1,0,1,8,1,,0,1,,2714
2022/1/3 3:00:00,2.1,8,1,0,1,8,1,1,8,1,,2659
2022/1/3 4:00:00,3.4,8,1,0,1,8,1,,0,1,,2638
2022/1/3 5:00:00,3.9,8,1,0,1,8,1,,0,1,,2702
2022/1/3 6:00:00,2.9,8,1,0,1,8,1,1,8,1,,2907
2022/1/3 7:00:00,3.2,8,1,0,1,8,1,,0,1,,3177
2022/1/3 8:00:00,4.2,8,1,0,1,8,1,,0,1,,3307
2022/1/3 9:00:00,5.7,8,1,0,1,8,1,1,8,1,,3257
2022/1/3 10:00:00,6.5,8,1,0,1,8,1,,0,1,,3132
2022/1/3 11:00:00,9,8,1,0,1,8,1,,0,1,,3007
2022/1/3 12:00:00,9.7,8,1,0,1,8,1,1,8,1,,2923
2022/1/3 13:00:00,10.1,8,1,0,1,8,1,,0,1,,2842
2022/1/3 14:00:00,9.6,8,1,0,1,8,1,,0,1,,2834
2022/1/3 15:00:00,8.8,8,1,0,1,8,1,1,8,1,,2926
2022/1/3 16:00:00,8.2,8,1,0,1,8,1,,0,1,,3169
2022/1/3 17:00:00,6.3,8,1,0,1,8,1,,0,1,,3499
2022/1/3 18:00:00,5.5,8,1,0,1,8,1,2,8,1,,3601
2022/1/3 19:00:00,5.9,8,1,0,1,8,1,,0,1,,3609
2022/1/3 20:00:00,5.2,8,1,0,1,8,1,,0,1,,3586
2022/1/3 21:00:00,5.1,8,1,0,1,8,1,1,8,1,,3480
2022/1/3 22:00:00,4.5,8,1,0,1,8,1,,0,1,,3276
2022/1/3 23:00:00,4.5,8,1,0,1,8,1,,0,1,,3102
2022/1/4 00:00:00,3.6,8,1,0,1,8,1,,0,1,,2872
2022/1/4 1:00:00,2.8,8,1,0,1,8,1,,0,1,,2739
2022/1/4 2:00:00,2.5,8,1,0,1,8,1,,0,1,,2695
2022/1/4 3:00:00,2.2,8,1,0,1,8,1,1,8,1,,2670
2022/1/4 4:00:00,1.4,8,1,0,1,8,1,,0,1,,2697
2022/1/4 5:00:00,1,8,1,0,1,8,1,,0,1,,2863
2022/1/4 6:00:00,0.8,8,1,0,1,8,1,1,8,1,,3227
2022/1/4 7:00:00,1,8,1,0,1,8,1,,0,1,,3567
2022/1/4 8:00:00,3.1,8,1,0,1,8,1,,0,1,,3744
2022/1/4 9:00:00,7.1,8,1,0,1,8,1,1,8,1,,3693
2022/1/4 10:00:00,8.6,8,1,0,1,8,1,,0,1,,3518
2022/1/4 11:00:00,10.2,8,1,0,1,8,1,,0,1,,3423
2022/1/4 12:00:00,11.2,8,1,0,1,8,1,1,8,1,,3315
2022/1/4 13:00:00,12.1,8,1,0,1,8,1,,0,1,,3308
2022/1/4 14:00:00,10.1,8,1,0,1,8,1,,0,1,,3335
2022/1/4 15:00:00,8.6,8,1,0,1,8,1,1,8,1,,3464
2022/1/4 16:00:00,7.4,8,1,0,1,8,1,,0,1,,3724
2022/1/4 17:00:00,6.5,8,1,0,1,8,1,,0,1,,4020
2022/1/4 18:00:00,5.6,8,1,0,1,8,1,1,8,1,,4086
2022/1/4 19:00:00,4.8,8,1,0,1,8,1,,0,1,,4071
2022/1/4 20:00:00,4.3,8,1,0,1,8,1,,0,1,,4004
2022/1/4 21:00:00,3.3,8,1,0,1,8,1,1,8,1,,3849
2022/1/4 22:00:00,3.3,8,1,0,1,8,1,,0,1,,3589
2022/1/4 23:00:00,3.2,8,1,0,1,8,1,,0,1,,3353
2022/1/5 00:00:00,2.9,8,1,0,1,8,1,,0,1,,3073
2022/1/5 1:00:00,3.1,8,1,0,1,8,1,,0,1,,2926
2022/1/5 2:00:00,3.1,8,1,0,1,8,1,,0,1,,2869
2022/1/5 3:00:00,2.9,8,1,0,1,8,1,1,8,1,,2835
2022/1/5 4:00:00,3.5,8,1,0,1,8,1,,0,1,,2866
2022/1/5 5:00:00,2.3,8,1,0,1,8,1,,0,1,,3074
2022/1/5 6:00:00,1.6,8,1,0,1,8,1,1,8,1,,3542
2022/1/5 7:00:00,1.2,8,1,0,1,8,1,,0,1,,4013
2022/1/5 8:00:00,2.4,8,1,0,1,8,1,,0,1,,4325
2022/1/5 9:00:00,4.1,8,1,0,1,8,1,1,8,1,,4382
2022/1/5 10:00:00,5.8,8,1,0,1,8,1,,0,1,,4261
2022/1/5 11:00:00,6.9,8,1,0,1,8,1,,0,1,,4146
2022/1/5 12:00:00,7.7,8,1,0,1,8,1,1,8,1,,3995
2022/1/5 13:00:00,8,8,1,0,1,8,1,,0,1,,3984
2022/1/5 14:00:00,7.9,8,1,0,1,8,1,,0,1,,3993
2022/1/5 15:00:00,6.7,8,1,0,1,8,1,1,8,1,,4102
2022/1/5 16:00:00,5.8,8,1,0,1,8,1,,0,1,,4360
2022/1/5 17:00:00,5.3,8,1,0,1,8,1,,0,1,,4588
2022/1/5 18:00:00,4.4,8,1,0,1,8,1,2,8,1,,4598
2022/1/5 19:00:00,4.2,8,1,0,1,8,1,,0,1,,4539
2022/1/5 20:00:00,3.2,8,1,0,1,8,1,,0,1,,4435
2022/1/5 21:00:00,3,8,1,0,1,8,1,4,8,1,,4231
2022/1/5 22:00:00,2.3,8,1,0,1,8,1,,0,1,,3949
2022/1/5 23:00:00,1.2,8,1,0,1,8,1,,0,1,,3677
2022/1/6 00:00:00,1.1,8,1,0,1,8,1,,0,1,,3369
2022/1/6 1:00:00,1.7,8,1,0,1,8,1,,0,1,,3194
2022/1/6 2:00:00,1.5,8,1,0,1,8,1,,0,1,,3107
2022/1/6 3:00:00,1.4,8,1,0,1,8,1,4,8,1,,3056
2022/1/6 4:00:00,1.5,8,1,0,1,8,1,,0,1,,3094
2022/1/6 5:00:00,1.5,8,1,0,1,8,1,,0,1,,3324
