2022/5/23 5:40 UPDATE,,
,,
DATE,TIME,���(��kW)
2022/1/1,0:00,3266
2022/1/1,1:00,3062
2022/1/1,2:00,2929
2022/1/1,3:00,2828
2022/1/1,4:00,2786
2022/1/1,5:00,2828
2022/1/1,6:00,2985
2022/1/1,7:00,3214
2022/1/1,8:00,3293
2022/1/1,9:00,3176
2022/1/1,10:00,3032
2022/1/1,11:00,2906
2022/1/1,12:00,2810
2022/1/1,13:00,2739
2022/1/1,14:00,2743
2022/1/1,15:00,2873
2022/1/1,16:00,3140
2022/1/1,17:00,3472
2022/1/1,18:00,3561
2022/1/1,19:00,3584
2022/1/1,20:00,3589
2022/1/1,21:00,3538
2022/1/1,22:00,3372
2022/1/1,23:00,3226
2022/1/2,0:00,2974
2022/1/2,1:00,2833
2022/1/2,2:00,2765
2022/1/2,3:00,2717
2022/1/2,4:00,2695
2022/1/2,5:00,2751
2022/1/2,6:00,2937
2022/1/2,7:00,3218
2022/1/2,8:00,3459
2022/1/2,9:00,3460
2022/1/2,10:00,3263
2022/1/2,11:00,3070
2022/1/2,12:00,2952
2022/1/2,13:00,2853
2022/1/2,14:00,2819
2022/1/2,15:00,2916
2022/1/2,16:00,3136
2022/1/2,17:00,3454
2022/1/2,18:00,3563
2022/1/2,19:00,3590
2022/1/2,20:00,3594
2022/1/2,21:00,3528
2022/1/2,22:00,3374
2022/1/2,23:00,3226
2022/1/3,0:00,2968
2022/1/3,1:00,2799
2022/1/3,2:00,2714
2022/1/3,3:00,2659
2022/1/3,4:00,2638
2022/1/3,5:00,2702
2022/1/3,6:00,2907
2022/1/3,7:00,3177
2022/1/3,8:00,3307
2022/1/3,9:00,3257
2022/1/3,10:00,3132
2022/1/3,11:00,3007
2022/1/3,12:00,2923
2022/1/3,13:00,2842
2022/1/3,14:00,2834
2022/1/3,15:00,2926
2022/1/3,16:00,3169
2022/1/3,17:00,3499
2022/1/3,18:00,3601
2022/1/3,19:00,3609
2022/1/3,20:00,3586
2022/1/3,21:00,3480
2022/1/3,22:00,3276
2022/1/3,23:00,3102
2022/1/4,0:00,2872
2022/1/4,1:00,2739
2022/1/4,2:00,2695
2022/1/4,3:00,2670
2022/1/4,4:00,2697
2022/1/4,5:00,2863
2022/1/4,6:00,3227
2022/1/4,7:00,3567
2022/1/4,8:00,3744
2022/1/4,9:00,3693
2022/1/4,10:00,3518
2022/1/4,11:00,3423
2022/1/4,12:00,3315
2022/1/4,13:00,3308
2022/1/4,14:00,3335
2022/1/4,15:00,3464
2022/1/4,16:00,3724
2022/1/4,17:00,4020
2022/1/4,18:00,4086
2022/1/4,19:00,4071
2022/1/4,20:00,4004
2022/1/4,21:00,3849
2022/1/4,22:00,3589
2022/1/4,23:00,3353
2022/1/5,0:00,3073
2022/1/5,1:00,2926
2022/1/5,2:00,2869
2022/1/5,3:00,2835
2022/1/5,4:00,2866
2022/1/5,5:00,3074
2022/1/5,6:00,3542
2022/1/5,7:00,4013
2022/1/5,8:00,4325
2022/1/5,9:00,4382
2022/1/5,10:00,4261
2022/1/5,11:00,4146
2022/1/5,12:00,3995
2022/1/5,13:00,3984
2022/1/5,14:00,3993
2022/1/5,15:00,4102
2022/1/5,16:00,4360
2022/1/5,17:00,4588
2022/1/5,18:00,4598
2022/1/5,19:00,4539
2022/1/5,20:00,4435
2022/1/5,21:00,4231
2022/1/5,22:00,3949
2022/1/5,23:00,3677
2022/1/6,0:00,3369
2022/1/6,1:00,3194
2022/1/6,2:00,3107
2022/1/6,3:00,3056
2022/1/6,4:00,3094
2022/1/6,5:00,3324
2022/1/6,6:00,3828
2022/1/6,7:00,4342
2022/1/6,8:00,4892
2022/1/6,9:00,5162
2022/1/6,10:00,5164
2022/1/6,11:00,5179
2022/1/6,12:00,5107
2022/1/6,13:00,5263
2022/1/6,14:00,5302
2022/1/6,15:00,5273
2022/1/6,16:00,5374
2022/1/6,17:00,5360
2022/1/6,18:00,5265
2022/1/6,19:00,5110
2022/1/6,20:00,4934
2022/1/6,21:00,4690
2022/1/6,22:00,4356
2022/1/6,23:00,4045
2022/1/7,0:00,3689
2022/1/7,1:00,3495
2022/1/7,2:00,3415
2022/1/7,3:00,3385
2022/1/7,4:00,3445
2022/1/7,5:00,3711
2022/1/7,6:00,4215
2022/1/7,7:00,4645
2022/1/7,8:00,5059
2022/1/7,9:00,5173
2022/1/7,10:00,5018
2022/1/7,11:00,4835
2022/1/7,12:00,4526
2022/1/7,13:00,4459
2022/1/7,14:00,4393
2022/1/7,15:00,4440
2022/1/7,16:00,4662
2022/1/7,17:00,4846
2022/1/7,18:00,4822
2022/1/7,19:00,4718
2022/1/7,20:00,4615
2022/1/7,21:00,4398
2022/1/7,22:00,4155
2022/1/7,23:00,3910
2022/1/8,0:00,3593
2022/1/8,1:00,3396
2022/1/8,2:00,3279
2022/1/8,3:00,3207
2022/1/8,4:00,3196
2022/1/8,5:00,3308
2022/1/8,6:00,3603
2022/1/8,7:00,3956
2022/1/8,8:00,4190
2022/1/8,9:00,4177
2022/1/8,10:00,4001
2022/1/8,11:00,3833
2022/1/8,12:00,3685
2022/1/8,13:00,3643
2022/1/8,14:00,3594
2022/1/8,15:00,3647
2022/1/8,16:00,3856
2022/1/8,17:00,4143
2022/1/8,18:00,4209
2022/1/8,19:00,4189
2022/1/8,20:00,4116
2022/1/8,21:00,3964
2022/1/8,22:00,3746
2022/1/8,23:00,3552
