DAY,RESULT,TEMP,RAIN,WEATHER
2016/4/1 ,71626,13.0,2.5,0.5
2016/4/2 ,69778,10.4,1.5,0.5
2016/4/3 ,63798,12.9,4.0,0.75
2016/4/4 ,70949,15.8,8.0,0.75
2016/4/5 ,76572,10.8,1.5,0.5
2016/4/6 ,71918,14.3,0.0,0.5
2016/4/7 ,76125,13.9,33.0,1.0
2016/4/8 ,71008,16.0,0.0,0.5
2016/4/9 ,63956,17.1,0.0,0.5
2016/4/10 ,60860,17.3,0.0,0.5
2016/4/11 ,71974,11.8,0.0,0.5
2016/4/12 ,75294,10.3,0.0,0.0
2016/4/13 ,74426,14.3,1.0,1.0
2016/4/14 ,73648,15.0,20.5,0.75
2016/4/15 ,71072,16.4,0.0,0.0
2016/4/16 ,65129,15.6,0.0,0.5
2016/4/17 ,62243,19.2,6.0,0.5
2016/4/18 ,69346,19.1,0.5,0.0
2016/4/19 ,69886,16.3,0.0,0.0
2016/4/20 ,70374,14.8,0.0,0.25
2016/4/21 ,72467,16.5,4.5,0.5
2016/4/22 ,71650,17.3,1.5,0.25
2016/4/23 ,65648,17.7,0.0,0.5
2016/4/24 ,61722,15.8,13.5,0.75
2016/4/25 ,69337,18.0,0.0,0.5
2016/4/26 ,72682,19.1,0.0,0.0
2016/4/27 ,72122,18.2,0.0,0.5
2016/4/28 ,72332,14.4,22.0,1.0
2016/4/29 ,63948,15.9,0.0,0.0
2016/4/30 ,61786,15.8,0.0,0.0
2016/5/1 ,58282,18.1,0.0,0.0
2016/5/2 ,63474,17.3,0.0,0.5
2016/5/3 ,58983,20.3,0.0,0.5
2016/5/4 ,58690,22.1,13.5,0.0
2016/5/5 ,58930,22.1,0.0,0.0
2016/5/6 ,65718,18.2,2.5,0.75
2016/5/7 ,65133,21.0,0.0,0.0
2016/5/8 ,60612,21.3,0.0,0.25
2016/5/9 ,69554,18.6,15.0,0.75
2016/5/10 ,72401,18.4,9.5,0.5
2016/5/11 ,73217,21.2,6.0,0.5
2016/5/12 ,73195,21.7,0.0,0.0
2016/5/13 ,73783,21.3,0.0,0.0
2016/5/14 ,66058,19.9,0.0,0.5
2016/5/15 ,61356,17.5,0.0,0.5
2016/5/16 ,70647,18.8,0.0,0.5
2016/5/17 ,73343,18.4,31.5,1.0
2016/5/18 ,72231,19.9,0.0,0.0
2016/5/19 ,71937,19.4,0.0,0.25
2016/5/20 ,70976,17.2,0.0,0.5
2016/5/21 ,65751,18.9,0.0,0.0
2016/5/22 ,62839,22.4,0.0,0.0
2016/5/23 ,74517,23.4,0.0,0.5
