hazureti,HAZURE
,0
,0
63798.0,1
,0
76572.0,1
,0
,0
,0
63956.0,1
60860.0,1
,0
,0
,0
,0
,0
65129.0,1
62243.0,1
,0
,0
,0
,0
,0
,0
61722.0,1
,0
,0
,0
,0
63948.0,1
61786.0,1
58282.0,1
,0
58983.0,1
58690.0,1
,0
,0
,0
,0
,0
72401.0,1
73217.0,1
73195.0,1
,0
,0
61356.0,1
,0
,0
,0
,0
,0
,0
62839.0,1
74517.0,1
78288.0,1
,0
,0
,0
64456.0,1
60987.0,1
,0
,0
,0
,0
,0
,0
59785.0,1
,0
,0
,0
,0
75644.0,1
,0
64572.0,1
,0
,0
,0
,0
77900.0,1
,0
66144.0,1
79664.0,1
78933.0,1
,0
,0
,0
,0
67188.0,1
,0
,0
,0
,0
80622.0,1
,0
,0
89812.0,1
,0
,0
88051.0,1
,0
69921.0,1
,0
87564.0,1
88043.0,1
,0
88895.0,1
,0
70477.0,1
70417.0,1
,0
89968.0,1
,0
,0
,0
66837.0,1
65281.0,1
,0
,0
,0
,0
86012.0,1
,0
,0
87434.0,1
87793.0,1
88785.0,1
92312.0,1
94404.0,1
,0
,0
,0
99197.0,1
,0
,0
,0
72934.0,1
67836.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
91617.0,1
92323.0,1
74596.0,1
65597.0,1
,0
,0
,0
,0
,0
,0
74388.0,1
90002.0,1
93688.0,1
,0
,0
,0
,0
68188.0,1
,0
,0
,0
,0
,0
,0
68633.0,1
69972.0,1
,0
,0
,0
,0
,0
66522.0,1
,0
84095.0,1
85638.0,1
,0
,0
67459.0,1
65988.0,1
,0
,0
,0
,0
,0
68137.0,1
64376.0,1
63490.0,1
,0
,0
,0
,0
65039.0,1
61006.0,1
,0
,0
,0
,0
,0
,0
60889.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
77102.0,1
,0
,0
,0
62774.0,1
,0
77800.0,1
79242.0,1
82622.0,1
83972.0,1
,0
65060.0,1
,0
,0
,0
,0
,0
,0
66016.0,1
,0
,0
,0
94780.0,1
89697.0,1
,0
,0
,0
,0
,0
,0
,0
,0
68716.0,1
,0
,0
85672.0,1
,0
,0
,0
,0
87266.0,1
,0
,0
89345.0,1
92184.0,1
,0
75957.0,1
,0
,0
,0
,0
73428.0,1
,0
74369.0,1
,0
,0
,0
,0
71973.0,1
67855.0,1
62234.0,1
63592.0,1
,0
,0
,0
88836.0,1
,0
,0
,0
,0
,0
90131.0,1
,0
,0
,0
97278.0,1
,0
,0
,0
100374.0,1
,0
78853.0,1
,0
98512.0,1
,0
,0
,0
80079.0,1
74984.0,1
,0
,0
,0
,0
,0
80233.0,1
78212.0,1
,0
,0
,0
99064.0,1
,0
,0
80389.0,1
,0
,0
,0
,0
80947.0,1
78656.0,1
75104.0,1
,0
,0
,0
,0
,0
77774.0,1
71624.0,1
,0
,0
,0
,0
,0
76791.0,1
69847.0,1
,0
,0
,0
,0
,0
,0
72440.0,1
,0
,0
90074.0,1
,0
,0
74363.0,1
67726.0,1
69869.0,1
,0
,0
,0
,0
,0
,0
89772.0,1
,0
,0
,0
,0
,0
70068.0,1
,0
,0
,0
,0
,0
67690.0,1
64520.0,1
,0
83935.0,1
,0
,0
,0
65658.0,1
61353.0,1
,0
,0
,0
,0
,0
,0
61999.0,1
,0
,0
,0
,0
,0
62669.0,1
59242.0,1
,0
,0
58081.0,1
56786.0,1
57024.0,1
,0
,0
,0
,0
,0
72374.0,1
,0
,0
59751.0,1
,0
,0
,0
,0
,0
,0
,0
74187.0,1
74634.0,1
,0
,0
,0
,0
61312.0,1
,0
75927.0,1
76319.0,1
,0
,0
65542.0,1
60753.0,1
,0
,0
,0
,0
,0
,0
62863.0,1
,0
,0
,0
,0
75655.0,1
,0
62047.0,1
,0
76448.0,1
,0
,0
78943.0,1
,0
66929.0,1
,0
,0
,0
80138.0,1
,0
,0
,0
88138.0,1
87514.0,1
86643.0,1
,0
88413.0,1
,0
,0
91154.0,1
93044.0,1
95916.0,1
95196.0,1
,0
,0
,0
,0
,0
,0
,0
96503.0,1
,0
76399.0,1
,0
,0
,0
,0
,0
80027.0,1
72316.0,1
,0
,0
,0
,0
,0
,0
,0
95582.0,1
96422.0,1
100302.0,1
,0
72015.0,1
69380.0,1
69880.0,1
69401.0,1
67701.0,1
,0
,0
,0
,0
