hazureti,HAZURE
,0
,0
,0
,0
,0
,0
2631.0,1
2775.0,1
2965.0,1
3159.0,1
3211.0,1
3265.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2811.0,1
2613.0,1
2492.0,1
2431.0,1
2403.0,1
2390.0,1
,0
,0
,0
,0
3225.0,1
3258.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2674.0,1
2455.0,1
2325.0,1
2280.0,1
2265.0,1
2253.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
3132.0,1
3114.0,1
,0
,0
,0
2494.0,1
2304.0,1
2206.0,1
2179.0,1
2189.0,1
,0
,0
,0
,0
3168.0,1
3418.0,1
3480.0,1
3422.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2551.0,1
2427.0,1
2392.0,1
2380.0,1
,0
,0
,0
,0
3400.0,1
3678.0,1
3747.0,1
3727.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2913.0,1
2634.0,1
2496.0,1
2451.0,1
2440.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2746.0,1
2512.0,1
2387.0,1
2349.0,1
2344.0,1
,0
,0
,0
,0
3362.0,1
3656.0,1
3764.0,1
3788.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2790.0,1
2557.0,1
2440.0,1
2403.0,1
2389.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2709.0,1
2484.0,1
2369.0,1
2336.0,1
2328.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
3053.0,1
,0
,0
,0
,0
2516.0,1
2347.0,1
2248.0,1
2230.0,1
2233.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2806.0,1
3005.0,1
2983.0,1
,0
,0
,0
2426.0,1
2238.0,1
2150.0,1
2149.0,1
,0
,0
,0
,0
2823.0,1
3116.0,1
3339.0,1
3367.0,1
3333.0,1
,0
,0
,0
,0
,0
,0
3634.0,1
,0
,0
,0
,0
,0
2702.0,1
2566.0,1
2526.0,1
2526.0,1
,0
,0
,0
,0
,0
3447.0,1
3472.0,1
,0
,0
,0
,0
,0
,0
,0
3617.0,1
,0
,0
,0
,0
2860.0,1
2606.0,1
2471.0,1
2440.0,1
2439.0,1
,0
,0
,0
,0
3340.0,1
3577.0,1
3588.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2809.0,1
2574.0,1
2449.0,1
2429.0,1
2435.0,1
,0
,0
,0
,0
3278.0,1
3494.0,1
3554.0,1
3542.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2760.0,1
2562.0,1
2437.0,1
2403.0,1
2417.0,1
,0
,0
,0
,0
,0
3248.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2750.0,1
2524.0,1
2414.0,1
2377.0,1
2368.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
3081.0,1
,0
,0
,0
,0
2537.0,1
2341.0,1
2241.0,1
2219.0,1
2202.0,1
2189.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
3075.0,1
3077.0,1
,0
,0
,0
2452.0,1
2280.0,1
2185.0,1
2177.0,1
,0
,0
,0
,0
,0
2942.0,1
3164.0,1
3246.0,1
3288.0,1
,0
3357.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
2685.0,1
2443.0,1
2330.0,1
2311.0,1
2323.0,1
,0
,0
,0
,0
,0
3192.0,1
3248.0,1
3273.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2678.0,1
2469.0,1
2349.0,1
2329.0,1
2350.0,1
,0
,0
,0
,0
,0
3215.0,1
3258.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2726.0,1
2517.0,1
2394.0,1
2380.0,1
2398.0,1
,0
,0
,0
,0
3135.0,1
3264.0,1
3352.0,1
3386.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2746.0,1
2528.0,1
2400.0,1
2389.0,1
2407.0,1
