,elec_tra,elec_tes,elec
0,,,2555.0
1,,,2433.0
2,,,2393.0
3,,,2375.0
4,,,2390.0
5,,,2467.0
6,,,2631.0
7,,,2775.0
8,,,2965.0
9,,,3159.0
10,,,3211.0
11,,,3265.0
12,3258.4343,,3160.0
13,3086.1436,,3288.0
14,3254.433,,3361.0
15,3341.2473,,3362.0
16,3370.4575,,3406.0
17,3372.015,,3438.0
18,3411.38,,3501.0
19,3443.6538,,3381.0
20,3260.2795,,3242.0
21,3130.033,,3084.0
22,2984.6328,,2973.0
23,2860.494,,2811.0
24,2644.0977,,2613.0
25,2518.2717,,2492.0
26,2479.48,,2431.0
27,2450.4504,,2403.0
28,2429.6206,,2390.0
29,2418.3499,,2432.0
30,2502.4844,,2543.0
31,2699.2285,,2734.0
32,2985.5642,,3019.0
33,3281.4165,,3225.0
34,3339.8179,,3258.0
35,3277.3818,,3239.0
36,3193.5464,,3167.0
37,3059.9023,,3112.0
38,3187.6218,,3049.0
39,3046.1375,,3043.0
40,3088.0962,,3098.0
41,3231.6257,,3216.0
42,3380.3638,,3328.0
43,3343.704,,3276.0
44,3177.6116,,3173.0
45,3064.5884,,3007.0
46,2830.037,,2856.0
47,2687.81,,2674.0
48,2519.4304,,2455.0
49,2364.5315,,2325.0
50,2320.4702,,2280.0
51,2311.5667,,2265.0
52,2311.2666,,2253.0
53,2284.72,,2276.0
54,2324.4841,,2330.0
55,2439.0217,,2493.0
56,2736.0505,,2700.0
57,2921.7788,,2832.0
58,2920.028,,2835.0
59,2829.8347,,2833.0
60,2835.69,,2820.0
61,2807.4436,,2738.0
62,2742.3794,,2694.0
63,2710.4165,,2684.0
64,2786.4675,,2755.0
65,2954.8118,,2920.0
66,3139.6565,,3132.0
67,3225.6318,,3114.0
68,3062.577,,3020.0
69,2907.6526,,2860.0
70,2685.151,,2690.0
71,2547.2844,,2494.0
72,2333.4822,,2304.0
73,2215.562,,2206.0
74,2223.75,,2179.0
75,2219.4617,,2189.0
76,2263.0378,,2216.0
77,2247.3325,,2320.0
78,2480.496,,2528.0
79,2768.1145,,2835.0
80,3227.8003,,3168.0
81,3465.2078,,3418.0
82,3534.667,,3480.0
83,3539.2288,,3422.0
84,3343.1284,,3200.0
85,3361.047,,3323.0
86,3365.514,,3322.0
87,3316.6902,,3312.0
88,3397.9138,,3349.0
89,3438.963,,3346.0
90,3409.6199,,3436.0
91,3402.5947,,3337.0
92,3200.2368,,3213.0
93,3075.8052,,3067.0
94,2960.176,,2982.0
95,2869.578,,2797.0
96,2609.3484,,2551.0
97,2390.356,,2427.0
98,2365.4226,,2392.0
99,2431.0613,,2380.0
100,2406.5164,,2415.0
101,2481.4656,,2524.0
102,2725.6626,,2767.0
103,3087.2983,,3056.0
104,3381.1455,,3400.0
105,3695.0344,,3678.0
106,3796.6333,,3747.0
107,3793.807,,3727.0
108,3624.7324,,3532.0
109,3658.4011,,3670.0
110,3682.0005,,3640.0
111,3607.8835,,3589.0
