,0
0,0.33461094
1,0.38998172
2,0.39402357
3,0.31710613
4,0.2602356
5,0.34431165
6,0.37357292
7,0.4155079
8,0.4457462
9,0.48782676
10,0.5319992
11,0.5717965
12,0.5628781
13,0.5515217
14,0.7332591
15,0.92176026
16,0.7837829
17,0.766017
18,0.7206217
19,0.63916093
20,0.799088
21,0.79593134
22,0.60122776
23,0.5815582
24,0.47847337
25,0.41317064
26,0.38885856
27,0.4405234
28,0.40413088
29,0.40685123
30,0.42754865
31,0.4205178
32,0.46423537
33,0.5553571
34,0.59535986
35,0.72012883
36,0.80996144
37,0.7530697
38,0.6738819
39,0.68318117
40,0.79933584
41,0.934129
42,0.8489715
43,0.7796593
44,0.77387464
45,0.71406084
46,0.65333533
47,0.62430614
48,0.67771846
49,0.4847663
