,elec_tra,elec_tes,elec,HAZURE
0,,,71626,0
1,,,69778,0
2,,,63798,1
3,,,70949,0
4,,,76572,1
5,,,71918,0
6,,,76125,0
7,,,71008,0
8,,,63956,1
9,,,60860,1
10,,,71974,0
11,,,75294,0
12,74662.37,,74426,0
13,73611.13,,73648,0
14,72767.92,,71072,0
15,63520.96,,65128.996,1
16,63889.562,,62243.004,1
17,70933.93,,69346,0
18,72670.58,,69886,0
19,70936.63,,70374,0
20,70036.766,,72467,0
21,70799.01,,71650,0
22,64358.773,,65648,0
23,62098.785,,61722,1
24,69169.805,,69337,0
25,70864.43,,72682,0
26,74049.64,,72122,0
27,71995.52,,72332,0
28,69992.57,,63947.996,1
29,58446.453,,61786,1
30,60389.55,,58282.004,1
31,65273.348,,63474,0
32,67541.94,,58982.996,1
33,61472.68,,58690,1
34,61709.758,,58930,0
35,60895.22,,65718,0
36,63614.535,,65133,0
37,62979.137,,60611.996,0
38,66286.77,,69554,0
39,70524.914,,72401,1
40,72869.15,,73217,1
41,75552.125,,73195,1
42,76534.34,,73783,0
43,71743.83,,66058,0
44,62217.656,,61356,1
45,65878.195,,70647,0
46,70645.8,,73343,0
47,70702.11,,72231,0
48,71664.06,,71937,0
49,71966.01,,70976,0
50,67497.48,,65751,0
51,63713.16,,62838.996,1
52,70805.37,,74517,1
53,76728,,78288,1
54,76556.73,,76192,0
55,73948.02,,76618,0
56,73860.55,,73033,0
57,67736.9,,64455.996,1
58,62610.67,,60987.004,1
59,67494.28,,69516,0
60,72404.64,,71196,0
61,72563.34,,70825,0
62,71955.19,,70304,0
63,71016.234,,70214,0
64,64349.2,,65344,0
65,62313.195,,59785.004,1
66,68019.83,,69678,0
67,72112.6,,72071,0
68,73007.56,,73539,0
69,72083.94,,74555,0
70,71573.23,,75644,1
71,68013.266,,68034,0
72,61584.914,,64572,1
73,72263.62,,72350,0
74,73664.49,,73759,0
75,73141.53,,72861,0
76,72274.69,,74250,0
77,70930.914,,77900,1
78,70996.87,,72069,0
79,67107.81,,66144,1
80,74748.97,,79664,1
81,79143.09,,78933,1
82,76885.89,,77168,0
83,74839.45,,78029,0
84,76092.125,,76065,0
85,71880.01,,71671,0
86,68714.33,,67188,1
87,74488.16,,77476,0
88,76453.26,,74806,0
89,75292.016,,74863,0
90,76370.54,,75909,0
91,74438.72,,80622,1
92,74305.16,,76417,0
93,71250.48,,78475,0
94,81734.71,,89812,1
95,83830.69,,78213,0
96,72299.09,,78125,0
97,78210.13,,88051,1
98,82453.97,,82639,0
99,74290.15,,69921,1
100,71756.49,,71667,0
101,77499.75,,87564,1
102,82251.375,,88043,1
103,80500.08,,85886,0
104,85983.99,,88895,1
105,82861.46,,79415,0
106,68690.67,,70477,1
107,75601.24,,70417,1
108,75676.8,,81184,0
109,81359.54,,89968,1
110,86240.48,,86684,0
111,82729.055,,78846,0
112,77548.65,,75158,0
113,69027.67,,66837,1
114,66148.51,,65281,1
115,73652.6,,76865,0
116,81029.26,,77843,0
117,79055.61,,77976,0
118,73206.875,,83408,0
119,80420.766,,86012,1
120,75073.46,,79628,0
121,74316.23,,75648,0
122,81634.695,,87434,1
123,84890.516,,87793,1
124,84456.625,,88785,1
125,85893.55,,92312,1
126,85717.18,,94404,1
127,85778.89,,88254,0
128,81654.02,,81528,0
129,85580.08,,90967,0
130,89203.41,,99197,1
131,92529.24,,94296,0
132,89670.22,,79806,0
133,81228.66,,80439,0
134,78486.54,,72934,1
135,68196.625,,67836,1
136,73664.336,,73116,0
137,79932.625,,78216,0
138,78123.805,,86580,0
139,79715.79,,86061,0
140,82807.27,,86933,0
141,78188.08,,77807,0
142,71136.2,,77758,0
143,80558.21,,84069,0
144,83044.25,,87429,0
145,87294.02,,87015,0
146,83966.71,,91617,1
147,86807.63,,92323,1
148,82673.375,,74596,1
149,70741.67,,65597,1
150,70436.85,,81713,0
151,82877.83,,81689,0
152,79743.055,,81745,0
153,82323.96,,84812,0
154,83181.63,,86185,0
155,74498.56,,79681,0
156,73811.445,,74388,1
157,83735.67,,90002,1
158,87719.47,,93688,1
159,90075.75,,89980,0
160,86298.25,,87702,0
161,84073.52,,88021,0
162,80905.734,,78366,0
163,72232.94,,68188,1
164,74012.266,,78796,0
165,80611.21,,78794,0
166,78250.23,,77790,0
167,78128.1,,81374,0
168,80812.98,,78457,0
169,71236.94,,74716,0
170,68096.36,,68633,1
171,74049.31,,69972,1
172,71961.664,,74615,0
173,75187.625,,73270,0
174,75547.19,,70881,0
175,69670.56,,75288,0
176,72793.22,,69927,0
177,63906,,66522,1
178,66252.695,,80030,0
179,81074.04,,84095,1
180,80603.03,,85638,1
181,83482.664,,82223,0
182,78426.66,,73950,0
183,67733.7,,67459,1
184,61908.543,,65988,1
185,72833.09,,76847,0
186,76524.48,,80875,0
187,80401.74,,77983,0
188,75841.3,,81325,0
189,76713.01,,73437,0
190,67934.48,,68137,1
191,67832.46,,64376,1
192,73720.46,,63490,1
193,69591.46,,69408,0
194,72570.914,,70439,0
195,72755.76,,71302,0
196,69429.945,,70422,0
197,66773.09,,65038.996,1
198,61889.406,,61006,1
199,63135.547,,71179,0
200,76361.98,,73620,0
201,73627.47,,73329,0
202,73190.25,,73871,0
203,72735.42,,70818,0
204,64322.67,,65635,0
205,61547.73,,60889,1
206,69704.6,,68712,0
207,71448.836,,72143,0
208,73705.52,,72058,0
209,71589.79,,71041,0
210,68268.56,,74009,0
211,67355.44,,66843,0
212,60487.613,,65008.004,0
213,69676.875,,71290,0
214,72802.32,,74153,0
215,72369.234,,77102,1
216,77179.51,,70147,0
217,69756.13,,72700,0
218,68909.39,,67616,0
219,64550.18,,62774,1
220,65604.38,,73988,0
221,73443.23,,77800,1
222,74904.6,,79242,1
223,75501.75,,82622,1
224,79254.695,,83972,1
225,75370.13,,70071,0
226,62749.258,,65059.996,1
227,73520.65,,75367,0
228,76328.57,,75170,0
229,76565.414,,77313,0
230,79445.61,,76267,0
231,74537.96,,77198,0
232,71768.61,,75416,0
233,71484.77,,66016,1
234,73796.42,,77526,0
235,76877.2,,75699,0
236,76166.98,,76488,0
237,75562.29,,94780,1
238,89322.02,,89697,1
239,77986.66,,79231,0
240,70172.17,,72161,0
241,78694.45,,80811,0
242,76598.7,,82841,0
243,80229.33,,84329,0
244,85930.52,,83027,0
245,78327.93,,79953,0
246,73799.2,,74197,0
247,71364.11,,68716,1
248,72884.82,,76076,0
249,78116.47,,79928,0
250,79516.89,,85672,1
251,81282.64,,84691,0
252,77608,,81940,0
253,74949.516,,77929,0
254,70636.08,,75842,0
255,76367.35,,87266,1
256,84087.57,,86333,0
257,82932.44,,87452,0
258,86295.586,,89345,1
259,82020.09,,92184,1
260,84757.64,,83602,0
261,77401.336,,75957,1
262,76917.29,,83277,0
263,83067.38,,84186,0
264,80885.586,,82357,0
265,81288.45,,81965,0
266,79244.05,,73428,1
267,69518.61,,75507,0
268,72072.555,,74369,1
269,81749.305,,86334,0
270,83088.6,,82737,0
271,81489.86,,81063,0
272,78209.766,,78190,0
273,71153.45,,71973,1
274,69041.94,,67855,1
275,69275.13,,62234.004,1
276,71685.66,,63592,1
277,67187.47,,65242.996,0
278,68888.89,,71644,0
279,74928.41,,81938,0
280,77151.26,,88836,1
281,81929.21,,85318,0
282,77619.53,,83725,0
283,82245.16,,81743,0
284,82051.92,,86621,0
285,82575.945,,88357,0
286,87790.72,,90131,1
287,88718.445,,90085,0
288,85010.695,,90338,0
289,83469.125,,88008,0
290,83945.1,,97278,1
291,92188.445,,94044,0
292,86111.3,,93059,0
293,86666.586,,93116,0
294,91158.11,,100374,1
295,90470.78,,86144,0
296,80002.625,,78853,1
297,81990.61,,94202,0
298,92227.164,,98512,1
299,88485.83,,97141,0
300,92231.98,,94748,0
301,90707.92,,90792,0
302,81710.3,,80079,1
303,71142.83,,74984,1
304,81737.29,,80987,0
305,81348.07,,88426,0
306,88722.06,,88985,0
307,84556.734,,92452,0
308,87373.16,,89458,0
309,78926.36,,80233,1
310,73498.73,,78212,1
311,82201.46,,85371,0
312,85013.125,,91063,0
313,89738.81,,90545,0
314,86863.555,,99064,1
315,91002.305,,94774,0
316,80608.09,,85296,0
317,80380.25,,80389,1
318,83347.695,,90150,0
319,85512.94,,91315,0
320,88035.24,,89563,0
321,87100.22,,87272,0
322,83178.67,,80947,1
323,71427.195,,78656,1
324,74882.95,,75104,1
325,80623.805,,82895,0
326,83283.95,,87893,0
327,86889.24,,89133,0
328,85403.484,,83349,0
