,elec_tra,elec_tes,elec
0,,,2555.0
1,,,2433.0
2,,,2393.0
3,,,2375.0
4,,,2390.0
5,,,2467.0
6,,,2631.0
7,,,2775.0
8,,,2965.0
9,,,3159.0
10,,,3211.0
11,,,3265.0
12,3196.3918,,3160.0
13,3045.8901,,3288.0
14,3273.1125,,3361.0
15,3318.1326,,3362.0
16,3321.636,,3406.0
17,3322.3784,,3438.0
18,3374.156,,3501.0
19,3391.9546,,3381.0
20,3221.6934,,3242.0
21,3100.1165,,3084.0
22,2956.6855,,2973.0
23,2815.8472,,2811.0
24,2596.9365,,2613.0
25,2472.2444,,2492.0
26,2443.2598,,2431.0
27,2421.2737,,2403.0
28,2375.67,,2390.0
29,2381.3289,,2432.0
30,2488.896,,2543.0
31,2687.7637,,2734.0
32,2961.7576,,3019.0
33,3239.861,,3225.0
34,3303.257,,3258.0
35,3229.6025,,3239.0
36,3181.9807,,3167.0
37,3057.5352,,3112.0
38,3159.1663,,3049.0
39,3030.0671,,3043.0
40,3083.0227,,3098.0
41,3203.5059,,3216.0
42,3329.8452,,3328.0
43,3294.5894,,3276.0
44,3128.2988,,3173.0
45,3033.3694,,3007.0
46,2818.979,,2856.0
47,2658.7373,,2674.0
48,2479.8923,,2455.0
49,2322.4731,,2325.0
50,2279.77,,2280.0
51,2280.5173,,2265.0
52,2262.129,,2253.0
53,2252.138,,2276.0
54,2321.5232,,2330.0
55,2432.3574,,2493.0
56,2720.6118,,2700.0
57,2878.374,,2832.0
58,2894.0627,,2835.0
59,2807.5447,,2833.0
60,2816.1104,,2820.0
61,2786.9,,2738.0
62,2735.9417,,2694.0
63,2702.0894,,2684.0
64,2759.5,,2755.0
65,2908.086,,2920.0
66,3093.314,,3132.0
67,3166.13,,3114.0
68,3008.9072,,3020.0
69,2885.1726,,2860.0
70,2703.0908,,2690.0
71,2517.1907,,2494.0
72,2289.9146,,2304.0
73,2175.874,,2206.0
74,2206.0723,,2179.0
75,2187.6106,,2189.0
76,2203.4473,,2216.0
77,2227.269,,2320.0
78,2523.0205,,2528.0
79,2759.971,,2835.0
80,3193.6406,,3168.0
81,3436.9849,,3418.0
82,3497.077,,3480.0
83,3511.0747,,3422.0
84,3301.021,,3200.0
85,3325.6196,,3323.0
86,3374.2583,,3322.0
87,3329.1794,,3312.0
88,3377.2004,,3349.0
89,3393.8594,,3346.0
90,3363.6873,,3436.0
91,3364.4143,,3337.0
92,3157.5806,,3213.0
93,3044.6912,,3067.0
94,2937.8638,,2982.0
95,2827.477,,2797.0
96,2557.657,,2551.0
97,2345.7795,,2427.0
98,2332.8765,,2392.0
99,2403.1682,,2380.0
100,2367.94,,2415.0
101,2448.27,,2524.0
102,2728.8887,,2767.0
103,3063.1213,,3056.0
104,3335.2305,,3400.0
105,3664.6328,,3678.0
106,3753.0144,,3747.0
107,3751.7075,,3727.0
108,3582.1196,,3532.0
109,3631.089,,3670.0
110,3695.3428,,3640.0
111,3618.849,,3589.0
