,elec_tra,elec_tes,elec,HAZURE
0,,,2555,0
1,,,2433,0
2,,,2393,0
3,,,2375,0
4,,,2390,0
5,,,2467,0
6,,,2631,1
7,,,2775,1
8,,,2965,1
9,,,3159,1
10,,,3211,1
11,,,3265,1
12,3196.1846,,3160,0
13,3041.558,,3288,0
14,3281.4775,,3361,0
15,3341.3438,,3362,0
16,3284.8186,,3406,0
17,3299.317,,3438,0
18,3342.703,,3501,0
19,3385.8684,,3381,0
20,3198.2173,,3242,0
21,3093.97,,3084,0
22,2954.372,,2973,0
23,2795.0637,,2811,1
24,2581.72,,2613,1
25,2462.971,,2492,1
26,2426.0884,,2431,1
27,2401.3926,,2403,1
28,2373.7883,,2390,1
29,2373.89,,2432,0
30,2481.2307,,2543,0
31,2671.1182,,2734,0
32,2946.8813,,3019,0
33,3222.1814,,3225,1
34,3280.9146,,3258,1
35,3236.244,,3239,0
36,3157.871,,3167,0
37,3053.581,,3112,0
38,3121.5627,,3049,0
39,3030.064,,3043,0
40,3064.7083,,3098,0
41,3164.485,,3216,0
42,3304.6614,,3328,0
43,3280.5498,,3276,0
44,3134.04,,3173,0
45,3020.859,,3007,0
46,2825.322,,2856,0
47,2658.1975,,2674,1
48,2481.5798,,2455,1
49,2323.1614,,2325,1
50,2280.1816,,2280,1
51,2273.3955,,2265,1
52,2254.246,,2253,1
53,2243.7432,,2276,0
54,2319.6567,,2330,0
55,2424.7666,,2493,0
56,2692.1885,,2700,0
57,2872.9155,,2832,0
58,2878.08,,2835,0
59,2804.9226,,2833,0
60,2808.0718,,2820,0
61,2775.271,,2738,0
62,2768.4766,,2694,0
63,2723.3835,,2684,0
64,2751.6104,,2755,0
65,2917.2239,,2920,0
66,3071.8247,,3132,1
67,3147.9863,,3114,1
68,3003.1929,,3020,0
69,2859.1013,,2860,0
70,2664.5671,,2690,0
71,2515.2922,,2494,1
72,2314.5642,,2304,1
73,2215.2295,,2206,1
74,2187.4006,,2179,1
75,2171.3796,,2189,1
76,2197.6301,,2216,0
77,2243.9412,,2320,0
78,2482.6323,,2528,0
79,2725.2756,,2835,0
80,3189.6455,,3168,1
81,3418.0469,,3418,1
82,3478.7253,,3480,1
83,3473.9678,,3422,1
84,3277.3372,,3200,0
85,3348.1067,,3323,0
86,3354.5286,,3322,0
87,3314.2866,,3312,0
88,3340.5713,,3349,0
89,3334.3037,,3346,0
90,3338.096,,3436,0
91,3363.3489,,3337,0
92,3145.513,,3213,0
93,3036.3035,,3067,0
94,2929.2302,,2982,0
95,2811.9548,,2797,0
96,2555.5432,,2551,1
97,2367.3188,,2427,1
98,2340.416,,2392,1
99,2380.2788,,2380,1
100,2358.0928,,2415,0
101,2453.2036,,2524,0
102,2696.1523,,2767,0
103,3007.2046,,3056,0
104,3352.1702,,3400,1
105,3646.3562,,3678,1
106,3726.9648,,3747,1
107,3712.049,,3727,1
108,3543.593,,3532,0
109,3648.926,,3670,0
110,3658.8062,,3640,0
