,elec_tra,elec_tes,elec,HAZURE
0,,,500766,0
1,,,491165.97,0
2,,,480517,0
3,,,485492.97,0
4,,,424093,1
5,,,479830,0
6,,,489355,0
7,,,505181,0
8,,,480316.97,0
9,,,485185.97,0
10,,,501470,0
11,,,529907,1
12,562655.5,,517978,0
13,583754.94,,569715,1
14,566277.25,,574615,1
15,592080.9,,556991,0
16,561716.25,,523368,0
17,561861.75,,597612,1
18,633897.5,,628451.94,1
19,648438.7,,545182,0
20,596965.25,,592628,0
21,571457.6,,562475,0
22,591919.3,,601626,0
23,569496.06,,551329,0
24,536519.25,,510544,0
25,545625.75,,543723,0
26,556058.06,,524427,0
27,522901,,480589,1
28,499128.78,,488466,1
29,513702,,481296,1
30,491710.7,,498552,0
31,508392.62,,516741.97,0
32,520063.5,,523220,0
33,541560.6,,543123,0
34,568554.8,,572097,1
35,575904.3,,549233,0
36,606630.5,,586107,1
37,581015.1,,583528,1
38,582261.75,,551628,0
39,529472.2,,484479,1
40,557615.8,,604731,1
41,658729.75,,645928,1
42,611827.4,,649974,1
43,603835.2,,596705,0
44,619326.7,,613946,0
45,607842.3,,618759,0
46,572851.56,,577977,0
47,567590.3,,582124,0
48,570705.6,,573135,0
49,558582.4,,577415,0
50,544980.2,,539502,0
51,536385.56,,567929,0
52,523109.38,,532968,0
53,525403.75,,511302,1
54,528345,,483943,1
55,500115.75,,483013,1
56,471052.9,,436126.03,1
57,450413.97,,456312,1
58,468214.38,,478879,0
59,502299.97,,497641,0
60,502959.38,,498188.97,0
61,509625.3,,487192,0
62,519696.53,,495087,0
63,507476,,507180,0
64,507544.2,,529270,0
65,544069,,570389,1
66,599686.2,,626456,1
67,636930.44,,624224,1
68,628182,,611965,1
69,623694.94,,576613,0
70,607788.1,,627252,1
71,593860.2,,488594,1
72,600967.94,,597526,0
73,620135.4,,613164,0
74,542150.9,,510138,0
75,550423.94,,554270,0
76,540395.1,,519234,0
77,515518.25,,512359.03,0
78,500796.72,,490011,0
79,509922.47,,496150.03,0
80,513825.66,,506831,0
81,491707.16,,505746,0
82,516221.22,,500393,0
83,538152.44,,491176,0
84,519551.94,,518546,0
85,541120.6,,568408,0
86,574192.5,,552199,0
87,577003.44,,580976,1
88,616264.75,,612415,1
89,656181,,631387,1
90,617908.44,,605621,0
91,591731.7,,513595.03,0
92,581408.5,,611117,0
93,611487.4,,641141.94,1
94,668584.6,,653572,1
95,682213,,690611,1
96,677774.1,,672151,1
97,634699.06,,621789,0
98,608436.7,,630428,0
99,573335.7,,608742,0
100,582764.8,,564984,0
101,565850.75,,544691,0
102,531646.9,,553814,0
103,522208.4,,500517,1
104,482062.94,,483303,1
105,490062,,492862,1
106,480917.9,,494780,0
107,494982.3,,487192,0
108,481639.9,,446876,1
109,443769.03,,458146,0
110,510987.5,,490754,0
111,492437.62,,493595,0
112,486328.66,,498391,0
113,521610.1,,510618,0
114,520983.56,,516650,0
115,518912.88,,499451,0
