,0
0,
1,
2,63798.0
3,
4,76572.0
5,
6,
7,
8,63956.0
9,60860.0
10,
11,
12,
13,
14,
15,65129.0
16,62243.0
17,
18,
19,
20,
21,
22,
23,61722.0
24,
25,
26,
27,
28,63948.0
29,61786.0
30,58282.0
31,
32,58983.0
33,58690.0
34,
35,
36,
37,
38,
39,72401.0
40,73217.0
41,73195.0
42,
43,
44,61356.0
45,
46,
47,
48,
49,
50,
51,62839.0
52,74517.0
53,78288.0
54,
55,
56,
57,64456.0
58,60987.0
59,
60,
61,
62,
63,
64,
65,59785.0
66,
67,
68,
69,
70,75644.0
71,
72,64572.0
73,
74,
75,
76,
77,77900.0
78,
79,66144.0
80,79664.0
81,78933.0
82,
83,
84,
85,
86,67188.0
87,
88,
89,
90,
91,80622.0
92,
93,
94,89812.0
95,
96,
97,88051.0
98,
99,69921.0
100,
101,87564.0
102,88043.0
103,
104,88895.0
105,
106,70477.0
107,70417.0
108,
109,89968.0
110,
111,
112,
113,66837.0
114,65281.0
115,
116,
117,
118,
119,86012.0
120,
121,
122,87434.0
123,87793.0
124,88785.0
125,92312.0
126,94404.0
127,
128,
129,
130,99197.0
131,
132,
133,
134,72934.0
135,67836.0
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,91617.0
147,92323.0
148,74596.0
149,65597.0
150,
151,
152,
153,
154,
155,
156,74388.0
157,90002.0
158,93688.0
159,
160,
161,
162,
163,68188.0
164,
165,
166,
167,
168,
169,
170,68633.0
171,69972.0
172,
173,
174,
175,
176,
177,66522.0
178,
179,84095.0
180,85638.0
181,
182,
183,67459.0
184,65988.0
185,
186,
187,
188,
189,
190,68137.0
191,64376.0
192,63490.0
193,
194,
195,
196,
197,65039.0
198,61006.0
199,
200,
201,
202,
203,
204,
205,60889.0
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,77102.0
216,
217,
218,
219,62774.0
220,
221,77800.0
222,79242.0
223,82622.0
224,83972.0
225,
226,65060.0
227,
228,
229,
230,
231,
232,
233,66016.0
234,
235,
236,
237,94780.0
238,89697.0
239,
240,
241,
242,
243,
244,
245,
246,
247,68716.0
248,
249,
250,85672.0
251,
252,
253,
254,
255,87266.0
256,
257,
258,89345.0
259,92184.0
260,
261,75957.0
262,
263,
264,
265,
266,73428.0
267,
268,74369.0
269,
270,
271,
272,
273,71973.0
274,67855.0
275,62234.0
276,63592.0
277,
278,
279,
280,88836.0
281,
282,
283,
284,
285,
286,90131.0
287,
288,
289,
290,97278.0
291,
292,
293,
294,100374.0
295,
296,78853.0
297,
298,98512.0
299,
300,
301,
302,80079.0
303,74984.0
304,
305,
306,
307,
308,
309,80233.0
310,78212.0
311,
312,
313,
314,99064.0
315,
316,
317,80389.0
318,
319,
320,
321,
322,80947.0
323,78656.0
324,75104.0
325,
326,
327,
328,
329,
330,77774.0
331,71624.0
332,
