,hazureti
0,
1,
2,
3,
4,
5,
6,2631
7,2775
8,2965
9,3159
10,3211
11,3265
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,2811
24,2613
25,2492
26,2431
27,2403
28,2390
29,
30,
31,
32,
33,3225
34,3258
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,2674
48,2455
49,2325
50,2280
51,2265
52,2253
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,3132
67,3114
68,
69,
70,
71,2494
72,2304
73,2206
74,2179
75,2189
76,
77,
78,
79,
80,3168
81,3418
82,3480
83,3422
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,2551
97,2427
98,2392
99,2380
100,
101,
102,
103,
104,3400
105,3678
106,3747
107,3727
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,2913
120,2634
121,2496
122,2451
123,2440
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,2746
144,2512
145,2387
146,2349
147,2344
148,
149,
150,
151,
152,3362
153,3656
154,3764
155,3788
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,2790
168,2557
169,2440
170,2403
171,2389
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,2709
192,2484
193,2369
194,2336
195,2328
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,3053
211,
212,
213,
214,
215,2516
216,2347
217,2248
218,2230
219,2233
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,2806
234,3005
235,2983
236,
237,
238,
239,2426
240,2238
241,2150
242,2149
243,
244,
245,
246,
247,2823
248,3116
249,3339
250,3367
251,3333
252,
253,
254,
255,
256,
257,
258,3634
259,
260,
261,
262,
263,
264,2702
265,2566
266,2526
267,2526
268,
269,
270,
271,
272,
273,3447
274,3472
275,
276,
277,
278,
279,
280,
281,
282,3617
283,
284,
285,
286,
287,2860
288,2606
289,2471
290,2440
291,2439
292,
293,
294,
295,
296,3340
297,3577
298,3588
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,2809
312,2574
313,2449
314,2429
315,2435
316,
317,
318,
319,
320,3278
321,3494
322,3554
323,3542
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,2760
336,2562
337,2437
338,2403
339,2417
340,
341,
342,
343,
344,
345,3248
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,2750
360,2524
361,2414
362,2377
363,2368
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,3081
379,
380,
381,
382,
383,2537
384,2341
385,2241
386,2219
387,2202
388,2189
389,
390,
391,
392,
393,
394,
395,
