,elec_tra,elec_tes,elec,HAZURE
0,,,71626,0
1,,,69778,0
2,,,63798,1
3,,,70949,0
4,,,76572,1
5,,,71918,0
6,,,76125,0
7,,,71008,0
8,,,63956,1
9,,,60860,1
10,,,71974,0
11,,,75294,0
12,74266.57,,74426,0
13,75566.734,,73648,0
14,72392.32,,71072,0
15,63644.652,,65128.996,1
16,65678.92,,62243.004,1
17,69570.44,,69346,0
18,73589.99,,69886,0
19,69419.68,,70374,0
20,71383.97,,72467,0
21,70944.82,,71650,0
22,65422.4,,65648,0
23,64378.863,,61722,1
24,67826.8,,69337,0
25,70839.53,,72682,0
26,72060.625,,72122,0
27,72159.12,,72332,0
28,71169.32,,63947.996,1
29,59841.746,,61786,1
30,59780.727,,58282.004,1
31,64172.4,,63474,0
32,66532.375,,58982.996,1
33,62365.613,,58690,1
34,61406.04,,58930,0
35,56789.605,,65718,0
36,65069.277,,65133,0
37,64650.145,,60611.996,0
38,64910.324,,69554,0
39,70161.7,,72401,1
40,69413.195,,73217,1
41,71674.4,,73195,1
42,74207.96,,73783,0
43,71032.17,,66058,0
44,63282.508,,61356,1
45,66281.086,,70647,0
46,71153.27,,73343,0
47,72843.1,,72231,0
48,73678.01,,71937,0
49,72741.8,,70976,0
50,67679.375,,65751,0
51,62085.56,,62838.996,1
52,69420.17,,74517,1
53,76799.75,,78288,1
54,76049.516,,76192,0
55,74766.2,,76618,0
56,75865.89,,73033,0
57,67114.13,,64455.996,1
58,61965.312,,60987.004,1
59,70137.23,,69516,0
60,73688.6,,71196,0
61,72076.55,,70825,0
62,73797.36,,70304,0
63,70272.82,,70214,0
64,64428.668,,65344,0
65,64540.305,,59785.004,1
66,66741.31,,69678,0
67,72727.5,,72071,0
68,71008.04,,73539,0
69,72430.22,,74555,0
70,73160.55,,75644,1
71,70965.87,,68034,0
72,62393.93,,64572,1
73,71535.516,,72350,0
74,73834.99,,73759,0
75,73516.53,,72861,0
76,73922.35,,74250,0
77,73187.1,,77900,1
78,74121.47,,72069,0
79,66798.39,,66144,1
80,73119.79,,79664,1
81,79452.74,,78933,1
82,77076.74,,77168,0
83,77367.14,,78029,0
84,81514.586,,76065,0
85,72183.25,,71671,0
86,67161.25,,67188,1
87,74994.98,,77476,0
88,77807.32,,74806,0
89,74798.234,,74863,0
90,78147.17,,75909,0
91,75434.766,,80622,1
92,77039.66,,76417,0
93,73233.98,,78475,0
94,84092.47,,89812,1
95,87460.21,,78213,0
96,73786,,78125,0
97,80053.58,,88051,1
98,87539.28,,82639,0
99,77951.516,,69921,1
100,72211.93,,71667,0
101,81201.984,,87564,1
102,84602.83,,88043,1
103,83779.4,,85886,0
104,90616.95,,88895,1
105,83860.16,,79415,0
106,71351.04,,70477,1
107,75283.4,,70417,1
108,78185.91,,81184,0
109,85145.266,,89968,1
110,87351.84,,86684,0
111,87352.55,,78846,0
112,75194.23,,75158,0
113,72325.625,,66837,1
114,69789.555,,65281,1
115,74106.52,,76865,0
116,85186.84,,77843,0
117,78128.66,,77976,0
118,75155.29,,83408,0
119,81377.23,,86012,1
120,76459.5,,79628,0
121,78937.21,,75648,0
122,82237.07,,87434,1
123,88253.83,,87793,1
124,84061.99,,88785,1
125,90086.35,,92312,1
126,89700.59,,94404,1
127,88164.555,,88254,0
128,84007.25,,81528,0
129,85239.68,,90967,0
130,92097.29,,99197,1
131,97735.625,,94296,0
132,91256.35,,79806,0
133,80014.484,,80439,0
134,81573.15,,72934,1
135,71535.914,,67836,1
136,75994.68,,73116,0
137,81109.3,,78216,0
138,80110.63,,86580,0
139,81855.82,,86061,0
140,83399.71,,86933,0
141,80022.22,,77807,0
142,75439.41,,77758,0
143,80790.32,,84069,0
144,84650.51,,87429,0
145,87687.56,,87015,0
146,85142.8,,91617,1
147,89991.234,,92323,1
148,83610.98,,74596,1
149,71276.22,,65597,1
150,71226.766,,81713,0
151,84758.78,,81689,0
152,80325.16,,81745,0
153,83258.17,,84812,0
154,85301.14,,86185,0
155,74943.69,,79681,0
156,74614.555,,74388,1
157,83367.81,,90002,1
158,90572.3,,93688,1
159,89236.99,,89980,0
160,88286.516,,87702,0
161,86383.68,,88021,0
162,80366.98,,78366,0
163,71911.78,,68188,1
164,78009.13,,78796,0
165,83297.33,,78794,0
166,77079.24,,77790,0
167,80679.92,,81374,0
168,82872.484,,78457,0
169,73314.44,,74716,0
170,70637.92,,68633,1
171,76263.914,,69972,1
172,71948.59,,74615,0
173,75836.51,,73270,0
174,76755.99,,70881,0
175,70584.93,,75288,0
176,73342.81,,69927,0
177,64983.336,,66522,1
178,69611.49,,80030,0
179,84507.69,,84095,1
180,81205.75,,85638,1
181,82891.85,,82223,0
182,82375.32,,73950,0
183,69982.445,,67459,1
184,64949.688,,65988,1
185,77105.805,,76847,0
186,78902.43,,80875,0
187,83241.85,,77983,0
188,78233.82,,81325,0
189,78494.375,,73437,0
190,68773.945,,68137,1
191,68763,,64376,1
192,73595.85,,63490,1
193,68242.46,,69408,0
194,70466.36,,70439,0
195,74558.98,,71302,0
196,69174.32,,70422,0
197,65533.812,,65038.996,1
198,64997.332,,61006,1
199,63033.06,,71179,0
200,76696.27,,73620,0
201,73278.164,,73329,0
202,74719.22,,73871,0
203,73213.96,,70818,0
204,65099.22,,65635,0
205,63493.08,,60889,1
206,67746.6,,68712,0
207,71435.91,,72143,0
208,71637.44,,72058,0
209,71651.07,,71041,0
210,68987.7,,74009,0
211,69733.75,,66843,0
212,61301.016,,65008.004,0
213,70058.484,,71290,0
214,72778.65,,74153,0
215,72138.75,,77102,1
216,75738.664,,70147,0
217,68920.86,,72700,0
218,69343.734,,67616,0
219,64455.523,,62774,1
220,65685.39,,73988,0
221,77018.305,,77800,1
222,76713.85,,79242,1
223,77363.7,,82622,1
224,81410.914,,83972,1
225,75614.375,,70071,0
226,65727.08,,65059.996,1
227,75823.18,,75367,0
228,76309.414,,75170,0
229,75673.31,,77313,0
230,81220.07,,76267,0
231,76732.66,,77198,0
232,71786.766,,75416,0
233,72565.57,,66016,1
234,72872.17,,77526,0
235,78226.73,,75699,0
236,75563.22,,76488,0
237,76579.73,,94780,1
238,94549.83,,89697,1
239,81435.586,,79231,0
240,73385.76,,72161,0
241,79284.24,,80811,0
242,78293.92,,82841,0
243,79829.91,,84329,0
244,90912.91,,83027,0
245,81916.02,,79953,0
246,73160.18,,74197,0
247,71584.42,,68716,1
248,72801.47,,76076,0
249,78567.75,,79928,0
250,81395.36,,85672,1
251,85281.17,,84691,0
252,80452.42,,81940,0
253,76620.195,,77929,0
254,75203.58,,75842,0
255,78841.45,,87266,1
256,88941.94,,86333,0
257,85877.23,,87452,0
258,87472.92,,89345,1
259,84940.484,,92184,1
260,87937.03,,83602,0
261,80043.336,,75957,1
262,82157.4,,83277,0
263,86203.805,,84186,0
264,81542.055,,82357,0
265,83585.77,,81965,0
266,82360.06,,73428,1
267,73461.71,,75507,0
268,75070.75,,74369,1
269,79267.45,,86334,0
270,85462.72,,82737,0
271,82850.69,,81063,0
272,80517.29,,78190,0
273,73738.19,,71973,1
274,72035.69,,67855,1
275,69449.23,,62234.004,1
276,71198.98,,63592,1
277,65355.445,,65242.996,0
278,65459.426,,71644,0
279,73910.086,,81938,0
280,78487.945,,88836,1
281,85104.836,,85318,0
282,79620.05,,83725,0
283,82275.97,,81743,0
284,81969.34,,86621,0
285,84908.94,,88357,0
286,91342.65,,90131,1
287,88538.13,,90085,0
288,87617.37,,90338,0
289,84921.18,,88008,0
290,85132.016,,97278,1
291,94636.65,,94044,0
292,92444.125,,93059,0
293,91624.76,,93116,0
294,92462.92,,100374,1
295,94753.02,,86144,0
296,83078.96,,78853,1
297,84537.836,,94202,0
298,94808.805,,98512,1
299,92272.234,,97141,0
300,95794.46,,94748,0
301,94633.53,,90792,0
302,84204.375,,80079,1
303,74802.18,,74984,1
304,84352.87,,80987,0
305,83778.07,,88426,0
306,88879.484,,88985,0
307,88313.42,,92452,0
308,89314.34,,89458,0
309,80551.2,,80233,1
310,79188.38,,78212,1
311,83651.92,,85371,0
312,88626.79,,91063,0
313,90716.99,,90545,0
314,90722.336,,99064,1
315,97297.81,,94774,0
316,84419.836,,85296,0
317,83973.65,,80389,1
318,85598.16,,90150,0
319,90641.81,,91315,0
320,89215.31,,89563,0
321,92647.6,,87272,0
322,86171.6,,80947,1
323,74497.94,,78656,1
324,80222.2,,75104,1
325,79534.41,,82895,0
326,85276.32,,87893,0
327,87813.27,,89133,0
328,86046.68,,83349,0
