,elec_tra,elec_tes,elec
0,,,2555.0
1,,,2433.0
2,,,2393.0
3,,,2375.0
4,,,2390.0
5,,,2467.0
6,,,2631.0
7,,,2775.0
8,,,2965.0
9,,,3159.0
10,,,3211.0
11,,,3265.0
12,3262.0386,,3160.0
13,3082.226,,3288.0
14,3258.0398,,3361.0
15,3298.3682,,3362.0
16,3342.4907,,3406.0
17,3329.0452,,3438.0
18,3412.0312,,3501.0
19,3450.279,,3381.0
20,3245.6565,,3242.0
21,3126.1772,,3084.0
22,2959.7986,,2973.0
23,2867.7805,,2811.0
24,2602.312,,2613.0
25,2496.4001,,2492.0
26,2451.4849,,2431.0
27,2429.8638,,2403.0
28,2375.2188,,2390.0
29,2393.0771,,2432.0
30,2501.6667,,2543.0
31,2683.1528,,2734.0
32,2977.5361,,3019.0
33,3259.3374,,3225.0
34,3327.2058,,3258.0
35,3195.8171,,3239.0
36,3194.3398,,3167.0
37,3021.8623,,3112.0
38,3202.0889,,3049.0
39,2960.1313,,3043.0
40,3083.012,,3098.0
41,3215.429,,3216.0
42,3347.2734,,3328.0
43,3348.42,,3276.0
44,3198.5005,,3173.0
45,3054.446,,3007.0
46,2821.1843,,2856.0
47,2676.3513,,2674.0
48,2458.608,,2455.0
49,2324.1523,,2325.0
50,2289.5078,,2280.0
51,2297.6858,,2265.0
52,2263.5596,,2253.0
53,2247.302,,2276.0
54,2309.3005,,2330.0
55,2416.4,,2493.0
56,2724.1514,,2700.0
57,2903.764,,2832.0
58,2929.3792,,2835.0
59,2821.635,,2833.0
60,2818.6138,,2820.0
61,2765.9272,,2738.0
62,2718.2168,,2694.0
63,2678.9607,,2684.0
64,2743.9636,,2755.0
65,2862.7852,,2920.0
66,3053.8042,,3132.0
67,3237.0117,,3114.0
68,3074.943,,3020.0
69,2912.1296,,2860.0
70,2696.2598,,2690.0
71,2520.8733,,2494.0
72,2277.901,,2304.0
73,2250.8118,,2206.0
74,2193.5212,,2179.0
75,2207.936,,2189.0
76,2269.7146,,2216.0
77,2269.5996,,2320.0
78,2506.1736,,2528.0
79,2800.1804,,2835.0
80,3180.7617,,3168.0
81,3425.506,,3418.0
82,3474.3984,,3480.0
83,3470.1628,,3422.0
84,3264.2847,,3200.0
85,3262.686,,3323.0
86,3383.801,,3322.0
87,3282.024,,3312.0
88,3360.437,,3349.0
89,3440.8955,,3346.0
90,3406.321,,3436.0
91,3375.1914,,3337.0
92,3181.4082,,3213.0
93,3061.352,,3067.0
94,2949.475,,2982.0
95,2888.094,,2797.0
96,2612.3093,,2551.0
97,2356.3179,,2427.0
98,2353.5159,,2392.0
99,2430.6343,,2380.0
100,2372.455,,2415.0
101,2441.6978,,2524.0
102,2691.7844,,2767.0
103,3039.5376,,3056.0
104,3356.671,,3400.0
105,3661.6946,,3678.0
106,3757.4731,,3747.0
107,3766.0757,,3727.0
108,3584.827,,3532.0
109,3635.8015,,3670.0
110,3754.8682,,3640.0
111,3579.5623,,3589.0
