,elec_tra,elec_tes,elec,HAZURE
0,,,2555,0
1,,,2433,0
2,,,2393,0
3,,,2375,0
4,,,2390,0
5,,,2467,0
6,,,2631,1
7,,,2775,1
8,,,2965,1
9,,,3159,1
10,,,3211,1
11,,,3265,1
12,3218.7722,,3160,0
13,3039.0554,,3288,0
14,3279.6926,,3361,0
15,3297.1885,,3362,0
16,3363.4033,,3406,0
17,3323.8223,,3438,0
18,3408.6108,,3501,0
19,3448.8367,,3381,0
20,3241.024,,3242,0
21,3131.7231,,3084,0
22,2974.0024,,2973,0
23,2877.9065,,2811,1
24,2621.9727,,2613,1
25,2500.8567,,2492,1
26,2452.6577,,2431,1
27,2433.464,,2403,1
28,2375.2417,,2390,1
29,2399.5476,,2432,0
30,2502.7769,,2543,0
31,2680.1616,,2734,0
32,2948.0955,,3019,0
33,3253.8403,,3225,1
34,3290.9194,,3258,1
35,3269.151,,3239,0
36,3184.8547,,3167,0
37,3040.9639,,3112,0
38,3217.607,,3049,0
39,2965.606,,3043,0
40,3102.8008,,3098,0
41,3211.0007,,3216,0
42,3327.4614,,3328,0
43,3349.4084,,3276,0
44,3192.362,,3173,0
45,3065.7524,,3007,0
46,2837.097,,2856,0
47,2686.3242,,2674,1
48,2475.535,,2455,1
49,2335.988,,2325,1
50,2286.9,,2280,1
51,2313.7039,,2265,1
52,2267.732,,2253,1
53,2267.6992,,2276,0
54,2328.6155,,2330,0
55,2422.744,,2493,0
56,2695.255,,2700,0
57,2891.1357,,2832,0
58,2901.846,,2835,0
59,2800.1204,,2833,0
60,2794.1191,,2820,0
61,2760.1455,,2738,0
62,2726.014,,2694,0
63,2687.8052,,2684,0
64,2744.9656,,2755,0
65,2872.5327,,2920,0
66,3065.8743,,3132,1
67,3226.624,,3114,1
68,3052.8572,,3020,0
69,2911.2715,,2860,0
70,2661.1277,,2690,0
71,2504.7458,,2494,1
72,2326.217,,2304,1
73,2222.9521,,2206,1
74,2197.6167,,2179,1
75,2216.2864,,2189,1
76,2239.3916,,2216,0
77,2244.7952,,2320,0
78,2500.8777,,2528,0
79,2777.7048,,2835,0
80,3161.1143,,3168,1
81,3401.0479,,3418,1
82,3453.162,,3480,1
83,3447.0635,,3422,1
84,3277.3074,,3200,0
85,3256.6863,,3323,0
86,3414.5308,,3322,0
87,3282.2488,,3312,0
88,3356.105,,3349,0
89,3400.5576,,3346,0
90,3394.6453,,3436,0
91,3381.1582,,3337,0
92,3179.3596,,3213,0
93,3079.7476,,3067,0
94,2963.6665,,2982,0
95,2898.399,,2797,0
96,2625.1084,,2551,1
97,2363.1711,,2427,1
98,2358.506,,2392,1
99,2428.959,,2380,1
100,2378.2307,,2415,0
101,2472.0845,,2524,0
102,2683.003,,2767,0
103,3046.5356,,3056,0
104,3331.544,,3400,1
105,3671.9353,,3678,1
106,3765.1482,,3747,1
107,3750.795,,3727,1
108,3593.2185,,3532,0
109,3625.618,,3670,0
110,3766.489,,3640,0
