,0
0,0.47549418
1,0.4127228
2,0.3391658
3,0.3234379
4,0.2692965
5,0.27169964
6,0.26122642
7,0.2692179
8,0.3207116
9,0.41281953
10,0.58745956
11,0.6877408
12,0.7833748
13,0.7587695
14,0.72565126
15,0.6919793
16,0.6640691
17,0.63993454
18,0.62780994
19,0.65065897
20,0.6972435
21,0.72558725
22,0.6821022
23,0.6289757
24,0.5689867
25,0.5029709
26,0.42176965
27,0.36588177
28,0.30930835
29,0.30719733
30,0.29662994
31,0.30803606
32,0.36145264
33,0.451685
34,0.61293775
35,0.6829973
36,0.72460735
37,0.6965036
38,0.6760253
39,0.65680385
40,0.63688904
41,0.6397972
42,0.637242
43,0.6757896
44,0.7478655
45,0.7938425
46,0.7637919
47,0.71827614
48,0.65546584
49,0.58944273
50,0.50908256
51,0.4453829
52,0.36802384
53,0.35438767
54,0.33645728
55,0.34793824
56,0.39770627
57,0.49974924
58,0.67794174
59,0.7564067
60,0.78709334
61,0.75505817
62,0.71198297
63,0.6891789
64,0.6480815
65,0.6343654
66,0.60848093
67,0.63940763
68,0.68960327
69,0.73818374
70,0.71115994
71,0.66531974
72,0.60644144
73,0.5438395
74,0.4668336
75,0.41331092
76,0.3433728
77,0.33931616
78,0.3246458
79,0.33947363
80,0.38866982
81,0.48620686
82,0.66312623
83,0.7427056
84,0.7892639
85,0.7575483
86,0.71085876
87,0.67922676
88,0.64116174
89,0.62210673
90,0.5974796
91,0.61354375
92,0.6575859
93,0.70335734
94,0.6701296
95,0.6216109
96,0.5597081
97,0.4951401
98,0.41755643
99,0.37122944
100,0.3116931
101,0.30819586
102,0.2974408
103,0.3102924
104,0.3568541
105,0.4565985
106,0.62434244
107,0.70041436
108,0.72484136
109,0.6869077
110,0.6443635
111,0.6188555
112,0.5821833
113,0.5793817
114,0.55330426
115,0.56198335
116,0.56700766
117,0.58748937
118,0.55403537
119,0.50591195
120,0.45377788
121,0.39433688
122,0.3327115
123,0.28713253
124,0.24124956
125,0.23526417
126,0.22534674
127,0.2267028
128,0.24630253
129,0.28247246
130,0.34405568
131,0.41969472
132,0.5169397
133,0.5515076
134,0.5425521
135,0.5457406
136,0.5533026
137,0.5519904
138,0.5564392
139,0.5594734
140,0.59812236
141,0.6265726
142,0.60063857
143,0.5656744
144,0.513567
145,0.45390612
146,0.3873849
147,0.3508778
148,0.28746197
149,0.27361593
150,0.26260865
151,0.26162046
152,0.2782385
153,0.31053123
154,0.37856987
155,0.46120852
156,0.55910236
157,0.6023021
158,0.5643519
159,0.5252173
160,0.50457436
161,0.49033293
162,0.48779038
163,0.5024279
164,0.57411855
165,0.6290979
166,0.590209
167,0.5386781
168,0.4723748
169,0.4047844
170,0.3278465
171,0.28787467
172,0.23544946
173,0.23665753
174,0.23479658
175,0.24608257
176,0.3000498
177,0.39248338
178,0.5560537
179,0.62619615
180,0.6722647
181,0.6453722
182,0.621534
183,0.59286666
184,0.5641865
185,0.5454539
186,0.533302
187,0.5550126
188,0.5798302
189,0.6220798
190,0.5898302
191,0.5462778
192,0.49237034
193,0.44245657
194,0.37387106
195,0.3295351
196,0.28225988
197,0.28297636
198,0.27511993
199,0.28591755
200,0.32936904
201,0.42880824
202,0.57942784
203,0.64451814
204,0.70593435
205,0.70151556
206,0.68848544
207,0.6773594
208,0.63295233
209,0.60543597
210,0.5845994
211,0.59018135
212,0.6394207
213,0.6509873
214,0.6169101
215,0.5456676
216,0.4725177
217,0.40629476
218,0.3442878
219,0.29253805
220,0.24987873
221,0.2436256
222,0.23679891
223,0.25195765
224,0.28806493
225,0.36998978
226,0.4948917
227,0.5596587
228,0.6395439
229,0.6446004
230,0.6070636
231,0.5864917
232,0.5563171
233,0.5463034
234,0.52711433
235,0.52505624
236,0.569564
237,0.587663
238,0.55963147
239,0.5084436
240,0.45654514
241,0.40244177
242,0.33724245
243,0.2913445
244,0.25199082
245,0.24801339
246,0.24797212
247,0.25787792
248,0.29872802
249,0.38147315
250,0.52632505
251,0.583127
252,0.69080144
253,0.70299345
254,0.7014523
255,0.6953827
256,0.7194219
257,0.71568567
258,0.7479408
259,0.77704966
260,0.8028052
261,0.7946447
262,0.73724586
263,0.6775032
264,0.59733695
265,0.52879894
266,0.4371832
267,0.36963084
268,0.29688954
269,0.2884263
270,0.2824975
271,0.29727563
272,0.34569398
273,0.43683732
274,0.59122866
275,0.64686257
276,0.6757876
277,0.6455821
278,0.6254493
279,0.6090995
280,0.59013987
281,0.5877165
282,0.5756277
283,0.5913858
284,0.63584197
285,0.6853554
286,0.6651011
287,0.624371
288,0.56969285
289,0.5146074
290,0.45540667
291,0.4090066
292,0.35252076
293,0.3329744
294,0.3131082
295,0.31182605
296,0.33354697
297,0.3843123
298,0.47927114
299,0.53541434
300,0.55914617
301,0.5405534
302,0.49638212
303,0.4781104
304,0.46445104
305,0.4513048
306,0.43688017
307,0.4612731
308,0.5129638
309,0.6077465
310,0.6121014
311,0.58390385
312,0.5318424
313,0.47542194
314,0.4147932
315,0.3916534
316,0.32340476
317,0.31393775
318,0.29150388
319,0.28628048
320,0.2958949
321,0.3338877
322,0.41294807
323,0.459507
324,0.46906745
