,0
0,0.36052528
1,0.35654908
2,0.35285315
3,0.3408459
4,0.38654166
5,0.4004523
6,0.41227803
7,0.39721242
8,0.42702252
9,0.4047184
10,0.3574497
11,0.32244685
12,0.2775552
13,0.2545211
14,0.19720437
15,0.16203198
16,0.15278366
17,0.14106342
18,0.13350016
19,0.1356043
20,0.17108044
21,0.21542072
22,0.2814197
23,0.3573738
24,0.3859577
25,0.35154423
26,0.34524542
27,0.34498397
28,0.31961203
29,0.30875924
30,0.32917854
31,0.3494085
32,0.38137618
33,0.39269757
34,0.3497006
35,0.3062022
36,0.24575944
37,0.20828308
38,0.15990975
39,0.12176153
40,0.110938475
41,0.1074273
42,0.10189892
43,0.10367137
44,0.13735965
45,0.1673758
46,0.2307743
47,0.26986316
48,0.27226374
49,0.23416245
50,0.25654414
51,0.24808782
52,0.22256108
53,0.21089172
54,0.23982215
55,0.26196298
56,0.30280232
57,0.36490893
58,0.31033632
59,0.2732563
60,0.21492983
61,0.18196768
62,0.11337864
63,0.10693336
64,0.099627234
65,0.09505226
66,0.08459984
67,0.10433367
68,0.17293017
69,0.25846422
70,0.3517119
71,0.4050185
72,0.43848923
73,0.4162176
74,0.4063639
75,0.34119502
76,0.3970527
77,0.38446566
78,0.40395316
79,0.41100174
80,0.40585956
81,0.40056005
82,0.3396695
83,0.31002283
84,0.27243683
85,0.2585544
86,0.18553671
87,0.13452917
88,0.12934181
89,0.1321651
90,0.12415243
91,0.14857434
92,0.21454994
93,0.3114053
94,0.39849874
95,0.47289076
96,0.5012638
97,0.49770084
98,0.47413316
99,0.4435675
100,0.4843937
101,0.46075705
102,0.46639848
103,0.45482314
104,0.45678103
105,0.45735517
106,0.39664853
107,0.366109
108,0.3146929
109,0.2866533
110,0.20416272
111,0.14688048
112,0.14907874
113,0.14811838
114,0.14679429
115,0.17298475
116,0.24591884
117,0.31880367
118,0.35994843
119,0.38035643
120,0.38847232
121,0.37023726
122,0.35038835
123,0.31675807
124,0.3679622
125,0.38272348
126,0.38129842
127,0.37086907
128,0.3707869
129,0.38844588
130,0.3375173
131,0.3162711
132,0.27137432
133,0.25234005
134,0.16293597
135,0.12179941
136,0.11698388
137,0.12540185
138,0.11892916
139,0.13754037
140,0.19893435
141,0.29550445
142,0.39649704
143,0.4640276
144,0.5010989
145,0.5038445
146,0.50154114
147,0.4688621
148,0.50369275
149,0.47696716
150,0.47766194
151,0.47039476
152,0.45568898
153,0.44773784
154,0.37759247
155,0.3420793
156,0.2959815
157,0.24812758
158,0.18163389
159,0.13432008
160,0.1367687
161,0.13847134
162,0.1383151
163,0.16444327
164,0.21016842
165,0.27685386
166,0.31732497
167,0.3662485
168,0.3853366
169,0.39266053
170,0.35005194
171,0.33563462
172,0.3969688
173,0.38815352
174,0.37852785
175,0.37308672
176,0.37164733
177,0.36353096
178,0.32033113
179,0.29246876
180,0.25856057
181,0.23026267
182,0.16199416
183,0.115453444
184,0.11308693
185,0.11741427
186,0.11124078
187,0.11816169
188,0.1427863
189,0.16095747
190,0.20869657
191,0.23820047
192,0.24785851
193,0.23868242
194,0.24980065
195,0.2281772
196,0.26852062
197,0.2563885
198,0.25830373
199,0.24794316
200,0.28930545
201,0.31612173
202,0.29007965
203,0.24482976
204,0.19460434
205,0.18352118
206,0.110290125
207,0.102386184
208,0.089740835
209,0.10728061
210,0.08887415
211,0.09326181
212,0.10211572
213,0.11118664
214,0.14834179
215,0.16648419
216,0.19003463
217,0.19515283
218,0.19734588
219,0.20667344
220,0.21571095
221,0.18085966
222,0.21013206
223,0.23794623
224,0.26500788
225,0.3373562
226,0.27662566
227,0.23757836
228,0.19691278
229,0.16114426
230,0.09795675
231,0.08633232
232,0.08194284
233,0.08726929
234,0.078526855
235,0.10041216
236,0.1712574
237,0.2620183
238,0.33685377
239,0.38211885
240,0.40615696
241,0.39198545
242,0.3749999
243,0.35130262
244,0.39328778
245,0.38630176
246,0.41311723
247,0.41949835
248,0.44092634
249,0.45519438
250,0.40588912
251,0.37333453
252,0.33365226
253,0.31910482
254,0.2312831
255,0.17242455
256,0.16974543
257,0.1670076
258,0.16523686
259,0.19552341
260,0.27169138
261,0.3726426
262,0.38775277
263,0.41179708
264,0.42279357
265,0.42552882
266,0.3805388
267,0.36880147
268,0.40070584
269,0.3999421
270,0.40307483
271,0.41269127
272,0.43102083
273,0.4535283
274,0.40036374
275,0.36087015
276,0.31336853
277,0.27850655
278,0.18807247
279,0.14898792
280,0.14582133
281,0.15517814
282,0.15061122
283,0.1712512
284,0.23929042
285,0.33941594
286,0.40109843
287,0.4406267
288,0.4713992
289,0.44740474
290,0.42140448
291,0.39132395
292,0.43653187
293,0.38563702
294,0.41156825
295,0.41636515
296,0.42982578
297,0.4221541
298,0.362173
299,0.3217203
300,0.28318393
301,0.2552717
302,0.18497783
303,0.14836434
304,0.13964987
305,0.14421688
306,0.14159626
307,0.16114296
308,0.21891683
309,0.29765338
310,0.36787242
311,0.42443606
312,0.44719276
313,0.4374365
314,0.427956
315,0.38849702
316,0.4309205
317,0.4117667
318,0.39876306
319,0.40696976
320,0.40281317
321,0.41032258
322,0.3547515
323,0.31547767
324,0.27028638
325,0.23682417
326,0.170248
327,0.1428296
328,0.13407888
329,0.14183508
330,0.14381552
331,0.1621382
332,0.20387903
333,0.27674198
334,0.31720757
335,0.3441028
336,0.3797158
337,0.3698003
338,0.34585544
339,0.30605587
340,0.37709627
341,0.3556904
342,0.38319662
343,0.37343615
344,0.37940642
345,0.3759665
346,0.344139
347,0.29828215
348,0.27389917
349,0.2541608
350,0.17090562
351,0.12812278
352,0.124887794
353,0.12979308
354,0.12109919
355,0.13415647
356,0.15734835
357,0.19589928
358,0.23538662
359,0.27066806
360,0.26809388
361,0.27361536
362,0.25135627
363,0.25255078
364,0.2508287
365,0.269419
366,0.25488582
367,0.26950875
368,0.28553358
369,0.33150205
370,0.29879677
371,0.25696978
372,0.2005019
373,0.1916838
374,0.1151557
375,0.096275635
376,0.08973867
377,0.10413024
378,0.07939909
379,0.07997602
380,0.099703476
381,0.12022133
382,0.16841681
383,0.21985534
384,0.23550043
385,0.22954634
386,0.23907633
387,0.24719438
388,0.2325395
389,0.20858693
390,0.24708144
391,0.26177508
392,0.29286072
393,0.34008166
394,0.31698263
395,0.2430031
396,0.2010423
397,0.16292317
398,0.10376114
399,0.0910026
400,0.08880018
401,0.09779515
402,0.09034084
403,0.11409979
404,0.15887564
405,0.2406678
406,0.2759001
407,0.33321992
408,0.3616092
409,0.37855527
410,0.34907117
411,0.35177466
