,elec_tra,elec_tes,elec,HAZURE
0,,,500766,0
1,,,491165.97,0
2,,,480517,0
3,,,485492.97,0
4,,,424093,1
5,,,479830,0
6,,,489355,0
7,,,505181,0
8,,,480316.97,0
9,,,485185.97,0
10,,,501470,0
11,,,529907,1
12,550394.3,,517978,0
13,552033.25,,569715,1
14,573262.94,,574615,1
15,580783.75,,556991,0
16,594479.5,,523368,0
17,543800.94,,597612,1
18,617036.2,,628451.94,1
19,630842.25,,545182,0
20,572946.06,,592628,0
21,582643.25,,562475,0
22,587591.56,,601626,0
23,592644.44,,551329,0
24,546705.1,,510544,0
25,544127.25,,543723,0
26,552308.44,,524427,0
27,526457.8,,480589,1
28,494076.53,,488466,1
29,515716.2,,481296,1
30,501654.53,,498552,0
31,496800.4,,516741.97,0
32,503852,,523220,0
33,537379.94,,543123,0
34,549549.44,,572097,1
35,577064,,549233,0
36,575535.1,,586107,1
37,581027.4,,583528,1
38,583355.75,,551628,0
39,570903,,484479,1
40,535313.7,,604731,1
41,626012.7,,645928,1
42,622257.6,,649974,1
43,631948.56,,596705,0
44,609622.5,,613946,0
45,600391.1,,618759,0
46,599083.06,,577977,0
47,572544.75,,582124,0
48,571577.75,,573135,0
49,559939.1,,577415,0
50,560457.75,,539502,0
51,540771.56,,567929,0
52,543909.3,,532968,0
53,535743.6,,511302,1
54,531437,,483943,1
55,498998.34,,483013,1
56,489377.06,,436126.03,1
57,452804.72,,456312,1
58,472278.62,,478879,0
59,478464.6,,497641,0
60,494352.84,,498188.97,0
61,510076.84,,487192,0
62,527231.6,,495087,0
63,504485.75,,507180,0
64,517430.9,,529270,0
65,541966,,570389,1
66,586404.8,,626456,1
67,625342.44,,624224,1
68,627703.75,,611965,1
69,638049,,576613,0
70,592228.75,,627252,1
71,625260.5,,488594,1
72,558673.6,,597526,0
73,603160.1,,613164,0
74,573639.94,,510138,0
75,562867.5,,554270,0
76,550145.56,,519234,0
77,519341.03,,512359.03,0
78,502485.97,,490011,0
79,501110.8,,496150.03,0
80,512948.9,,506831,0
81,507065.72,,505746,0
82,515145.12,,500393,0
83,527178.06,,491176,0
84,512757,,518546,0
85,521023.56,,568408,0
86,566837.75,,552199,0
87,564588.7,,580976,1
88,598375.7,,612415,1
89,611499.1,,631387,1
90,617569.7,,605621,0
91,604563.56,,513595.03,0
92,554225.56,,611117,0
93,614704.9,,641141.94,1
94,632007.6,,653572,1
95,642394.9,,690611,1
96,650561.75,,672151,1
97,641843.56,,621789,0
98,588768.9,,630428,0
99,597884.5,,608742,0
100,612134.4,,564984,0
101,578012.7,,544691,0
102,544294.25,,553814,0
103,534594.6,,500517,1
104,498180.72,,483303,1
105,483093.6,,492862,1
106,477110.72,,494780,0
107,492484.4,,487192,0
108,483028.25,,446876,1
109,489708.4,,458146,0
110,488601.8,,490754,0
111,476680.53,,493595,0
112,511797.3,,498391,0
113,534594.4,,510618,0
114,523671.25,,516650,0
