,0
0,0.47788274
1,0.4136053
2,0.33390263
3,0.32097185
4,0.27842376
5,0.27043515
6,0.26215068
7,0.27898502
8,0.31793475
9,0.42450374
10,0.59088486
11,0.70120037
12,0.79106027
13,0.7657284
14,0.7221686
15,0.70488316
16,0.6483295
17,0.6418176
18,0.6276757
19,0.6483439
20,0.68267703
21,0.7328095
22,0.68071973
23,0.6326994
24,0.5723399
25,0.50929666
26,0.42758638
27,0.37613478
28,0.31863236
29,0.30530414
30,0.30109775
31,0.31515905
32,0.35937557
33,0.46043923
34,0.6204486
35,0.7031575
36,0.7337775
37,0.7016861
38,0.67024404
39,0.65703845
40,0.6157758
41,0.6363988
42,0.641035
43,0.6719465
44,0.7361945
45,0.8027458
46,0.76300585
47,0.7158389
48,0.6559332
49,0.5894072
50,0.50949943
51,0.45361298
52,0.37925738
53,0.35307732
54,0.33980262
55,0.3529984
56,0.39129695
57,0.50630295
58,0.6856735
59,0.7834506
60,0.8010697
61,0.76079196
62,0.7070826
63,0.6844425
64,0.6242486
65,0.6280699
66,0.6148904
67,0.6367401
68,0.67541236
69,0.7447696
70,0.7089968
71,0.66830873
72,0.6098851
73,0.54874694
74,0.46954378
75,0.42069948
76,0.3539438
77,0.33899918
78,0.329724
79,0.3452611
80,0.38364202
81,0.49396905
82,0.67066085
83,0.7684024
84,0.8018506
85,0.7629666
86,0.70511436
87,0.6770931
88,0.6172937
89,0.6169003
90,0.6031722
91,0.6116597
92,0.64113724
93,0.7102348
94,0.6704542
95,0.6249856
96,0.5628519
97,0.50254005
98,0.42239916
99,0.37978137
100,0.32119644
101,0.30681875
102,0.30079713
103,0.3188964
104,0.35528624
105,0.46462733
106,0.6316062
107,0.7215617
108,0.73477364
109,0.689944
110,0.63946515
111,0.6170021
112,0.5622992
113,0.57572544
114,0.5612868
115,0.5600913
116,0.5542552
117,0.5975999
118,0.55617523
119,0.5144403
120,0.45608625
121,0.40359458
122,0.33986118
123,0.29696333
124,0.24709606
125,0.23291628
126,0.23016109
127,0.23474555
128,0.25075543
129,0.28881717
130,0.3455475
131,0.42410925
132,0.5191848
133,0.5561671
134,0.5462051
135,0.547404
136,0.5480262
137,0.5512743
138,0.54872185
139,0.5587054
140,0.60079616
141,0.6289224
142,0.6009006
143,0.56356525
144,0.51605636
145,0.45759377
146,0.39095336
147,0.35740006
148,0.2960614
149,0.27369848
150,0.26544484
151,0.2707551
152,0.27692068
153,0.32001066
154,0.38028565
155,0.4697064
156,0.5646419
157,0.6077676
158,0.56860626
159,0.5234728
160,0.4996361
161,0.48560628
162,0.48188996
163,0.50218683
164,0.57369846
165,0.62928003
166,0.5958925
167,0.5386115
168,0.4769593
169,0.40960887
170,0.32867575
171,0.2926281
172,0.24354497
173,0.2356512
174,0.23641436
175,0.25738
176,0.30021378
177,0.40395403
178,0.55826986
179,0.636717
180,0.67619544
181,0.6505905
182,0.61620176
183,0.6029385
184,0.5491631
185,0.54795784
186,0.5396963
187,0.55595934
188,0.57016945
189,0.63145024
190,0.5919872
191,0.5518229
192,0.49427855
193,0.4494836
194,0.37810805
195,0.3356212
196,0.2889566
197,0.28334165
198,0.2796309
199,0.294106
200,0.33010387
201,0.43501154
202,0.5866785
203,0.66049796
204,0.7122651
205,0.7051414
206,0.685833
207,0.67886
208,0.61040473
209,0.60683703
210,0.5887673
211,0.589473
212,0.6290471
213,0.6617958
214,0.60782707
215,0.54767394
216,0.48069438
217,0.41433883
218,0.3538326
219,0.3027175
220,0.2541523
221,0.24022248
222,0.24365781
223,0.26069573
224,0.29348916
225,0.37609935
226,0.49861565
227,0.5694173
228,0.6425366
229,0.6480939
230,0.6057209
231,0.591504
232,0.5396154
233,0.55178535
234,0.5275036
235,0.5243752
236,0.5611597
237,0.6019932
238,0.55613023
239,0.5141315
240,0.46205637
241,0.40891257
242,0.34419
243,0.29829648
244,0.25756553
245,0.24757168
246,0.25272703
247,0.26666963
248,0.3010875
249,0.3871085
250,0.53059715
251,0.5950406
252,0.69435596
253,0.70728976
254,0.6984175
255,0.70608073
256,0.6959639
257,0.72497725
258,0.7399083
259,0.7687605
260,0.79534245
261,0.79623103
262,0.7324902
263,0.6746448
264,0.60158885
265,0.5337982
266,0.44965163
267,0.38087142
268,0.3034362
269,0.28555667
270,0.28491178
271,0.30541906
272,0.34440023
273,0.44637796
274,0.59723437
275,0.66692865
276,0.682708
277,0.64972055
278,0.6219329
279,0.6086487
280,0.5698537
281,0.58670354
282,0.58107597
283,0.58971435
284,0.6276608
285,0.69491017
286,0.66543305
287,0.62522966
288,0.5707124
289,0.51827204
290,0.45752656
291,0.41468924
292,0.36008093
293,0.33284616
294,0.3173206
295,0.31881288
296,0.33444718
297,0.38900232
298,0.48387125
299,0.55052686
300,0.5681545
301,0.5447285
302,0.49749693
303,0.47489423
