ダウンロードした時刻: 2022/04/27 10:21:51,,,,,,,,,,,,
,,,,,,,,,,,,↓この列は手動
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,
年月日時,気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),降水量(mm),天気,天気,天気,,
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,実績(万kW)
2021/1/1 0:00,0.3,8,1,0,1,8,1,,0,1,,3184
2021/1/1 1:00,0.8,8,1,0,1,8,1,,0,1,,2978
2021/1/1 2:00,0.4,8,1,0,1,8,1,,0,1,,2834
2021/1/1 3:00,-0.6,8,1,0,1,8,1,1,8,1,,2743
2021/1/1 4:00,0.1,8,1,0,1,8,1,,0,1,,2697
2021/1/1 5:00,0,8,1,0,1,8,1,,0,1,,2729
2021/1/1 6:00,-0.4,8,1,0,1,8,1,1,8,1,,2869
2021/1/1 7:00,-0.3,8,1,0,1,8,1,,0,1,,3090
2021/1/1 8:00,2.1,8,1,0,1,8,1,,0,1,,3221
2021/1/1 9:00,4.2,8,1,0,1,8,1,1,8,1,,3151
2021/1/1 10:00,6,8,1,0,1,8,1,,0,1,,3030
2021/1/1 11:00,8,8,1,0,1,8,1,,0,1,,2919
2021/1/1 12:00,9.8,8,1,0,1,8,1,1,8,1,,2811
2021/1/1 13:00,9.3,8,1,0,1,8,1,,0,1,,2738
2021/1/1 14:00,10.1,8,1,0,1,8,1,,0,1,,2710
2021/1/1 15:00,9,8,1,0,1,8,1,1,8,1,,2783
2021/1/1 16:00,8.3,8,1,0,1,8,1,,0,1,,2979
2021/1/1 17:00,5.9,8,1,0,1,8,1,,0,1,,3304
2021/1/1 18:00,6.5,8,1,0,1,8,1,1,8,1,,3399
2021/1/1 19:00,5.7,8,1,0,1,8,1,,0,1,,3413
2021/1/1 20:00,5.4,8,1,0,1,8,1,,0,1,,3401
2021/1/1 21:00,5,8,1,0,1,8,1,1,8,1,,3344
2021/1/1 22:00,4,8,1,0,1,8,1,,0,1,,3198
2021/1/1 23:00,3.9,8,1,0,1,8,1,,0,1,,3073
2021/1/2 0:00,3.4,8,1,0,1,8,1,,0,1,,2855
2021/1/2 1:00,2.4,8,1,0,1,8,1,,0,1,,2715
2021/1/2 2:00,2.3,8,1,0,1,8,1,,0,1,,2650
2021/1/2 3:00,1.6,8,1,0,1,8,1,1,8,1,,2610
2021/1/2 4:00,1.8,8,1,0,1,8,1,,0,1,,2595
2021/1/2 5:00,1,8,1,0,1,8,1,,0,1,,2653
2021/1/2 6:00,0.7,8,1,0,1,8,1,1,8,1,,2834
2021/1/2 7:00,0.2,8,1,0,1,8,1,,0,1,,3100
2021/1/2 8:00,1.9,8,1,0,1,8,1,,0,1,,3269
2021/1/2 9:00,4.9,8,1,0,1,8,1,1,8,1,,3245
2021/1/2 10:00,5.3,8,1,0,1,8,1,,0,1,,3141
2021/1/2 11:00,7.2,8,1,0,1,8,1,,0,1,,3039
2021/1/2 12:00,8.6,8,1,0,1,8,1,1,8,1,,2951
2021/1/2 13:00,9.8,8,1,0,1,8,1,,0,1,,2880
2021/1/2 14:00,10.2,8,1,0,1,8,1,,0,1,,2830
2021/1/2 15:00,9.6,8,1,0,1,8,1,1,8,1,,2862
2021/1/2 16:00,8.9,8,1,0,1,8,1,,0,1,,3064
2021/1/2 17:00,8.2,8,1,0,1,8,1,,0,1,,3394
2021/1/2 18:00,6.9,8,1,0,1,8,1,1,8,1,,3494
2021/1/2 19:00,6.8,8,1,0,1,8,1,,0,1,,3494
2021/1/2 20:00,4.9,8,1,0,1,8,1,,0,1,,3471
2021/1/2 21:00,3.9,8,1,0,1,8,1,2,8,1,,3379
2021/1/2 22:00,3.5,8,1,0,1,8,1,,0,1,,3215
2021/1/2 23:00,2.5,8,1,0,1,8,1,,0,1,,3088
2021/1/3 0:00,2.2,8,1,0,1,8,1,,0,1,,2869
2021/1/3 1:00,1.4,8,1,0,1,8,1,,0,1,,2741
2021/1/3 2:00,1.7,8,1,0,1,8,1,,0,1,,2685
2021/1/3 3:00,0.6,8,1,0,1,8,1,1,8,1,,2640
2021/1/3 4:00,0.2,8,1,0,1,8,1,,0,1,,2622
2021/1/3 5:00,1.1,8,1,0,1,8,1,,0,1,,2675
2021/1/3 6:00,0.2,8,1,0,1,8,1,2,8,1,,2849
2021/1/3 7:00,-0.1,8,1,0,1,8,1,,0,1,,3109
2021/1/3 8:00,1.7,8,1,0,1,8,1,,0,1,,3325
2021/1/3 9:00,3.2,8,1,0,1,8,1,2,8,1,,3372
2021/1/3 10:00,4.6,8,1,0,1,8,1,,0,1,,3314
2021/1/3 11:00,5.9,8,1,0,1,8,1,,0,1,,3197
2021/1/3 12:00,7.5,8,1,0,1,8,1,3,8,1,,3132
2021/1/3 13:00,7.4,8,1,0,1,8,1,,0,1,,3029
2021/1/3 14:00,8,8,1,0,1,8,1,,0,1,,2960
2021/1/3 15:00,7.1,8,1,0,1,8,1,1,8,1,,3033
2021/1/3 16:00,6,8,1,0,1,8,1,,0,1,,3249
2021/1/3 17:00,5.3,8,1,0,1,8,1,,0,1,,3616
2021/1/3 18:00,4.2,8,1,0,1,8,1,1,8,1,,3728
2021/1/3 19:00,3.9,8,1,0,1,8,1,,0,1,,3715
2021/1/3 20:00,4.2,8,1,0,1,8,1,,0,1,,3650
2021/1/3 21:00,3.6,8,1,0,1,8,1,3,8,1,,3499
2021/1/3 22:00,4.6,8,1,0,1,8,1,,0,1,,3257
2021/1/3 23:00,3.9,8,1,0,1,8,1,,0,1,,3072
2021/1/4 0:00,3.5,8,1,0,1,8,1,,0,1,,2828
2021/1/4 1:00,3.2,8,1,0,1,8,1,,0,1,,2678
2021/1/4 2:00,3.5,8,1,0,1,8,1,,0,1,,2614
2021/1/4 3:00,3.1,8,1,0,1,8,1,3,8,1,,2580
2021/1/4 4:00,2.4,8,1,0,1,8,1,,0,1,,2604
2021/1/4 5:00,2.7,8,1,0,1,8,1,,0,1,,2758
2021/1/4 6:00,2.3,8,1,0,1,8,1,3,8,1,,3122
2021/1/4 7:00,1.6,8,1,0,1,8,1,,0,1,,3531
2021/1/4 8:00,2.6,8,1,0,1,8,1,,0,1,,3865
2021/1/4 9:00,4.5,8,1,0,1,8,1,3,8,1,,3852
2021/1/4 10:00,6.9,8,1,0,1,8,1,,0,1,,3675
2021/1/4 11:00,9.2,8,1,0,1,8,1,,0,1,,3570
2021/1/4 12:00,9.9,8,1,0,1,8,1,2,8,1,,3451
2021/1/4 13:00,10.5,8,1,0,1,8,1,,0,1,,3384
2021/1/4 14:00,10.9,8,1,0,1,8,1,,0,1,,3343
2021/1/4 15:00,10.1,8,1,0,1,8,1,1,8,1,,3368
2021/1/4 16:00,8.4,8,1,0,1,8,1,,0,1,,3533
2021/1/4 17:00,6.8,8,1,0,1,8,1,,0,1,,3838
2021/1/4 18:00,5.9,8,1,0,1,8,1,1,8,1,,3890
2021/1/4 19:00,6.1,8,1,0,1,8,1,,0,1,,3857
2021/1/4 20:00,5.9,8,1,0,1,8,1,,0,1,,3774
2021/1/4 21:00,5.9,8,1,0,1,8,1,1,8,1,,3618
2021/1/4 22:00,5.7,8,1,0,1,8,1,,0,1,,3374
2021/1/4 23:00,5.7,8,1,0,1,8,1,,0,1,,3163
2021/1/5 0:00,4.4,8,1,0,1,8,1,,0,1,,2909
2021/1/5 1:00,4.3,8,1,0,1,8,1,,0,1,,2750
2021/1/5 2:00,3.3,8,1,0,1,8,1,,0,1,,2691
2021/1/5 3:00,3.6,8,1,0,1,8,1,3,8,1,,2670
2021/1/5 4:00,3.2,8,1,0,1,8,1,,0,1,,2711
2021/1/5 5:00,2.9,8,1,0,1,8,1,,0,1,,2889
2021/1/5 6:00,3.4,8,1,0,1,8,1,4,8,1,,3324
2021/1/5 7:00,2.8,8,1,0,1,8,1,,0,1,,3807
2021/1/5 8:00,3.8,8,1,0,1,8,1,,0,1,,4274
2021/1/5 9:00,5.6,8,1,0,1,8,1,3,8,1,,4393
2021/1/5 10:00,6.5,8,1,0,1,8,1,,0,1,,4355
2021/1/5 11:00,7.5,8,1,0,1,8,1,,0,1,,4197
2021/1/5 12:00,8.5,8,1,0,1,8,1,3,8,1,,4079
2021/1/5 13:00,9.1,8,1,0,1,8,1,,0,1,,4093
2021/1/5 14:00,9.2,8,1,0,1,8,1,,0,1,,4080
2021/1/5 15:00,9.2,8,1,0,1,8,1,4,8,1,,4071
2021/1/5 16:00,8.8,8,1,0,1,8,1,,0,1,,4180
2021/1/5 17:00,8.1,8,1,0,1,8,1,,0,1,,4274
2021/1/5 18:00,7.8,8,1,0,1,8,1,4,8,1,,4229
2021/1/5 19:00,7.5,8,1,0,1,8,1,,0,1,,4124
2021/1/5 20:00,6.5,8,1,0,1,8,1,,0,1,,3999
2021/1/5 21:00,6.1,8,1,0,1,8,1,4,8,1,,3790
2021/1/5 22:00,6,8,1,0,1,8,1,,0,1,,3519
2021/1/5 23:00,6,8,1,0,1,8,1,,0,1,,3268
2021/1/6 0:00,5.2,8,1,0,1,8,1,,0,1,,2999
2021/1/6 1:00,5,8,1,0,1,8,1,,0,1,,2852
2021/1/6 2:00,4.9,8,1,0,1,8,1,,0,1,,2800
2021/1/6 3:00,4.6,8,1,0,1,8,1,3,8,1,,2780
2021/1/6 4:00,5,8,1,0,1,8,1,,0,1,,2826
2021/1/6 5:00,4.2,8,1,0,1,8,1,,0,1,,3034
2021/1/6 6:00,4.7,8,1,0,1,8,1,4,8,1,,3472
2021/1/6 7:00,4.8,8,1,0,1,8,1,,0,1,,3942
2021/1/6 8:00,4.6,8,1,0,1,8,1,,0,1,,4384
2021/1/6 9:00,5.4,8,1,0,1,8,1,4,8,1,,4617
2021/1/6 10:00,6.4,8,1,0,1,8,1,,0,1,,4557
2021/1/6 11:00,5.9,8,1,0,1,8,1,,0,1,,4517
2021/1/6 12:00,5.5,8,1,0,1,8,1,4,8,1,,4330
