DAY,RESULT,TEMP,RAIN,WEATHER
2016-04-01,71626,13.0,2.5,0.5
2016-04-02,69778,10.4,1.5,0.5
2016-04-03,63798,12.9,4.0,0.75
2016-04-04,70949,15.8,8.0,0.75
2016-04-05,76572,10.8,1.5,0.5
2016-04-06,71918,14.3,0.0,0.5
2016-04-07,76125,13.9,33.0,1.0
2016-04-08,71008,16.0,0.0,0.5
2016-04-09,63956,17.1,0.0,0.5
2016-04-10,60860,17.3,0.0,0.5
2016-04-11,71974,11.8,0.0,0.5
2016-04-12,75294,10.3,0.0,0.0
2016-04-13,74426,14.3,1.0,1.0
2016-04-14,73648,15.0,20.5,0.75
2016-04-15,71072,16.4,0.0,0.0
2016-04-16,65129,15.6,0.0,0.5
2016-04-17,62243,19.2,6.0,0.5
2016-04-18,69346,19.1,0.5,0.0
2016-04-19,69886,16.3,0.0,0.0
2016-04-20,70374,14.8,0.0,0.25
2016-04-21,72467,16.5,4.5,0.5
2016-04-22,71650,17.3,1.5,0.25
2016-04-23,65648,17.7,0.0,0.5
2016-04-24,61722,15.8,13.5,0.75
2016-04-25,69337,18.0,0.0,0.5
2016-04-26,72682,19.1,0.0,0.0
2016-04-27,72122,18.2,0.0,0.5
2016-04-28,72332,14.4,22.0,1.0
2016-04-29,63948,15.9,0.0,0.0
2016-04-30,61786,15.8,0.0,0.0
2016-05-01,58282,18.1,0.0,0.0
2016-05-02,63474,17.3,0.0,0.5
2016-05-03,58983,20.3,0.0,0.5
2016-05-04,58690,22.1,13.5,0.0
2016-05-05,58930,22.1,0.0,0.0
2016-05-06,65718,18.2,2.5,0.75
2016-05-07,65133,21.0,0.0,0.0
2016-05-08,60612,21.3,0.0,0.25
2016-05-09,69554,18.6,15.0,0.75
2016-05-10,72401,18.4,9.5,0.5
2016-05-11,73217,21.2,6.0,0.5
2016-05-12,73195,21.7,0.0,0.0
2016-05-13,73783,21.3,0.0,0.0
2016-05-14,66058,19.9,0.0,0.5
2016-05-15,61356,17.5,0.0,0.5
2016-05-16,70647,18.8,0.0,0.5
2016-05-17,73343,18.4,31.5,1.0
2016-05-18,72231,19.9,0.0,0.0
