hazureti,HAZURE
,0
,0
,0
,0
424093.0,1
,0
,0
,0
,0
,0
,0
529907.0,1
,0
569715.0,1
574615.0,1
,0
,0
597612.0,1
628452.0,1
,0
,0
,0
,0
,0
,0
,0
,0
480589.0,1
488466.0,1
481296.0,1
,0
,0
,0
,0
572097.0,1
,0
586107.0,1
583528.0,1
,0
484479.0,1
604731.0,1
645928.0,1
649974.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
511302.0,1
483943.0,1
483013.0,1
436126.0,1
456312.0,1
,0
,0
,0
,0
,0
,0
,0
570389.0,1
626456.0,1
624224.0,1
611965.0,1
,0
627252.0,1
488594.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
580976.0,1
612415.0,1
631387.0,1
,0
,0
,0
641142.0,1
653572.0,1
690611.0,1
672151.0,1
,0
,0
,0
,0
,0
,0
500517.0,1
483303.0,1
492862.0,1
,0
,0
446876.0,1
,0
,0
,0
,0
,0
,0
,0
,0
628200.0,1
607858.0,1
684895.0,1
699973.0,1
,0
,0
,0
,0
,0
,0
,0
520056.0,1
504104.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
601439.0,1
623026.0,1
,0
,0
616851.0,1
633553.0,1
,0
646846.0,1
,0
651987.0,1
,0
,0
,0
,0
522032.0,1
,0
,0
,0
498009.0,1
479498.0,1
435441.0,1
433282.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
581204.0,1
660299.0,1
699476.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
473554.0,1
,0
,0
,0
,0
,0
,0
,0
592608.0,1
,0
,0
,0
,0
,0
629405.0,1
,0
,0
,0
,0
,0
,0
,0
,0
496603.0,1
,0
488198.0,1
,0
474889.0,1
438483.0,1
389097.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
590007.0,1
621299.0,1
671362.0,1
647655.0,1
644707.0,1
,0
,0
,0
470256.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
604305.0,1
643473.0,1
,0
,0
667721.0,1
642967.0,1
,0
,0
,0
,0
,0
,0
,0
520932.0,1
502465.0,1
476897.0,1
476708.0,1
,0
,0
458243.0,1
406305.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
570637.0,1
632359.0,1
609955.0,1
650064.0,1
,0
,0
632362.0,1
,0
483435.0,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
570902.0,1
587024.0,1
615545.0,1
,0
