DAY	RESULT	TEMP	RAIN	WEATHER
2016	500766	2187.9	50.5	108
2016	491166	2445.1	21.5	90
2016	480517	2826.9	11	42
2016	485493	2894	37	84
2016	424093	3160.3	13.5	24
2016	479830	3373	33	66
2016	489355	3247.4	31.5	66
2016	505181	3612.9	0	60
2016	480317	3372.9	59.5	90
2016	485186	3433.3	10	72
2016	501470	3740.3	105	78
2016	529907	4025.9	32.5	72
2016	517978	3877.2	27	84
2016	569715	4364.3	1.5	60
2016	574615	4303.3	35.5	84
2016	556991	4233	40	78
2016	523368	4011	4.5	84
2016	597612	4560.9	45	48
2016	628452	4879.7	0	36
2016	545182	4519.7	114.5	54
2016	592628	4513.9	194	84
2016	562475	4310.7	60.5	60
2016	601626	4589.1	19	36
2016	551329	4111.8	63.5	84
2016	510544	3667.7	175	108
2016	543723	4039.1	27	102
2016	524427	3882.1	6.5	84
2016	480589	3252.9	42.5	66
2016	488466	3137.8	30	42
2016	481296	2883.7	1	48
2016	498552	2184.6	33.5	90
2016	516742	2023.5	7	24
2016	523220	2165.3	55	60
2016	543123	1818.3	45.5	84
2016	572097	1551.1	27.5	60
2016	549233	1767.3	4	36
2016	586107	1375.1	40	48
2016	583528	1531.6	2.5	24
2016	551628	1392.9	27	48
2016	484479	1203	0	72
2017	604731	975.7	26	84
2017	645928	724.1	0	66
2017	649974	720	0	66
2017	596705	1268.7	0	60
2017	613946	1098.5	8	54
2017	618759	944.6	0.5	72
2017	577977	1502.7	7	42
2017	582124	1162	14	102
2017	573135	1359.9	1.5	60
2017	577415	1312.6	4	78
2017	539502	1754.3	25.5	72
2017	567929	1360.3	34	84
2017	532968	1826.4	13.5	72
2017	511302	2215.5	65.5	60
2017	483943	2984.3	30.5	84
2017	483013	2536	19	90
2017	436126	2864.6	1	60
2017	456312	3317.7	4	24
2017	478879	3088.4	28.5	66
2017	497641	3705.7	1	84
2017	498189	3613.9	30	72
2017	487192	3524.4	3.5	12
2017	495087	3538.2	13	84
2017	507180	3743.2	58	96
2017	529270	3946.8	14.5	114
2017	570389	4330.1	20.5	84
2017	626456	4667.9	0	78
2017	624224	4701.5	10.5	42
2017	611965	4619.5	35	60
2017	576613	4332.7	24	78
2017	627252	4706.9	10	24
2017	488594	4032.2	97	60
2017	597526	4600.8	17.5	60
2017	613164	4574.9	10	66
2017	510138	3632.5	45	54
2017	554270	4226.7	7.5	36
2017	519234	3901.6	76	36
