DAY,hazureti
0,
1,
2,
3,
4,424093
5,
6,
7,
8,
9,
10,
11,529907
12,
13,569715
14,574615
15,
16,
17,597612
18,628452
19,
20,
21,
22,
23,
24,
25,
26,
27,480589
28,488466
29,481296
30,
31,
32,
33,
34,572097
35,
36,586107
37,583528
38,
39,484479
40,604731
41,645928
42,649974
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,511302
54,483943
55,483013
56,436126
57,456312
58,
59,
60,
61,
62,
63,
64,
65,570389
66,626456
67,624224
68,611965
69,
70,627252
71,488594
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,580976
88,612415
89,631387
90,
91,
92,
93,641142
94,653572
95,690611
96,672151
97,
98,
99,
100,
101,
102,
103,500517
104,483303
105,492862
106,
107,
108,446876
109,
110,
111,
112,
113,
114,
115,
116,
117,628200
118,607858
119,684895
120,699973
121,
122,
123,
124,
125,
126,
127,
128,520056
129,504104
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,601439
141,623026
142,
143,
144,616851
145,633553
146,
147,646846
148,
149,651987
150,
151,
152,
153,
154,522032
155,
156,
157,
158,498009
159,479498
160,435441
161,433282
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,581204
173,660299
174,699476
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,473554
185,
186,
187,
188,
189,
190,
191,
192,592608
193,
194,
195,
196,
197,
198,629405
199,
200,
201,
202,
203,
204,
205,
206,
207,496603
208,
209,488198
210,
211,474889
212,438483
213,389097
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,590007
227,621299
228,671362
229,647655
230,644707
231,
232,
233,
234,470256
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,604305
246,643473
247,
248,
249,667721
250,642967
251,
252,
253,
254,
255,
256,
257,
258,520932
259,502465
260,476897
261,476708
262,
263,
264,458243
265,406305
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,570637
276,632359
277,609955
278,650064
279,
280,
281,632362
282,
283,483435
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,570902
297,587024
298,615545
299,
