,0
0,0.5903176
1,0.62744516
2,0.5967796
3,0.5408635
4,0.518244
5,0.5215372
6,0.44492015
7,0.433423
8,0.35052833
9,0.41733518
10,0.33503643
11,0.38168895
12,0.33868542
13,0.29553437
14,0.1721368
15,0.2857868
16,0.3112899
17,0.31050685
18,0.38735119
19,0.42030355
20,0.38362294
21,0.3075377
22,0.36925828
23,0.18916126
24,0.3865299
25,0.46840042
26,0.5298093
27,0.62360525
28,0.6806663
29,0.8045544
30,0.7304933
31,0.7277949
32,0.6728496
33,0.5677505
34,0.4481785
35,0.3360487
36,0.25439617
37,0.21480353
38,0.23319004
39,0.23337749
40,0.25667515
41,0.3436413
42,0.42447078
43,0.4645248
44,0.5689586
45,0.61432284
46,0.6540245
47,0.7311933
