,0
0,0.43996465
1,0.42372736
2,0.49120829
3,0.5450543
4,0.5638546
5,0.6071484
6,0.5616374
7,0.5087966
8,0.66623425
9,0.6857301
10,0.5594219
11,0.6287664
12,0.5726718
13,0.6039805
14,0.4927236
15,0.49103743
16,0.46287256
17,0.42642182
18,0.32988766
19,0.3673487
20,0.32199475
21,0.3517575
22,0.41851467
23,0.4835503
24,0.50887764
25,0.57051814
26,0.5584821
27,0.6208353
28,0.622661
29,0.5783391
30,0.4374126
31,0.6555058
32,0.6695974
33,0.71493775
34,0.61082107
35,0.6935893
36,0.60227823
37,0.57882154
38,0.55404633
39,0.54446995
40,0.49478337
41,0.42349482
42,0.4773868
43,0.41880745
44,0.3988499
45,0.3312089
46,0.35306105
47,0.23593973
48,0.28940514
49,0.32158458
50,0.37472668
51,0.39154908
52,0.41250628
53,0.419466
54,0.43161476
55,0.5442905
56,0.5665662
57,0.7092502
58,0.6909425
59,0.6599716
60,0.5911576
61,0.6820693
62,0.4378059
63,0.62693644
64,0.5425055
65,0.44060943
66,0.43281704
67,0.42533457
68,0.37315914
69,0.35777014
70,0.3970312
71,0.38815233
72,0.37917486
73,0.39221194
74,0.4141139
75,0.45853716
76,0.5802425
77,0.5763082
78,0.63416183
79,0.67736745
80,0.6995844
81,0.6333827
82,0.52019364
83,0.66828597
84,0.66355914
85,0.69643277
86,0.7191982
87,0.7611112
88,0.6321379
89,0.6342117
90,0.591254
91,0.52459073
92,0.41577598
93,0.4010611
94,0.30390593
95,0.27771923
96,0.27837825
97,0.29994187
98,0.301753
99,0.27096403
100,0.30221742
101,0.3658749
102,0.42778835
103,0.47908503
104,0.49397403
105,0.46533698
106,0.42559233
107,0.5914887
108,0.6938293
109,0.6561652
110,0.8038814
111,0.8103131
112,0.7119625
113,0.6578386
114,0.630375
115,0.5922618
116,0.6290916
117,0.50447667
118,0.47674212
119,0.37954378
120,0.33735198
121,0.31445628
122,0.34943837
123,0.28888187
124,0.30700827
125,0.28390187
126,0.34692228
127,0.40580603
128,0.48998347
129,0.5025859
130,0.51400065
131,0.6621857
132,0.6961712
133,0.6271139
134,0.49866775
135,0.6905675
136,0.6749503
137,0.6908915
138,0.6764483
139,0.6729333
140,0.6649864
141,0.58315194
142,0.559842
143,0.5115673
144,0.44198105
145,0.36623338
146,0.36474392
147,0.3831402
148,0.37310505
149,0.3489273
150,0.33631527
151,0.26699764
152,0.26767007
153,0.3754038
154,0.38751456
155,0.43109244
156,0.42753026
157,0.38457996
158,0.4142623
159,0.4944954
160,0.47579107
161,0.4156109
162,0.51708937
163,0.61012834
164,0.76470757
165,0.83073694
166,0.6876226
167,0.69081783
168,0.57934386
169,0.61971706
170,0.59977573
171,0.45110035
172,0.39888054
173,0.3889
174,0.33314642
175,0.28210557
176,0.31015885
177,0.29210624
178,0.29236645
179,0.3684406
180,0.44467565
181,0.5166409
182,0.58212864
183,0.6561568
184,0.61268747
185,0.6240763
186,0.45640954
187,0.6023205
188,0.5991153
189,0.6874164
